value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Aminoacids,6,6,0,100.0,4.411764705882353,4.411764705882353,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Carboline alkaloids,7,7,0,100.0,5.147058823529411,5.147058823529411,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Chalcones,2,2,0,100.0,1.4705882352941175,1.4705882352941175,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cinnamic acids and derivatives,6,6,0,100.0,4.411764705882353,4.411764705882353,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Dipeptides,40,40,0,100.0,29.411764705882355,29.411764705882355,
Isoquinoline alkaloids,2,2,0,100.0,1.4705882352941175,1.4705882352941175,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Phenylethylamines,16,16,0,100.0,11.76470588235294,11.76470588235294,LOW_TOTAL_SUPPORT
Piperidine alkaloids,1,1,0,100.0,0.7352941176470588,0.7352941176470588,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Purine alkaloids,2,2,0,100.0,1.4705882352941175,1.4705882352941175,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Pyridine alkaloids,25,25,0,100.0,18.38235294117647,18.38235294117647,LOW_TOTAL_SUPPORT
Simple amide alkaloids,8,8,0,100.0,5.88235294117647,5.88235294117647,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Simple coumarins,9,9,0,100.0,6.61764705882353,6.61764705882353,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Simple phenolic acids,7,7,0,100.0,5.147058823529411,5.147058823529411,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tripeptides,5,5,0,100.0,3.6764705882352944,3.6764705882352944,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TOTAL_RECORDS,136,136,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,136,136,0,100.0,100.0,100.0,
