value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Coumarins,9,9,0,100.0,6.61764705882353,6.61764705882353,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Flavonoids,2,2,0,100.0,1.4705882352941175,1.4705882352941175,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Lysine alkaloids,1,1,0,100.0,0.7352941176470588,0.7352941176470588,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Nicotinic acid alkaloids,25,25,0,100.0,18.38235294117647,18.38235294117647,LOW_TOTAL_SUPPORT
Peptide alkaloids,8,8,0,100.0,5.88235294117647,5.88235294117647,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Phenolic acids (C6-C1),7,7,0,100.0,5.147058823529411,5.147058823529411,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Phenylpropanoids (C6-C3),6,6,0,100.0,4.411764705882353,4.411764705882353,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Pseudoalkaloids,2,2,0,100.0,1.4705882352941175,1.4705882352941175,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Small peptides,51,51,0,100.0,37.5,37.5,
Tryptophan alkaloids,7,7,0,100.0,5.147058823529411,5.147058823529411,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tyrosine alkaloids,18,18,0,100.0,13.23529411764706,13.23529411764706,LOW_TOTAL_SUPPORT
TOTAL_RECORDS,136,136,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,136,136,0,100.0,100.0,100.0,
