value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
BERKELEY-LAB,2,2,0,100.0,1.4705882352941175,1.4705882352941175,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
BIRMINGHAM-UHPLC-MS-POS,5,5,0,100.0,3.6764705882352944,3.6764705882352944,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-SELLECKCHEM-FDA-PART1,6,6,0,100.0,4.411764705882353,4.411764705882353,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MCE-DRUG,25,25,0,100.0,18.38235294117647,18.38235294117647,LOW_TOTAL_SUPPORT
MSNLIB-NEGATIVE,5,5,0,100.0,3.6764705882352944,3.6764705882352944,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MSNLIB-POSITIVE,82,82,0,100.0,60.29411764705882,60.29411764705882,
REFRAME-NEGATIVE-LIBRARY,3,3,0,100.0,2.2058823529411766,2.2058823529411766,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
REFRAME-POSITIVE-LIBRARY,6,6,0,100.0,4.411764705882353,4.411764705882353,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
UNKNOWN,2,2,0,100.0,1.4705882352941175,1.4705882352941175,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TOTAL_RECORDS,136,136,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,136,136,0,100.0,100.0,100.0,
