value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
2-arylbenzofurans,12,12,0,100.0,0.2849002849002849,0.2849002849002849,LOW_TOTAL_SUPPORT
Acridone alkaloids,18,18,0,100.0,0.4273504273504274,0.4273504273504274,LOW_TOTAL_SUPPORT
Ahp-containing cyclodepsipeptides,3,3,0,100.0,0.07122507122507123,0.07122507122507123,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Amarylidaceae alkaloids,17,17,0,100.0,0.40360873694207033,0.40360873694207033,LOW_TOTAL_SUPPORT
Aminoacids,110,110,0,100.0,2.611585944919278,2.611585944919278,
Ansa macrolides,32,32,0,100.0,0.7597340930674265,0.7597340930674265,
Anthranillic acid derivatives,4,4,0,100.0,0.0949667616334283,0.0949667616334283,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Anthraquinones and anthrones,11,11,0,100.0,0.26115859449192785,0.26115859449192785,LOW_TOTAL_SUPPORT
Aplysiatoxins,1,1,0,100.0,0.023741690408357077,0.023741690408357077,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aporphine alkaloids,2,2,0,100.0,0.04748338081671415,0.04748338081671415,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aurones,35,35,0,100.0,0.8309591642924977,0.8309591642924977,
Azo and Azoxy alkaloids,7,7,0,100.0,0.16619183285849953,0.16619183285849953,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Benzodiazepine alkaloids,25,25,0,100.0,0.5935422602089269,0.5935422602089269,LOW_TOTAL_SUPPORT
Benzophenones,9,9,0,100.0,0.2136752136752137,0.2136752136752137,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Bisabolane sesquiterpenoids,2,2,0,100.0,0.04748338081671415,0.04748338081671415,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cadinane sesquiterpenoids,5,5,0,100.0,0.11870845204178537,0.11870845204178537,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Carane monoterpenoids,13,13,0,100.0,0.30864197530864196,0.30864197530864196,LOW_TOTAL_SUPPORT
Carbazole alkaloids,15,15,0,100.0,0.3561253561253561,0.3561253561253561,LOW_TOTAL_SUPPORT
Carboline alkaloids,401,401,0,100.0,9.520417853751187,9.520417853751187,
Cardenolides,54,54,0,100.0,1.282051282051282,1.282051282051282,
Chalcones,65,65,0,100.0,1.5432098765432098,1.5432098765432098,
Chamigrane sesquiterpenoids,2,2,0,100.0,0.04748338081671415,0.04748338081671415,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cholestane steroids,32,32,0,100.0,0.7597340930674265,0.7597340930674265,
Chromones,25,25,0,100.0,0.5935422602089269,0.5935422602089269,LOW_TOTAL_SUPPORT
Cinnamic acid amides,4,4,0,100.0,0.0949667616334283,0.0949667616334283,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cinnamic acids and derivatives,2,2,0,100.0,0.04748338081671415,0.04748338081671415,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cyclic peptides,6,6,0,100.0,0.14245014245014245,0.14245014245014245,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cyclolaurane sesquiterpenoids,1,1,0,100.0,0.023741690408357077,0.023741690408357077,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Depsipeptides,6,6,0,100.0,0.14245014245014245,0.14245014245014245,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Dipeptides,43,43,0,100.0,1.0208926875593543,1.0208926875593543,
Ergot alkaloids,33,33,0,100.0,0.7834757834757835,0.7834757834757835,
