value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Anthranilic acid alkaloids,274,274,0,100.0,6.505223171889838,6.505223171889838,
Aromatic polyketides,53,53,0,100.0,1.258309591642925,1.258309591642925,
Chromanes,25,25,0,100.0,0.5935422602089269,0.5935422602089269,LOW_TOTAL_SUPPORT
Coumarins,118,118,0,100.0,2.801519468186135,2.801519468186135,
Cyclic polyketides,5,5,0,100.0,0.11870845204178537,0.11870845204178537,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Diphenyl ethers (DPEs),18,18,0,100.0,0.4273504273504274,0.4273504273504274,LOW_TOTAL_SUPPORT
Diterpenoids,2,2,0,100.0,0.04748338081671415,0.04748338081671415,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Fatty acyls,17,17,0,100.0,0.40360873694207033,0.40360873694207033,LOW_TOTAL_SUPPORT
Flavonoids,109,109,0,100.0,2.5878442545109213,2.5878442545109213,
Glycerophospholipids,1,1,0,100.0,0.023741690408357077,0.023741690408357077,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Histidine alkaloids,248,248,0,100.0,5.887939221272555,5.887939221272555,
Isoflavonoids,17,17,0,100.0,0.40360873694207033,0.40360873694207033,LOW_TOTAL_SUPPORT
Lignans,87,87,0,100.0,2.0655270655270654,2.0655270655270654,
Linear polyketides,6,6,0,100.0,0.14245014245014245,0.14245014245014245,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Lysine alkaloids,296,296,0,100.0,7.027540360873694,7.027540360873694,
Macrolides,33,33,0,100.0,0.7834757834757835,0.7834757834757835,
Monoterpenoids,20,20,0,100.0,0.4748338081671415,0.4748338081671415,LOW_TOTAL_SUPPORT
Nicotinic acid alkaloids,1079,1079,0,100.0,25.617283950617285,25.617283950617285,
Nucleosides,31,31,0,100.0,0.7359924026590694,0.7359924026590694,
Oligopeptides,9,9,0,100.0,0.2136752136752137,0.2136752136752137,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Ornithine alkaloids,191,191,0,100.0,4.534662867996201,4.534662867996201,
Peptide alkaloids,98,98,0,100.0,2.3266856600189936,2.3266856600189936,
Phenanthrenoids,4,4,0,100.0,0.0949667616334283,0.0949667616334283,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Phenolic acids (C6-C1),33,33,0,100.0,0.7834757834757835,0.7834757834757835,
Phenylpropanoids (C6-C3),6,6,0,100.0,0.14245014245014245,0.14245014245014245,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Polycyclic aromatic polyketides,11,11,0,100.0,0.26115859449192785,0.26115859449192785,LOW_TOTAL_SUPPORT
Proline alkaloids,4,4,0,100.0,0.0949667616334283,0.0949667616334283,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Pseudoalkaloids,97,97,0,100.0,2.302943969610636,2.302943969610636,
Serine alkaloids,2,2,0,100.0,0.04748338081671415,0.04748338081671415,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Sesquiterpenoids,11,11,0,100.0,0.26115859449192785,0.26115859449192785,LOW_TOTAL_SUPPORT
Small peptides,160,160,0,100.0,3.798670465337132,3.798670465337132,
Steroids,86,86,0,100.0,2.0417853751187085,2.0417853751187085,
Stilbenoids,7,7,0,100.0,0.16619183285849953,0.16619183285849953,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tetramate alkaloids,48,48,0,100.0,1.1396011396011396,1.1396011396011396,
Tryptophan alkaloids,592,592,0,100.0,14.055080721747387,14.055080721747387,
Tyrosine alkaloids,512,512,0,100.0,12.155745489078823,12.155745489078823,
β-lactams,1,1,0,100.0,0.023741690408357077,0.023741690408357077,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TOTAL_RECORDS,4212,4212,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,4311,4311,0,100.0,102.35042735042734,102.35042735042734,
