value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
BERKELEY-LAB,98,98,0,100.0,2.3266856600189936,2.3266856600189936,
BMDMS-NP,641,641,0,100.0,15.218423551756885,15.218423551756885,
DEREPLICATOR_IDENTIFIED_LIBRARY,2,2,0,100.0,0.04748338081671415,0.04748338081671415,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
DMIM-DRUG-METABOLITE-LIBRARY,23,23,0,100.0,0.5460588793922128,0.5460588793922128,LOW_TOTAL_SUPPORT
GNPS-ION-MOBILITY-LIBRARY,137,137,0,100.0,3.252611585944919,3.252611585944919,
GNPS-LIBRARY,88,88,0,100.0,2.089268755935423,2.089268755935423,
GNPS-NIH-CLINICALCOLLECTION1,2,2,0,100.0,0.04748338081671415,0.04748338081671415,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-NIH-NATURALPRODUCTSLIBRARY,9,9,0,100.0,0.2136752136752137,0.2136752136752137,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,42,42,0,100.0,0.9971509971509971,0.9971509971509971,
GNPS-REFRAME-DRUG-CCS-LIBRARY,32,32,0,100.0,0.7597340930674265,0.7597340930674265,
GNPS-SELLECKCHEM-FDA-PART1,15,15,0,100.0,0.3561253561253561,0.3561253561253561,LOW_TOTAL_SUPPORT
GNPS-SELLECKCHEM-FDA-PART2,6,6,0,100.0,0.14245014245014245,0.14245014245014245,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MCE-DRUG,114,114,0,100.0,2.7065527065527064,2.7065527065527064,
MMV_POSITIVE,1,1,0,100.0,0.023741690408357077,0.023741690408357077,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MONA,3,3,0,100.0,0.07122507122507123,0.07122507122507123,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MSNLIB-NEGATIVE,631,631,0,100.0,14.981006647673315,14.981006647673315,
MSNLIB-POSITIVE,1951,1951,0,100.0,46.320037986704655,46.320037986704655,
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-3,1,1,0,100.0,0.023741690408357077,0.023741690408357077,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-4,2,2,0,100.0,0.04748338081671415,0.04748338081671415,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-5,4,4,0,100.0,0.0949667616334283,0.0949667616334283,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
PSU-MSMLS,2,2,0,100.0,0.04748338081671415,0.04748338081671415,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
REFRAME-NEGATIVE-LIBRARY,45,45,0,100.0,1.0683760683760684,1.0683760683760684,
REFRAME-POSITIVE-LIBRARY,77,77,0,100.0,1.828110161443495,1.828110161443495,
RESPECT,1,1,0,100.0,0.023741690408357077,0.023741690408357077,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
UNKNOWN,229,229,0,100.0,5.43684710351377,5.43684710351377,
WFSR-LIBRARY,56,56,0,100.0,1.3295346628679963,1.3295346628679963,
TOTAL_RECORDS,4212,4212,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,4212,4212,0,100.0,100.0,100.0,
