value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
2-pyrone derivatives,10,10,0,100.0,0.03672420124862284,0.03672420124862284,LOW_TOTAL_SUPPORT
4-pyrone derivatives,1,1,0,100.0,0.0036724201248622846,0.0036724201248622846,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Acridone alkaloids,304,304,0,100.0,1.1164157179581344,1.1164157179581344,
Actinomycins,1,1,0,100.0,0.0036724201248622846,0.0036724201248622846,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Acyclic guanidine alkaloids,1,1,0,100.0,0.0036724201248622846,0.0036724201248622846,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Acyclic monoterpenoids,9,9,0,100.0,0.03305178112376056,0.03305178112376056,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Africanane sesquiterpenoids,2,2,0,100.0,0.007344840249724569,0.007344840249724569,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Amarylidaceae alkaloids,38,38,0,100.0,0.1395519647447668,0.1395519647447668,
Aminoacids,852,852,0,100.0,3.128901946382666,3.128901946382666,
Aminosugars,59,59,0,100.0,0.2166727873668748,0.2166727873668748,
Androstane steroids,83,83,0,100.0,0.30481087036356963,0.30481087036356963,
Angucyclines,1,1,0,100.0,0.0036724201248622846,0.0036724201248622846,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Ansa macrolides,242,242,0,100.0,0.8887256702166727,0.8887256702166727,
Anthocyanidins,126,126,0,100.0,0.46272493573264784,0.46272493573264784,
Anthranillic acid derivatives,359,359,0,100.0,1.31839882482556,1.31839882482556,
Anthraquinones and anthrones,124,124,0,100.0,0.45538009548292324,0.45538009548292324,
Aporphine alkaloids,70,70,0,100.0,0.2570694087403599,0.2570694087403599,
Arylnaphthalene and aryltetralin lignans,7,7,0,100.0,0.025706940874035987,0.025706940874035987,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Ascomycins and Rapamycins,76,76,0,100.0,0.2791039294895336,0.2791039294895336,
Aspidosperma type,42,42,0,100.0,0.15424164524421594,0.15424164524421594,
Aurones,4,4,0,100.0,0.014689680499449138,0.014689680499449138,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Azaphilones,104,104,0,100.0,0.38193169298567753,0.38193169298567753,
Azo and Azoxy alkaloids,11,11,0,100.0,0.040396621373485125,0.040396621373485125,LOW_TOTAL_SUPPORT
Benzodiazepine alkaloids,452,452,0,100.0,1.6599338964377524,1.6599338964377524,
Benzophenones,2,2,0,100.0,0.007344840249724569,0.007344840249724569,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Bisabolane sesquiterpenoids,1,1,0,100.0,0.0036724201248622846,0.0036724201248622846,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Botryane sesquiterpenoids,3,3,0,100.0,0.011017260374586852,0.011017260374586852,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cadinane sesquiterpenoids,14,14,0,100.0,0.051413881748071974,0.051413881748071974,LOW_TOTAL_SUPPORT
Camphane monoterpenoids,3,3,0,100.0,0.011017260374586852,0.011017260374586852,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Carane monoterpenoids,18,18,0,100.0,0.06610356224752112,0.06610356224752112,LOW_TOTAL_SUPPORT
Carbazole alkaloids,59,59,0,100.0,0.2166727873668748,0.2166727873668748,
Carboline alkaloids,3062,3062,0,100.0,11.244950422328316,11.244950422328316,
Cardenolides,15,15,0,100.0,0.05508630187293427,0.05508630187293427,LOW_TOTAL_SUPPORT
Catechols with side chains,12,12,0,100.0,0.04406904149834741,0.04406904149834741,LOW_TOTAL_SUPPORT
Cephalosporins,45,45,0,100.0,0.1652589056188028,0.1652589056188028,
Chalcones,639,639,0,100.0,2.3466764597869996,2.3466764597869996,
Chamigrane sesquiterpenoids,2,2,0,100.0,0.007344840249724569,0.007344840249724569,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cholestane steroids,27,27,0,100.0,0.09915534337128168,0.09915534337128168,LOW_TOTAL_SUPPORT
Chromones,110,110,0,100.0,0.4039662137348513,0.4039662137348513,
Cinnamic acid amides,7,7,0,100.0,0.025706940874035987,0.025706940874035987,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cinnamic acids and derivatives,1,1,0,100.0,0.0036724201248622846,0.0036724201248622846,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cyclic peptides,31,31,0,100.0,0.11384502387073081,0.11384502387073081,
Depsides,24,24,0,100.0,0.08813808299669482,0.08813808299669482,LOW_TOTAL_SUPPORT
Depsidones,54,54,0,100.0,0.19831068674256336,0.19831068674256336,
Depsipeptides,15,15,0,100.0,0.05508630187293427,0.05508630187293427,LOW_TOTAL_SUPPORT
Dipeptides,222,222,0,100.0,0.815277267719427,0.815277267719427,
Disaccharides,6,6,0,100.0,0.022034520749173704,0.022034520749173704,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Ergot alkaloids,5,5,0,100.0,0.01836210062431142,0.01836210062431142,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Ericamycins,6,6,0,100.0,0.022034520749173704,0.022034520749173704,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Estrane steroids,29,29,0,100.0,0.10650018362100624,0.10650018362100624,LOW_TOTAL_SUPPORT
Fatty acyl carnitines,2,2,0,100.0,0.007344840249724569,0.007344840249724569,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Fatty alcohols,3,3,0,100.0,0.011017260374586852,0.011017260374586852,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Flavanones,51,51,0,100.0,0.1872934263679765,0.1872934263679765,
Flavones,72,72,0,100.0,0.2644142489900845,0.2644142489900845,
Flavonols,5,5,0,100.0,0.01836210062431142,0.01836210062431142,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Fungal DPEs,19,19,0,100.0,0.0697759823723834,0.0697759823723834,LOW_TOTAL_SUPPORT
Furans,19,19,0,100.0,0.0697759823723834,0.0697759823723834,LOW_TOTAL_SUPPORT
Furocoumarins,21,21,0,100.0,0.07712082262210797,0.07712082262210797,LOW_TOTAL_SUPPORT
Glycerophosphocholines,1,1,0,100.0,0.0036724201248622846,0.0036724201248622846,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Griseofulvins,310,310,0,100.0,1.138450238707308,1.138450238707308,
Guaiane sesquiterpenoids,26,26,0,100.0,0.09548292324641938,0.09548292324641938,LOW_TOTAL_SUPPORT
Halogenated hydrocarbons,119,119,0,100.0,0.43701799485861187,0.43701799485861187,
Hapalindole alkaloids,13,13,0,100.0,0.04774146162320969,0.04774146162320969,LOW_TOTAL_SUPPORT
Hydrocarbons,3,3,0,100.0,0.011017260374586852,0.011017260374586852,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Imidazole alkaloids,889,889,0,100.0,3.2647814910025703,3.2647814910025703,
Indole-Diterpenoid alkaloids (Penitrems),14,14,0,100.0,0.051413881748071974,0.051413881748071974,LOW_TOTAL_SUPPORT
Indolizidine alkaloids,63,63,0,100.0,0.23136246786632392,0.23136246786632392,
Iridoids monoterpenoids,10,10,0,100.0,0.03672420124862284,0.03672420124862284,LOW_TOTAL_SUPPORT
Isocoumarins,49,49,0,100.0,0.17994858611825193,0.17994858611825193,
Isoflavones,310,310,0,100.0,1.138450238707308,1.138450238707308,
Isoindole alkaloids,3,3,0,100.0,0.011017260374586852,0.011017260374586852,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Isoquinoline alkaloids,1452,1452,0,100.0,5.332354021300037,5.332354021300037,
Kavalactones and derivatives,1,1,0,100.0,0.0036724201248622846,0.0036724201248622846,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Linear peptides,56,56,0,100.0,0.2056555269922879,0.2056555269922879,
Lipopeptides,13,13,0,100.0,0.04774146162320969,0.04774146162320969,LOW_TOTAL_SUPPORT
Lupane triterpenoids,8,8,0,100.0,0.029379360998898277,0.029379360998898277,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Marine-bacterial DPEs,11,11,0,100.0,0.040396621373485125,0.040396621373485125,LOW_TOTAL_SUPPORT
Melithiazole and Myxothiazole derivatives,1,1,0,100.0,0.0036724201248622846,0.0036724201248622846,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Menthane monoterpenoids,12,12,0,100.0,0.04406904149834741,0.04406904149834741,LOW_TOTAL_SUPPORT
Merohemiterpenoids,17,17,0,100.0,0.062431142122658836,0.062431142122658836,LOW_TOTAL_SUPPORT
Methyl xanthones,77,77,0,100.0,0.2827763496143959,0.2827763496143959,
Monocyclic monoterpenoids,9,9,0,100.0,0.03305178112376056,0.03305178112376056,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
