value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
AASDB,7,7,0,100.0,0.025706940874035987,0.025706940874035987,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
BERKELEY-LAB,268,268,0,100.0,0.9842085934630922,0.9842085934630922,
BIRMINGHAM-UHPLC-MS-POS,56,56,0,100.0,0.2056555269922879,0.2056555269922879,
BMDMS-NP,2332,2332,0,100.0,8.564083731178847,8.564083731178847,
DEREPLICATOR_IDENTIFIED_LIBRARY,1,1,0,100.0,0.0036724201248622846,0.0036724201248622846,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
DMIM-DRUG-METABOLITE-LIBRARY,258,258,0,100.0,0.9474843922144695,0.9474843922144695,
ECRFS_DB,9,9,0,100.0,0.03305178112376056,0.03305178112376056,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
ELIXDB-LICHEN-DATABASE,121,121,0,100.0,0.44436283510833635,0.44436283510833635,
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,35,35,0,100.0,0.12853470437017994,0.12853470437017994,
GNPS-ION-MOBILITY-LIBRARY,1288,1288,0,100.0,4.730077120822622,4.730077120822622,
GNPS-LIBRARY,134,134,0,100.0,0.4921042967315461,0.4921042967315461,
GNPS-NIH-CLINICALCOLLECTION1,38,38,0,100.0,0.1395519647447668,0.1395519647447668,
GNPS-NIH-CLINICALCOLLECTION2,4,4,0,100.0,0.014689680499449138,0.014689680499449138,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-NIH-NATURALPRODUCTSLIBRARY,39,39,0,100.0,0.1432243848696291,0.1432243848696291,
GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,58,58,0,100.0,0.2130003672420125,0.2130003672420125,
GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,296,296,0,100.0,1.0870363569592363,1.0870363569592363,
GNPS-NIST14-MATCHES,44,44,0,100.0,0.1615864854939405,0.1615864854939405,
GNPS-PRESTWICKPHYTOCHEM,1,1,0,100.0,0.0036724201248622846,0.0036724201248622846,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-REFRAME-DRUG-CCS-LIBRARY,288,288,0,100.0,1.057656995960338,1.057656995960338,
GNPS-SCIEX-LIBRARY,2,2,0,100.0,0.007344840249724569,0.007344840249724569,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-SELLECKCHEM-FDA-PART1,238,238,0,100.0,0.8740359897172237,0.8740359897172237,
GNPS-SELLECKCHEM-FDA-PART2,104,104,0,100.0,0.38193169298567753,0.38193169298567753,
HMDB,11,11,0,100.0,0.040396621373485125,0.040396621373485125,LOW_TOTAL_SUPPORT
LDB_POSITIVE,24,24,0,100.0,0.08813808299669482,0.08813808299669482,LOW_TOTAL_SUPPORT
LEAFBOT,4,4,0,100.0,0.014689680499449138,0.014689680499449138,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MASSBANK,266,266,0,100.0,0.9768637532133676,0.9768637532133676,
MASSBANKEU,6,6,0,100.0,0.022034520749173704,0.022034520749173704,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MCE-DRUG,1691,1691,0,100.0,6.210062431142123,6.210062431142123,
MMV_POSITIVE,6,6,0,100.0,0.022034520749173704,0.022034520749173704,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MONA,44,44,0,100.0,0.1615864854939405,0.1615864854939405,
MSNLIB-NEGATIVE,4593,4593,0,100.0,16.867425633492473,16.867425633492473,
MSNLIB-POSITIVE,9702,9702,0,100.0,35.62982005141388,35.62982005141388,
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-1,2,2,0,100.0,0.007344840249724569,0.007344840249724569,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-2,3,3,0,100.0,0.011017260374586852,0.011017260374586852,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-3,4,4,0,100.0,0.014689680499449138,0.014689680499449138,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-4,2,2,0,100.0,0.007344840249724569,0.007344840249724569,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-5,7,7,0,100.0,0.025706940874035987,0.025706940874035987,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6,3,3,0,100.0,0.011017260374586852,0.011017260374586852,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
PSU-MSMLS,6,6,0,100.0,0.022034520749173704,0.022034520749173704,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
PYRROLIZIDINE-ALKALOID-SPECTRAL-LIBRARY,8,8,0,100.0,0.029379360998898277,0.029379360998898277,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
REFRAME-NEGATIVE-LIBRARY,374,374,0,100.0,1.3734851266984944,1.3734851266984944,
REFRAME-POSITIVE-LIBRARY,974,974,0,100.0,3.5769372016158654,3.5769372016158654,
RESPECT,9,9,0,100.0,0.03305178112376056,0.03305178112376056,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TUEBINGEN-NATURAL-PRODUCT-COLLECTION,26,26,0,100.0,0.09548292324641938,0.09548292324641938,LOW_TOTAL_SUPPORT
UM-NPDC,4,4,0,100.0,0.014689680499449138,0.014689680499449138,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
UNKNOWN,2979,2979,0,100.0,10.940139551964744,10.940139551964744,
WFSR-LIBRARY,861,861,0,100.0,3.1619537275064267,3.1619537275064267,
TOTAL_RECORDS,27230,27230,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,27230,27230,0,100.0,100.0,100.0,
