row_element,column_element,cooccurrence_count,row_element_count,column_element_count,normalized_pmi
As,As,25,25,25,
As,B,0,25,136,-1.0
As,Br,0,25,4212,-1.0
As,C,25,25,443905,0.0
As,Cl,0,25,27230,-1.0
As,Co,0,25,16,-1.0
As,F,0,25,40395,-1.0
As,Fe,0,25,6,-1.0
As,H,25,25,443900,1.151182604569641e-6
As,I,0,25,1338,-1.0
As,K,0,25,85,-1.0
As,Mg,0,25,1,-1.0
As,N,21,25,287885,0.0259765198392372
As,Na,0,25,514,-1.0
As,O,25,25,429026,0.003484397482046496
As,P,0,25,15524,-1.0
As,S,10,25,55987,0.10786131857945878
As,Se,0,25,67,-1.0
As,Si,0,25,77,-1.0
B,As,0,136,25,-1.0
B,B,136,136,136,
B,Br,8,136,4212,0.1670150382766848
B,C,136,136,443905,0.0
B,Cl,21,136,27230,0.09269739288359476
B,Co,0,136,16,-1.0
B,F,36,136,40395,0.11335307493564727
B,Fe,0,136,6,-1.0
B,H,136,136,443900,1.3921810778026506e-6
B,I,0,136,1338,-1.0
B,K,0,136,85,-1.0
B,Mg,0,136,1,-1.0
B,N,121,136,287885,0.038523574709515215
B,Na,0,136,514,-1.0
B,O,136,136,429026,0.004213851236799918
B,P,0,136,15524,-1.0
B,S,12,136,55987,-0.03396478270696296
B,Se,0,136,67,-1.0
B,Si,0,136,77,-1.0
Br,As,0,4212,25,-1.0
Br,B,8,4212,136,0.1670150382766848
Br,Br,4212,4212,4212,
Br,C,4212,4212,443905,0.0
Br,Cl,235,4212,27230,-0.012568776653361874
Br,Co,0,4212,16,-1.0
Br,F,460,4212,40395,0.02654750830571262
Br,Fe,0,4212,6,-1.0
Br,H,4212,4212,443900,2.418318066072041e-6
Br,I,6,4212,1338,-0.06685025895467718
Br,K,0,4212,85,-1.0
Br,Mg,0,4212,1,-1.0
Br,N,3924,4212,287885,0.07660431472538864
Br,Na,0,4212,514,-1.0
Br,O,3945,4212,429026,-0.006647155034861532
Br,P,10,4212,15524,-0.25137272486264167
Br,S,770,4212,55987,0.05839077177494162
Br,Se,0,4212,67,-1.0
Br,Si,0,4212,77,-1.0
C,As,25,443905,25,0.0
C,B,136,443905,136,0.0
C,Br,4212,443905,4212,0.0
C,C,443905,443905,443905,
C,Cl,27230,443905,27230,0.0
C,Co,16,443905,16,0.0
C,F,40395,443905,40395,0.0
C,Fe,6,443905,6,0.0
C,H,443900,443905,443900,0.0
C,I,1338,443905,1338,0.0
C,K,85,443905,85,0.0
C,Mg,1,443905,1,0.0
C,N,287885,443905,287885,0.0
C,Na,514,443905,514,0.0
C,O,429026,443905,429026,0.0
C,P,15524,443905,15524,0.0
C,S,55987,443905,55987,0.0
C,Se,67,443905,67,0.0
C,Si,77,443905,77,0.0
Cl,As,0,27230,25,-1.0
Cl,B,21,27230,136,0.09269739288359476
Cl,Br,235,27230,4212,-0.012568776653361874
Cl,C,27230,27230,443905,0.0
Cl,Cl,27230,27230,27230,
Cl,Co,0,27230,16,-1.0
Cl,F,4737,27230,40395,0.14272242254394832
Cl,Fe,0,27230,6,-1.0
Cl,H,27227,27230,443900,-0.000035435583284754625
Cl,I,70,27230,1338,-0.01817785056953527
Cl,K,1,27230,85,-0.12699481088756592
Cl,Mg,0,27230,1,-1.0
Cl,N,25325,27230,287885,0.12588864168049924
Cl,Na,3,27230,514,-0.1975949938718793
Cl,O,25381,27230,429026,-0.01265909585285603
Cl,P,337,27230,15524,-0.1446091298655672
Cl,S,4785,27230,55987,0.0732116234676675
Cl,Se,0,27230,67,-1.0
Cl,Si,1,27230,77,-0.11939325327992595
Co,As,0,16,25,-1.0
Co,B,0,16,136,-1.0
Co,Br,0,16,4212,-1.0
Co,C,16,16,443905,0.0
Co,Cl,0,16,27230,-1.0
Co,Co,16,16,16,
Co,F,0,16,40395,-1.0
Co,Fe,0,16,6,-1.0
Co,H,16,16,443900,1.1009657009300532e-6
Co,I,0,16,1338,-1.0
Co,K,0,16,85,-1.0
Co,Mg,0,16,1,-1.0
Co,N,16,16,287885,0.04232811204244571
Co,Na,0,16,514,-1.0
Co,O,16,16,429026,0.0033324010465307407
Co,P,0,16,15524,-1.0
Co,S,0,16,55987,-1.0
Co,Se,0,16,67,-1.0
Co,Si,0,16,77,-1.0
F,As,0,40395,25,-1.0
F,B,36,40395,136,0.11335307493564727
F,Br,460,40395,4212,0.02654750830571262
F,C,40395,40395,443905,0.0
F,Cl,4737,40395,27230,0.14272242254394832
F,Co,0,40395,16,-1.0
F,F,40395,40395,40395,
F,Fe,0,40395,6,-1.0
F,H,40395,40395,443900,4.699283776964759e-6
F,I,249,40395,1338,0.0955696680451254
F,K,0,40395,85,-1.0
F,Mg,0,40395,1,-1.0
F,N,38407,40395,287885,0.15632416389687456
F,Na,2,40395,514,-0.25606137532800904
F,O,38675,40395,429026,-0.0038598179567805166
F,P,376,40395,15524,-0.18712052168204613
F,S,7190,40395,55987,0.0835515268928912
F,Se,2,40395,67,-0.09054598522627896
F,Si,51,40395,77,0.21880791166383723
Fe,As,0,6,25,-1.0
Fe,B,0,6,136,-1.0
Fe,Br,0,6,4212,-1.0
Fe,C,6,6,443905,0.0
Fe,Cl,0,6,27230,-1.0
Fe,Co,0,6,16,-1.0
Fe,F,0,6,40395,-1.0
Fe,Fe,6,6,6,
Fe,H,6,6,443900,1.0046494970854522e-6
Fe,I,0,6,1338,-1.0
Fe,K,0,6,85,-1.0
Fe,Mg,0,6,1,-1.0
Fe,N,6,6,287885,0.03862510561418612
Fe,Na,0,6,514,-1.0
Fe,O,6,6,429026,0.003040871330193114
Fe,P,0,6,15524,-1.0
Fe,S,0,6,55987,-1.0
Fe,Se,0,6,67,-1.0
Fe,Si,0,6,77,-1.0
H,As,25,443900,25,1.151182604569641e-6
H,B,136,443900,136,1.3921810778026506e-6
H,Br,4212,443900,4212,2.418318066072041e-6
H,C,443900,443900,443905,0.0
H,Cl,27227,443900,27230,-0.000035435583284754625
H,Co,16,443900,16,1.1009657009300532e-6
H,F,40395,443900,40395,4.699283776964759e-6
H,Fe,6,443900,6,1.0046494970854522e-6
H,H,443900,443900,443900,
H,I,1338,443900,1338,1.940539512604365e-6
H,K,85,443900,85,1.3157470194234222e-6
H,Mg,1,443900,1,8.662168581985562e-7
H,N,287883,443900,287885,9.96750492191874e-6
H,Na,514,443900,514,1.6659513637083602e-6
H,O,429021,443900,429026,-0.000011454094331098108
H,P,15524,443900,15524,3.3590767749560016e-6
H,S,55987,443900,55987,5.4401272062913256e-6
H,Se,67,443900,67,1.2801628626828149e-6
H,Si,77,443900,77,1.300728230295008e-6
I,As,0,1338,25,-1.0
I,B,0,1338,136,-1.0
I,Br,6,1338,4212,-0.06685025895467718
I,C,1338,1338,443905,0.0
I,Cl,70,1338,27230,-0.01817785056953527
I,Co,0,1338,16,-1.0
I,F,249,1338,40395,0.0955696680451254
I,Fe,0,1338,6,-1.0
I,H,1338,1338,443900,1.940539512604365e-6
I,I,1338,1338,1338,
I,K,0,1338,85,-1.0
I,Mg,0,1338,1,-1.0
I,N,1299,1338,287885,0.06915789533862778
I,Na,0,1338,514,-1.0
I,O,1263,1338,429026,-0.004024663938684621
I,P,0,1338,15524,-1.0
I,S,47,1338,55987,-0.13965498789833009
I,Se,0,1338,67,-1.0
I,Si,0,1338,77,-1.0
K,As,0,85,25,-1.0
K,B,0,85,136,-1.0
K,Br,0,85,4212,-1.0
K,C,85,85,443905,0.0
K,Cl,1,85,27230,-0.12699481088756592
K,Co,0,85,16,-1.0
K,F,0,85,40395,-1.0
K,Fe,0,85,6,-1.0
K,H,85,85,443900,1.3157470194234222e-6
K,I,0,85,1338,-1.0
K,K,85,85,85,
K,Mg,0,85,1,-1.0
K,N,52,85,287885,-0.006446892374435777
K,Na,0,85,514,-1.0
K,O,85,85,429026,0.003982500763459186
K,P,0,85,15524,-1.0
K,S,51,85,55987,0.17192950620737799
K,Se,0,85,67,-1.0
K,Si,0,85,77,-1.0
Mg,As,0,1,25,-1.0
Mg,B,0,1,136,-1.0
Mg,Br,0,1,4212,-1.0
Mg,C,1,1,443905,0.0
Mg,Cl,0,1,27230,-1.0
