value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
2-arylbenzofurans,1,1,0,100.0,0.0024755539051862854,0.0024755539051862854,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
4-pyrone derivatives,2,2,0,100.0,0.004951107810372571,0.004951107810372571,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Acridone alkaloids,721,721,0,100.0,1.7848743656393118,1.7848743656393118,
Amarylidaceae alkaloids,28,28,0,100.0,0.06931550934521599,0.06931550934521599,LOW_TOTAL_SUPPORT
Aminoacids,869,869,0,100.0,2.151256343606882,2.151256343606882,
Androstane steroids,113,113,0,100.0,0.27973759128605025,0.27973759128605025,
Ansa macrolides,28,28,0,100.0,0.06931550934521599,0.06931550934521599,LOW_TOTAL_SUPPORT
Anthracyclines,11,11,0,100.0,0.02723109295704914,0.02723109295704914,LOW_TOTAL_SUPPORT
Anthranillic acid derivatives,169,169,0,100.0,0.41836860997648223,0.41836860997648223,
Anthraquinones and anthrones,9,9,0,100.0,0.02227998514667657,0.02227998514667657,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aporphine alkaloids,23,23,0,100.0,0.05693773981928457,0.05693773981928457,LOW_TOTAL_SUPPORT
Aspidosperma type,57,57,0,100.0,0.14110657259561826,0.14110657259561826,
Aspidosperma-Iboga hybrid type (Vinca alkaloids),1,1,0,100.0,0.0024755539051862854,0.0024755539051862854,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Azaphilones,4,4,0,100.0,0.009902215620745142,0.009902215620745142,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Benzodiazepine alkaloids,251,251,0,100.0,0.6213640302017576,0.6213640302017576,
Botryane sesquiterpenoids,3,3,0,100.0,0.007426661715558856,0.007426661715558856,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
CDP-Glycerols,2,2,0,100.0,0.004951107810372571,0.004951107810372571,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Camphane monoterpenoids,13,13,0,100.0,0.03218220076742171,0.03218220076742171,LOW_TOTAL_SUPPORT
Carane monoterpenoids,9,9,0,100.0,0.02227998514667657,0.02227998514667657,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Carbazole alkaloids,113,113,0,100.0,0.27973759128605025,0.27973759128605025,
Carboline alkaloids,7878,7878,0,100.0,19.502413665057556,19.502413665057556,
Cardenolides,21,21,0,100.0,0.051986632008911994,0.051986632008911994,LOW_TOTAL_SUPPORT
Catechols with side chains,8,8,0,100.0,0.019804431241490283,0.019804431241490283,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cephalosporins,18,18,0,100.0,0.04455997029335314,0.04455997029335314,LOW_TOTAL_SUPPORT
Chalcones,375,375,0,100.0,0.928332714444857,0.928332714444857,
Cholane steroids,1,1,0,100.0,0.0024755539051862854,0.0024755539051862854,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Chromones,162,162,0,100.0,0.4010397326401782,0.4010397326401782,
Cinnamic acid amides,6,6,0,100.0,0.014853323431117713,0.014853323431117713,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cinnamic acids and derivatives,17,17,0,100.0,0.04208441638816685,0.04208441638816685,LOW_TOTAL_SUPPORT
Corynanthe type,31,31,0,100.0,0.07674217106077484,0.07674217106077484,
Cyclic peptides,10,10,0,100.0,0.024755539051862854,0.024755539051862854,LOW_TOTAL_SUPPORT
Dipeptides,391,391,0,100.0,0.9679415769278376,0.9679415769278376,
Ergot alkaloids,10,10,0,100.0,0.024755539051862854,0.024755539051862854,LOW_TOTAL_SUPPORT
Erythromycins,11,11,0,100.0,0.02723109295704914,0.02723109295704914,LOW_TOTAL_SUPPORT
Estrane steroids,40,40,0,100.0,0.09902215620745142,0.09902215620745142,
Flavanones,54,54,0,100.0,0.1336799108800594,0.1336799108800594,
Flavones,19,19,0,100.0,0.04703552419853942,0.04703552419853942,LOW_TOTAL_SUPPORT
Flavonols,2,2,0,100.0,0.004951107810372571,0.004951107810372571,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Fungal DPEs,2,2,0,100.0,0.004951107810372571,0.004951107810372571,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Furans,48,48,0,100.0,0.1188265874489417,0.1188265874489417,
Furocoumarins,56,56,0,100.0,0.13863101869043198,0.13863101869043198,
Halogenated hydrocarbons,1,1,0,100.0,0.0024755539051862854,0.0024755539051862854,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Imidazole alkaloids,883,883,0,100.0,2.18591409827949,2.18591409827949,
Indolizidine alkaloids,11,11,0,100.0,0.02723109295704914,0.02723109295704914,LOW_TOTAL_SUPPORT
Iridoids monoterpenoids,16,16,0,100.0,0.03960886248298057,0.03960886248298057,LOW_TOTAL_SUPPORT
Isocoumarins,6,6,0,100.0,0.014853323431117713,0.014853323431117713,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Isoflavones,152,152,0,100.0,0.3762841935883154,0.3762841935883154,
Isoindole alkaloids,5,5,0,100.0,0.012377769525931427,0.012377769525931427,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Isoquinoline alkaloids,1760,1760,0,100.0,4.356974873127863,4.356974873127863,
Laurane sesquiterpenoids,17,17,0,100.0,0.04208441638816685,0.04208441638816685,LOW_TOTAL_SUPPORT
Linear peptides,30,30,0,100.0,0.07426661715558856,0.07426661715558856,
Menthane monoterpenoids,104,104,0,100.0,0.2574576061393737,0.2574576061393737,
Merohemiterpenoids,17,17,0,100.0,0.04208441638816685,0.04208441638816685,LOW_TOTAL_SUPPORT
Monocyclic monoterpenoids,11,11,0,100.0,0.02723109295704914,0.02723109295704914,LOW_TOTAL_SUPPORT
Naphthoquinones,2,2,0,100.0,0.004951107810372571,0.004951107810372571,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Neolignans,43,43,0,100.0,0.10644881792301027,0.10644881792301027,
Other indole diketopiperazine alkaloids,7,7,0,100.0,0.017328877336303998,0.017328877336303998,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Oxazole alkaloids,42,42,0,100.0,0.10397326401782399,0.10397326401782399,
Penicillins,27,27,0,100.0,0.0668399554400297,0.0668399554400297,LOW_TOTAL_SUPPORT
Phenanthrenes,6,6,0,100.0,0.014853323431117713,0.014853323431117713,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Phenazine alkaloids,359,359,0,100.0,0.8887238519618765,0.8887238519618765,
Phenoxazine alkaloids,18,18,0,100.0,0.04455997029335314,0.04455997029335314,LOW_TOTAL_SUPPORT
Phenylalanine-derived alkaloids,893,893,0,100.0,2.210669637331353,2.210669637331353,
Phenylethylamines,578,578,0,100.0,1.430870157197673,1.430870157197673,
Phthalide derivatives,7,7,0,100.0,0.017328877336303998,0.017328877336303998,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Piperidine alkaloids,2094,2094,0,100.0,5.183809877460082,5.183809877460082,
Polyamines,138,138,0,100.0,0.3416264389157074,0.3416264389157074,
Pregnane steroids,1181,1181,0,100.0,2.923629162025003,2.923629162025003,
Prostaglandins,55,55,0,100.0,0.1361554647852457,0.1361554647852457,
Protoberberine alkaloids,9,9,0,100.0,0.02227998514667657,0.02227998514667657,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Pterocarpan,8,8,0,100.0,0.019804431241490283,0.019804431241490283,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
