value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Anthranilic acid alkaloids,2783,2783,0,100.0,6.889466518133433,6.889466518133433,
Aromatic polyketides,8,8,0,100.0,0.019804431241490283,0.019804431241490283,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Chromanes,166,166,0,100.0,0.41094194826092334,0.41094194826092334,
Coumarins,277,277,0,100.0,0.6857284317366011,0.6857284317366011,
Cyclic polyketides,57,57,0,100.0,0.14110657259561826,0.14110657259561826,
Diphenyl ethers (DPEs),2,2,0,100.0,0.004951107810372571,0.004951107810372571,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Diterpenoids,1,1,0,100.0,0.0024755539051862854,0.0024755539051862854,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Eicosanoids,55,55,0,100.0,0.1361554647852457,0.1361554647852457,
Fatty acyls,1,1,0,100.0,0.0024755539051862854,0.0024755539051862854,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Flavonoids,450,450,0,100.0,1.1139992573338284,1.1139992573338284,
Glycerophospholipids,2,2,0,100.0,0.004951107810372571,0.004951107810372571,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Histidine alkaloids,883,883,0,100.0,2.18591409827949,2.18591409827949,
Isoflavonoids,161,161,0,100.0,0.39856417873499195,0.39856417873499195,
Lignans,43,43,0,100.0,0.10644881792301027,0.10644881792301027,
Lysine alkaloids,2931,2931,0,100.0,7.255848496101002,7.255848496101002,
Macrolides,39,39,0,100.0,0.09654660230226512,0.09654660230226512,
Meroterpenoids,17,17,0,100.0,0.04208441638816685,0.04208441638816685,LOW_TOTAL_SUPPORT
Monoterpenoids,153,153,0,100.0,0.37875974749350166,0.37875974749350166,
Naphthalenes,2,2,0,100.0,0.004951107810372571,0.004951107810372571,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Nicotinic acid alkaloids,13995,13995,0,100.0,34.64537690308207,34.64537690308207,
Nucleosides,563,563,0,100.0,1.3937368486198787,1.3937368486198787,
Oligopeptides,40,40,0,100.0,0.09902215620745142,0.09902215620745142,
Ornithine alkaloids,939,939,0,100.0,2.324545116969922,2.324545116969922,
Peptide alkaloids,330,330,0,100.0,0.8169327887114741,0.8169327887114741,
Phenanthrenoids,6,6,0,100.0,0.014853323431117713,0.014853323431117713,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Phenolic acids (C6-C1),385,385,0,100.0,0.9530882534967198,0.9530882534967198,
Phenylpropanoids (C6-C3),23,23,0,100.0,0.05693773981928457,0.05693773981928457,LOW_TOTAL_SUPPORT
Polycyclic aromatic polyketides,21,21,0,100.0,0.051986632008911994,0.051986632008911994,LOW_TOTAL_SUPPORT
Proline alkaloids,28,28,0,100.0,0.06931550934521599,0.06931550934521599,LOW_TOTAL_SUPPORT
Pseudoalkaloids,1701,1701,0,100.0,4.210917192721872,4.210917192721872,
Serine alkaloids,42,42,0,100.0,0.10397326401782399,0.10397326401782399,
Sesquiterpenoids,20,20,0,100.0,0.04951107810372571,0.04951107810372571,LOW_TOTAL_SUPPORT
Small peptides,1472,1472,0,100.0,3.6440153484342126,3.6440153484342126,
Steroids,1330,1330,0,100.0,3.2924866938977595,3.2924866938977595,
Terphenyls,35,35,0,100.0,0.08664438668151998,0.08664438668151998,
Tetramate alkaloids,74,74,0,100.0,0.18319098898378514,0.18319098898378514,
Tryptophan alkaloids,9140,9140,0,100.0,22.62656269340265,22.62656269340265,
Tyrosine alkaloids,2431,2431,0,100.0,6.01807154350786,6.01807154350786,
β-lactams,45,45,0,100.0,0.11139992573338284,0.11139992573338284,
TOTAL_RECORDS,40395,40395,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,40651,40651,0,100.0,100.63374179972769,100.63374179972769,
