value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
12-oxophytodienoic acid metabolites,4,4,0,100.0,0.0009011038522189682,0.0009011038522189682,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
2-arylbenzofurans,81,81,0,100.0,0.018247353007434106,0.018247353007434106,
2-pyrone derivatives,530,530,0,100.0,0.11939626041901329,0.11939626041901329,
3-Decalinoyltetramic acids,34,34,0,100.0,0.00765938274386123,0.00765938274386123,
3-Spirotetramic acids,13,13,0,100.0,0.002928587519711647,0.002928587519711647,LOW_TOTAL_SUPPORT
3-oligoenoyltetramic acids,6,6,0,100.0,0.0013516557783284523,0.0013516557783284523,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
4-pyrone derivatives,173,173,0,100.0,0.038972741608470376,0.038972741608470376,
Abeoabietane diterpenoids,152,152,0,100.0,0.03424194638432079,0.03424194638432079,
Abeolupane triterpenoids,1,1,0,100.0,0.00022527596305474206,0.00022527596305474206,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Abeotaxane diterpenoids,1,1,0,100.0,0.00022527596305474206,0.00022527596305474206,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Abietane diterpenoids,885,885,0,100.0,0.1993692273034467,0.1993692273034467,
Acetate-derived alkaloids,56,56,0,100.0,0.012615453931065555,0.012615453931065555,
Acetogenins,116,116,0,100.0,0.02613201171435008,0.02613201171435008,
Acorane sesquiterpenoids,9,9,0,100.0,0.0020274836674926784,0.0020274836674926784,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Acridone alkaloids,2151,2151,0,100.0,0.4845685965307502,0.4845685965307502,
Actinomycins,27,27,0,100.0,0.006082451002478036,0.006082451002478036,LOW_TOTAL_SUPPORT
Acyclic guanidine alkaloids,5,5,0,100.0,0.0011263798152737104,0.0011263798152737104,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Acyclic monoterpenoids,1346,1346,0,100.0,0.3032214462716828,0.3032214462716828,
Acyclic triterpenoids,89,89,0,100.0,0.02004956071187204,0.02004956071187204,
Acyl phloroglucinols,399,399,0,100.0,0.08988510925884209,0.08988510925884209,
Aeruginosins,1,1,0,100.0,0.00022527596305474206,0.00022527596305474206,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aflatoxins,88,88,0,100.0,0.0198242847488173,0.0198242847488173,
Africanane sesquiterpenoids,2,2,0,100.0,0.0004505519261094841,0.0004505519261094841,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Agarofuran sesquiterpenoids,192,192,0,100.0,0.04325298490651047,0.04325298490651047,
Ahp-containing cyclodepsipeptides,20,20,0,100.0,0.004505519261094841,0.004505519261094841,LOW_TOTAL_SUPPORT
Allohimachalane sesquiterpenoids,1,1,0,100.0,0.00022527596305474206,0.00022527596305474206,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Amarylidaceae alkaloids,1224,1224,0,100.0,0.2757377787790043,0.2757377787790043,
Amino cyclitols,354,354,0,100.0,0.07974769092137869,0.07974769092137869,
Amino fatty acids,88,88,0,100.0,0.0198242847488173,0.0198242847488173,
Aminoacids,12822,12822,0,100.0,2.888488398287903,2.888488398287903,
Aminoglycosides,183,183,0,100.0,0.041225501239017796,0.041225501239017796,
Aminosugars,840,840,0,100.0,0.18923180896598332,0.18923180896598332,
Amphilectane diterpenoids,2,2,0,100.0,0.0004505519261094841,0.0004505519261094841,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Anabaenopeptins,29,29,0,100.0,0.00653300292858752,0.00653300292858752,LOW_TOTAL_SUPPORT
Androstane steroids,1638,1638,0,100.0,0.3690020274836675,0.3690020274836675,
Angucyclines,196,196,0,100.0,0.04415408875872944,0.04415408875872944,
Ansa macrolides,2040,2040,0,100.0,0.45956296463167384,0.45956296463167384,
Ansa peptide alkaloids,3,3,0,100.0,0.0006758278891642261,0.0006758278891642261,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Anthocyanidins,1384,1384,0,100.0,0.311781932867763,0.311781932867763,
Anthracyclines,250,250,0,100.0,0.05631899076368552,0.05631899076368552,
Anthranillic acid derivatives,1259,1259,0,100.0,0.28362243748592025,0.28362243748592025,
Anthraquinones and anthrones,1985,1985,0,100.0,0.44717278666366295,0.44717278666366295,
Antimycins,25,25,0,100.0,0.005631899076368551,0.005631899076368551,LOW_TOTAL_SUPPORT
Aphidicolane diterpenoids,9,9,0,100.0,0.0020274836674926784,0.0020274836674926784,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aplysiatoxins,7,7,0,100.0,0.0015769317413831944,0.0015769317413831944,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
