value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
3-HYDROXY-ACYL-AMIDES-LIBRARY,105,105,0,100.0,0.023653976120747915,0.023653976120747915,
AASDB,93,93,0,100.0,0.02095066456409101,0.02095066456409101,
BERKELEY-LAB,3396,3396,0,100.0,0.7650371705339041,0.7650371705339041,
BILELIB19,3819,3819,0,100.0,0.8603289029060599,0.8603289029060599,
BIRMINGHAM-UHPLC-MS-NEG,1,1,0,100.0,0.00022527596305474206,0.00022527596305474206,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
BIRMINGHAM-UHPLC-MS-POS,669,669,0,100.0,0.15070961928362242,0.15070961928362242,
BMDMS-NP,125071,125071,0,100.0,28.17548997521964,28.17548997521964,
CMMC-FOOD-BIOMARKERS,629,629,0,100.0,0.14169858076143277,0.14169858076143277,
DEREPLICATOR_IDENTIFIED_LIBRARY,363,363,0,100.0,0.08177517458887136,0.08177517458887136,
DMIM-DRUG-METABOLITE-LIBRARY,3634,3634,0,100.0,0.8186528497409326,0.8186528497409326,
ECG-ACYL-AMIDES-C4-C24-LIBRARY,719,719,0,100.0,0.16197341743635954,0.16197341743635954,
ECG-ACYL-ESTERS-C4-C24-LIBRARY,137,137,0,100.0,0.030862806938499663,0.030862806938499663,
ECRFS_DB,79,79,0,100.0,0.01779680108132462,0.01779680108132462,
ELIXDB-LICHEN-DATABASE,519,519,0,100.0,0.11691822482541112,0.11691822482541112,
GNPS-ALKYLAMINES-BILE-ACIDS-LIBRARY,24,24,0,100.0,0.005406623113313809,0.005406623113313809,LOW_TOTAL_SUPPORT
GNPS-ALKYLAMINES-LIBRARY,2428,2428,0,100.0,0.5469700382969137,0.5469700382969137,
GNPS-COLLECTIONS-MISC,4,4,0,100.0,0.0009011038522189682,0.0009011038522189682,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,109,109,0,100.0,0.024555079972966885,0.024555079972966885,
GNPS-IIMN-PROPOGATED,145,145,0,100.0,0.0326650146429376,0.0326650146429376,
GNPS-IOBA-NHC,90,90,0,100.0,0.020274836674926786,0.020274836674926786,
GNPS-ION-MOBILITY-LIBRARY,9218,9218,0,100.0,2.076593827438612,2.076593827438612,
GNPS-LIBRARY,5073,5073,0,100.0,1.1428249605767065,1.1428249605767065,
GNPS-MSMLS,442,442,0,100.0,0.09957197567019599,0.09957197567019599,
GNPS-NIH-CLINICALCOLLECTION1,266,266,0,100.0,0.059923406172561394,0.059923406172561394,
GNPS-NIH-CLINICALCOLLECTION2,13,13,0,100.0,0.002928587519711647,0.002928587519711647,LOW_TOTAL_SUPPORT
GNPS-NIH-NATURALPRODUCTSLIBRARY,923,923,0,100.0,0.2079297138995269,0.2079297138995269,
GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,4207,4207,0,100.0,0.9477359765712998,0.9477359765712998,
GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,906,906,0,100.0,0.20410002252759632,0.20410002252759632,
GNPS-NIST14-MATCHES,2631,2631,0,100.0,0.5927010587970264,0.5927010587970264,
GNPS-NUTRI-METAB-FEM-NEG,1964,1964,0,100.0,0.4424419914395134,0.4424419914395134,
GNPS-NUTRI-METAB-FEM-POS,1489,1489,0,100.0,0.33543590898851094,0.33543590898851094,
GNPS-PRESTWICKPHYTOCHEM,108,108,0,100.0,0.024329804009912144,0.024329804009912144,
GNPS-REFRAME-DRUG-CCS-LIBRARY,1557,1557,0,100.0,0.3507546744762334,0.3507546744762334,
GNPS-SAM-SIK-KANG-LEGACY-LIBRARY,49,49,0,100.0,0.01103852218968236,0.01103852218968236,
GNPS-SCIEX-LIBRARY,35,35,0,100.0,0.007884658706915973,0.007884658706915973,
GNPS-SELLECKCHEM-FDA-PART1,1233,1233,0,100.0,0.27776526244649696,0.27776526244649696,
GNPS-SELLECKCHEM-FDA-PART2,396,396,0,100.0,0.08920928136967785,0.08920928136967785,
GNPS-XENORHABDUS-PHOTORHABDUS-COMPOUNDS-LIBRARY,24,24,0,100.0,0.005406623113313809,0.005406623113313809,LOW_TOTAL_SUPPORT
HMDB,1518,1518,0,100.0,0.34196891191709844,0.34196891191709844,
IQAMDB,28,28,0,100.0,0.0063077269655327775,0.0063077269655327775,LOW_TOTAL_SUPPORT
LDB_POSITIVE,268,268,0,100.0,0.06037395809867087,0.06037395809867087,
LEAFBOT,751,751,0,100.0,0.1691822482541113,0.1691822482541113,
MASSBANK,8344,8344,0,100.0,1.8797026357287676,1.8797026357287676,
MASSBANKEU,78,78,0,100.0,0.01757152511826988,0.01757152511826988,
MCE-DRUG,12619,12619,0,100.0,2.84275737778779,2.84275737778779,
MIADB,365,365,0,100.0,0.08222572651498085,0.08222572651498085,
MMV_POSITIVE,29,29,0,100.0,0.00653300292858752,0.00653300292858752,LOW_TOTAL_SUPPORT
MONA,2672,2672,0,100.0,0.6019373732822708,0.6019373732822708,
MSNLIB-NEGATIVE,46725,46725,0,100.0,10.526019373732822,10.526019373732822,
MSNLIB-POSITIVE,120978,120978,0,100.0,27.253435458436588,27.253435458436588,
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-1,1102,1102,0,100.0,0.24825411128632574,0.24825411128632574,
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-2,1033,1033,0,100.0,0.23271006983554854,0.23271006983554854,
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-3,665,665,0,100.0,0.14980851543140347,0.14980851543140347,
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-4,452,452,0,100.0,0.10182473530074342,0.10182473530074342,
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-5,494,494,0,100.0,0.11128632574904258,0.11128632574904258,
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6,157,157,0,100.0,0.035368326199594506,0.035368326199594506,
MULTIPLEX-SYNTHESIS-LIBRARY-FILTERED-PARTITION-4,136,136,0,100.0,0.03063753097544492,0.03063753097544492,
NEO-MSMS,66,66,0,100.0,0.014868213561612977,0.014868213561612977,
PHENOLICSDB,141,141,0,100.0,0.03176391079071863,0.03176391079071863,
PNNL-LIPIDS-POSITIVE,2,2,0,100.0,0.0004505519261094841,0.0004505519261094841,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
PSU-MSMLS,482,482,0,100.0,0.10858301419238567,0.10858301419238567,
PYRROLIZIDINE-ALKALOID-SPECTRAL-LIBRARY,161,161,0,100.0,0.036269430051813475,0.036269430051813475,
REFRAME-NEGATIVE-LIBRARY,2453,2453,0,100.0,0.5526019373732822,0.5526019373732822,
REFRAME-POSITIVE-LIBRARY,6633,6633,0,100.0,1.494255462942104,1.494255462942104,
RESPECT,2118,2118,0,100.0,0.4771344897499437,0.4771344897499437,
SUMNER,2,2,0,100.0,0.0004505519261094841,0.0004505519261094841,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TUEBINGEN-NATURAL-PRODUCT-COLLECTION,785,785,0,100.0,0.1768416309979725,0.1768416309979725,
UM-NPDC,34,34,0,100.0,0.00765938274386123,0.00765938274386123,
UNKNOWN,54345,54345,0,100.0,12.242622212209957,12.242622212209957,
WFSR-LIBRARY,4967,4967,0,100.0,1.1189457084929038,1.1189457084929038,
WINE-DB-ORBITRAP,146,146,0,100.0,0.032890290605992335,0.032890290605992335,
WINE-DB-QTOF,535,535,0,100.0,0.12052264023428699,0.12052264023428699,
XANTHONES-DB,48,48,0,100.0,0.010813246226627618,0.010813246226627618,
TOTAL_RECORDS,443900,443900,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,443900,443900,0,100.0,100.0,100.0,
