value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1200,1200,0,100.0,0.27033115566569044,0.27033115566569044,
IonTrap,1883,1883,0,100.0,0.4241946384320793,0.4241946384320793,
MagneticSector,164,164,0,100.0,0.0369452579409777,0.0369452579409777,
Orbitrap,375443,375443,0,100.0,84.57828339716153,84.57828339716153,
Other,20499,20499,0,100.0,4.617931966659158,4.617931966659158,
Quadrupole,6621,6621,0,100.0,1.4915521513854473,1.4915521513854473,
TimeOfFlight,37520,37520,0,100.0,8.452354133813921,8.452354133813921,
UNKNOWN,570,570,0,100.0,0.12840729894120298,0.12840729894120298,
TOTAL_RECORDS,443900,443900,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,443900,443900,0,100.0,100.0,100.0,
