value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Aminoacids,237,237,0,100.0,17.713004484304935,17.713004484304935,
Aminosugars,4,4,0,100.0,0.29895366218236175,0.29895366218236175,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Anthranillic acid derivatives,1,1,0,100.0,0.07473841554559044,0.07473841554559044,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Anthraquinones and anthrones,8,8,0,100.0,0.5979073243647235,0.5979073243647235,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aporphine alkaloids,48,48,0,100.0,3.587443946188341,3.587443946188341,
Azaphilones,4,4,0,100.0,0.29895366218236175,0.29895366218236175,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Benzodiazepine alkaloids,5,5,0,100.0,0.37369207772795215,0.37369207772795215,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Carbazole alkaloids,2,2,0,100.0,0.14947683109118087,0.14947683109118087,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Carboline alkaloids,168,168,0,100.0,12.556053811659194,12.556053811659194,
Chalcones,33,33,0,100.0,2.4663677130044843,2.4663677130044843,
Cholestane steroids,20,20,0,100.0,1.4947683109118086,1.4947683109118086,LOW_TOTAL_SUPPORT
Chromones,66,66,0,100.0,4.932735426008969,4.932735426008969,
Dipeptides,5,5,0,100.0,0.37369207772795215,0.37369207772795215,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Imidazole alkaloids,14,14,0,100.0,1.046337817638266,1.046337817638266,LOW_TOTAL_SUPPORT
Isoquinoline alkaloids,59,59,0,100.0,4.409566517189836,4.409566517189836,
Marine-bacterial DPEs,1,1,0,100.0,0.07473841554559044,0.07473841554559044,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Monomeric stilbenes,2,2,0,100.0,0.14947683109118087,0.14947683109118087,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Morphinan alkaloids,1,1,0,100.0,0.07473841554559044,0.07473841554559044,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Oligomeric stibenes,8,8,0,100.0,0.5979073243647235,0.5979073243647235,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Phenazine alkaloids,5,5,0,100.0,0.37369207772795215,0.37369207772795215,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Phenoxazine alkaloids,39,39,0,100.0,2.914798206278027,2.914798206278027,
Phenylalanine-derived alkaloids,18,18,0,100.0,1.345291479820628,1.345291479820628,LOW_TOTAL_SUPPORT
Phenylethylamines,3,3,0,100.0,0.2242152466367713,0.2242152466367713,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Piperidine alkaloids,15,15,0,100.0,1.1210762331838564,1.1210762331838564,LOW_TOTAL_SUPPORT
Polyamines,2,2,0,100.0,0.14947683109118087,0.14947683109118087,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Purine alkaloids,15,15,0,100.0,1.1210762331838564,1.1210762331838564,LOW_TOTAL_SUPPORT
Purine nucleos(t)ides,50,50,0,100.0,3.7369207772795217,3.7369207772795217,
Pyrazine and Piperazine alkaloids,5,5,0,100.0,0.37369207772795215,0.37369207772795215,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Pyridine alkaloids,74,74,0,100.0,5.5306427503736915,5.5306427503736915,
Pyrimidine nucleos(t)ides,36,36,0,100.0,2.690582959641256,2.690582959641256,
Pyrrolizidine alkaloids,51,51,0,100.0,3.811659192825112,3.811659192825112,
Pyrroloquinoline alkaloids,2,2,0,100.0,0.14947683109118087,0.14947683109118087,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Quinazoline alkaloids,91,91,0,100.0,6.801195814648729,6.801195814648729,
Quinoline alkaloids,54,54,0,100.0,4.0358744394618835,4.0358744394618835,
Quinolizidine alkaloids,5,5,0,100.0,0.37369207772795215,0.37369207772795215,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Simple amide alkaloids,190,190,0,100.0,14.200298953662182,14.200298953662182,
Simple coumarins,69,69,0,100.0,5.15695067264574,5.15695067264574,
Simple indole alkaloids,20,20,0,100.0,1.4947683109118086,1.4947683109118086,LOW_TOTAL_SUPPORT
Simple phenolic acids,9,9,0,100.0,0.672645739910314,0.672645739910314,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tetrahydroisoquinoline alkaloids,1,1,0,100.0,0.07473841554559044,0.07473841554559044,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tropane alkaloids,4,4,0,100.0,0.29895366218236175,0.29895366218236175,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
pteridine alkaloids,14,14,0,100.0,1.046337817638266,1.046337817638266,LOW_TOTAL_SUPPORT
TOTAL_RECORDS,1338,1338,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,1458,1458,0,100.0,108.96860986547085,108.96860986547085,
