value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
BERKELEY-LAB,13,13,0,100.0,0.9715994020926756,0.9715994020926756,LOW_TOTAL_SUPPORT
BIRMINGHAM-UHPLC-MS-POS,7,7,0,100.0,0.523168908819133,0.523168908819133,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
BMDMS-NP,113,113,0,100.0,8.44544095665172,8.44544095665172,
DMIM-DRUG-METABOLITE-LIBRARY,7,7,0,100.0,0.523168908819133,0.523168908819133,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-ION-MOBILITY-LIBRARY,67,67,0,100.0,5.007473841554559,5.007473841554559,
GNPS-LIBRARY,13,13,0,100.0,0.9715994020926756,0.9715994020926756,LOW_TOTAL_SUPPORT
GNPS-MSMLS,2,2,0,100.0,0.14947683109118087,0.14947683109118087,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-NIH-CLINICALCOLLECTION1,2,2,0,100.0,0.14947683109118087,0.14947683109118087,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-NIH-NATURALPRODUCTSLIBRARY,1,1,0,100.0,0.07473841554559044,0.07473841554559044,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,23,23,0,100.0,1.71898355754858,1.71898355754858,LOW_TOTAL_SUPPORT
GNPS-NIST14-MATCHES,2,2,0,100.0,0.14947683109118087,0.14947683109118087,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-REFRAME-DRUG-CCS-LIBRARY,18,18,0,100.0,1.345291479820628,1.345291479820628,LOW_TOTAL_SUPPORT
GNPS-SELLECKCHEM-FDA-PART1,9,9,0,100.0,0.672645739910314,0.672645739910314,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-SELLECKCHEM-FDA-PART2,1,1,0,100.0,0.07473841554559044,0.07473841554559044,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
HMDB,9,9,0,100.0,0.672645739910314,0.672645739910314,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MASSBANK,19,19,0,100.0,1.4200298953662183,1.4200298953662183,LOW_TOTAL_SUPPORT
MCE-DRUG,138,138,0,100.0,10.31390134529148,10.31390134529148,
MONA,21,21,0,100.0,1.5695067264573992,1.5695067264573992,LOW_TOTAL_SUPPORT
MSNLIB-NEGATIVE,231,231,0,100.0,17.26457399103139,17.26457399103139,
MSNLIB-POSITIVE,364,364,0,100.0,27.204783258594915,27.204783258594915,
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-3,1,1,0,100.0,0.07473841554559044,0.07473841554559044,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-4,2,2,0,100.0,0.14947683109118087,0.14947683109118087,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-5,2,2,0,100.0,0.14947683109118087,0.14947683109118087,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6,1,1,0,100.0,0.07473841554559044,0.07473841554559044,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
PSU-MSMLS,6,6,0,100.0,0.4484304932735426,0.4484304932735426,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
REFRAME-NEGATIVE-LIBRARY,24,24,0,100.0,1.7937219730941705,1.7937219730941705,LOW_TOTAL_SUPPORT
REFRAME-POSITIVE-LIBRARY,29,29,0,100.0,2.167414050822123,2.167414050822123,LOW_TOTAL_SUPPORT
UNKNOWN,213,213,0,100.0,15.919282511210762,15.919282511210762,
TOTAL_RECORDS,1338,1338,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,1338,1338,0,100.0,100.0,100.0,
