value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
2-arylbenzofurans,20,20,0,100.0,0.006947218507390103,0.006947218507390103,LOW_TOTAL_SUPPORT
2-pyrone derivatives,79,79,0,100.0,0.02744151310419091,0.02744151310419091,
3-Decalinoyltetramic acids,34,34,0,100.0,0.011810271462563176,0.011810271462563176,
3-Spirotetramic acids,9,9,0,100.0,0.0031262483283255467,0.0031262483283255467,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
3-oligoenoyltetramic acids,6,6,0,100.0,0.002084165552217031,0.002084165552217031,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
4-pyrone derivatives,16,16,0,100.0,0.005557774805912083,0.005557774805912083,LOW_TOTAL_SUPPORT
Abietane diterpenoids,226,226,0,100.0,0.07850356913350817,0.07850356913350817,
Acetate-derived alkaloids,56,56,0,100.0,0.01945221182069229,0.01945221182069229,
Acorane sesquiterpenoids,1,1,0,100.0,0.0003473609253695052,0.0003473609253695052,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Acridone alkaloids,2137,2137,0,100.0,0.7423102975146325,0.7423102975146325,
Actinomycins,27,27,0,100.0,0.00937874498497664,0.00937874498497664,LOW_TOTAL_SUPPORT
Acyclic guanidine alkaloids,5,5,0,100.0,0.0017368046268475257,0.0017368046268475257,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Acyclic monoterpenoids,37,37,0,100.0,0.012852354238671692,0.012852354238671692,
Acyl phloroglucinols,2,2,0,100.0,0.0006947218507390104,0.0006947218507390104,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aeruginosins,1,1,0,100.0,0.0003473609253695052,0.0003473609253695052,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Africanane sesquiterpenoids,2,2,0,100.0,0.0006947218507390104,0.0006947218507390104,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
