value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Amino acid glycosides,428,428,0,100.0,0.14867047605814823,0.14867047605814823,
Aminosugars and aminoglycosides,1023,1023,0,100.0,0.3553502266530038,0.3553502266530038,
Anthranilic acid alkaloids,18326,18326,0,100.0,6.365736318321552,6.365736318321552,
Aromatic polyketides,656,656,0,100.0,0.2278687670423954,0.2278687670423954,
Chromanes,992,992,0,100.0,0.3445820379665491,0.3445820379665491,
Coumarins,3583,3583,0,100.0,1.244594195598937,1.244594195598937,
Cyclic polyketides,678,678,0,100.0,0.2355107074005245,0.2355107074005245,
Diarylheptanoids,117,117,0,100.0,0.040641228268232105,0.040641228268232105,
Diazotetronic acids and derivatives,31,31,0,100.0,0.01076818868645466,0.01076818868645466,
Diphenyl ethers (DPEs),6,6,0,100.0,0.002084165552217031,0.002084165552217031,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Diterpenoids,813,813,0,100.0,0.2824044323254077,0.2824044323254077,
Docosanoids,1,1,0,100.0,0.0003473609253695052,0.0003473609253695052,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Eicosanoids,90,90,0,100.0,0.03126248328325547,0.03126248328325547,
Fatty Acids and Conjugates,416,416,0,100.0,0.14450214495371416,0.14450214495371416,
Fatty acyl glycosides,15,15,0,100.0,0.005210413880542578,0.005210413880542578,LOW_TOTAL_SUPPORT
Fatty acyls,397,397,0,100.0,0.13790228737169355,0.13790228737169355,
Fatty amides,2688,2688,0,100.0,0.93370616739323,0.93370616739323,
Fatty esters,780,780,0,100.0,0.27094152178821407,0.27094152178821407,
Flavonoids,3079,3079,0,100.0,1.0695242892127064,1.0695242892127064,
Fluorenes,16,16,0,100.0,0.005557774805912083,0.005557774805912083,LOW_TOTAL_SUPPORT
Glycerolipids,1,1,0,100.0,0.0003473609253695052,0.0003473609253695052,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Glycerophospholipids,9642,9642,0,100.0,3.3492540424127695,3.3492540424127695,
Guanidine alkaloids,13,13,0,100.0,0.004515692029803568,0.004515692029803568,LOW_TOTAL_SUPPORT
Histidine alkaloids,5249,5249,0,100.0,1.8232974972645328,1.8232974972645328,
Isoflavonoids,878,878,0,100.0,0.30498289247442556,0.30498289247442556,
Lignans,101,101,0,100.0,0.03508345346232002,0.03508345346232002,
Linear polyketides,269,269,0,100.0,0.0934400889243969,0.0934400889243969,
Lysine alkaloids,26499,26499,0,100.0,9.204717161366519,9.204717161366519,
Macrolides,3588,3588,0,100.0,1.2463310002257846,1.2463310002257846,
Meroterpenoids,295,295,0,100.0,0.10247147298400403,0.10247147298400403,
Miscellaneous alkaloids,5,5,0,100.0,0.0017368046268475257,0.0017368046268475257,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Mitomycin derivatives,40,40,0,100.0,0.013894437014780206,0.013894437014780206,
Monoterpenoids,1159,1159,0,100.0,0.40259131250325647,0.40259131250325647,
Mycosporine derivatives,11,11,0,100.0,0.003820970179064557,0.003820970179064557,LOW_TOTAL_SUPPORT
Naphthalenes,51,51,0,100.0,0.017715407193844762,0.017715407193844762,
Nicotinic acid alkaloids,62604,62604,0,100.0,21.746183371832505,21.746183371832505,
