value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
3-HYDROXY-ACYL-AMIDES-LIBRARY,95,95,0,100.0,0.03299928791010299,0.03299928791010299,
AASDB,11,11,0,100.0,0.003820970179064557,0.003820970179064557,LOW_TOTAL_SUPPORT
BERKELEY-LAB,2026,2026,0,100.0,0.7037532347986175,0.7037532347986175,
BILELIB19,3028,3028,0,100.0,1.0518088820188616,1.0518088820188616,
BIRMINGHAM-UHPLC-MS-POS,426,426,0,100.0,0.14797575420740922,0.14797575420740922,
BMDMS-NP,31160,31160,0,100.0,10.823766434513782,10.823766434513782,
CMMC-FOOD-BIOMARKERS,292,292,0,100.0,0.1014293902078955,0.1014293902078955,
DEREPLICATOR_IDENTIFIED_LIBRARY,361,361,0,100.0,0.1253972940583914,0.1253972940583914,
DMIM-DRUG-METABOLITE-LIBRARY,2045,2045,0,100.0,0.710353092380638,0.710353092380638,
ECG-ACYL-AMIDES-C4-C24-LIBRARY,719,719,0,100.0,0.24975250534067422,0.24975250534067422,
ECRFS_DB,46,46,0,100.0,0.01597860256699724,0.01597860256699724,
ELIXDB-LICHEN-DATABASE,3,3,0,100.0,0.0010420827761085155,0.0010420827761085155,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-ALKYLAMINES-BILE-ACIDS-LIBRARY,24,24,0,100.0,0.008336662208868124,0.008336662208868124,LOW_TOTAL_SUPPORT
GNPS-ALKYLAMINES-LIBRARY,2428,2428,0,100.0,0.8433923267971586,0.8433923267971586,
GNPS-COLLECTIONS-MISC,3,3,0,100.0,0.0010420827761085155,0.0010420827761085155,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,91,91,0,100.0,0.03160984420862497,0.03160984420862497,
GNPS-IIMN-PROPOGATED,49,49,0,100.0,0.017020685343105753,0.017020685343105753,
GNPS-IOBA-NHC,52,52,0,100.0,0.01806276811921427,0.01806276811921427,
GNPS-ION-MOBILITY-LIBRARY,7729,7729,0,100.0,2.6847525921809057,2.6847525921809057,
GNPS-LIBRARY,2695,2695,0,100.0,0.9361376938708165,0.9361376938708165,
GNPS-MSMLS,314,314,0,100.0,0.10907133056602464,0.10907133056602464,
GNPS-NIH-CLINICALCOLLECTION1,223,223,0,100.0,0.07746148635739966,0.07746148635739966,
