atom_count,record_count,percent_of_formula_records,contains_target
1,80721,28.039321256751826,true
2,65987,22.921305382357538,true
3,50125,17.411466384146447,true
4,40448,14.050054709345746,true
5,27030,9.389165812737724,true
6,13773,4.784202025114195,true
7,5389,1.8719280268162635,true
8,2425,0.8423502440210501,true
9,787,0.27337304826580056,true
10,332,0.11532382722267571,true
11,286,0.0993452246556785,true
12,174,0.060440801014293895,true
13,121,0.04203067196971013,true
14,65,0.022578460149017838,true
15,29,0.010073466835715649,true
16,89,0.03091512235788596,true
17,29,0.010073466835715649,true
18,24,0.008336662208868124,true
19,2,0.0006947218507390104,true
20,19,0.006599857582020598,true
21,2,0.0006947218507390104,true
22,11,0.003820970179064557,true
23,6,0.002084165552217031,true
24,5,0.0017368046268475257,true
25,4,0.0013894437014780208,true
38,2,0.0006947218507390104,true
