value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
BERKELEY-LAB,8,8,0,100.0,1.556420233463035,1.556420233463035,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
BIRMINGHAM-UHPLC-MS-POS,24,24,0,100.0,4.669260700389105,4.669260700389105,LOW_TOTAL_SUPPORT
BMDMS-NP,327,327,0,100.0,63.61867704280155,63.61867704280155,
GNPS-LIBRARY,100,100,0,100.0,19.45525291828794,19.45525291828794,
GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,23,23,0,100.0,4.474708171206226,4.474708171206226,LOW_TOTAL_SUPPORT
GNPS-NIST14-MATCHES,1,1,0,100.0,0.19455252918287938,0.19455252918287938,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-SELLECKCHEM-FDA-PART1,20,20,0,100.0,3.8910505836575875,3.8910505836575875,LOW_TOTAL_SUPPORT
GNPS-SELLECKCHEM-FDA-PART2,6,6,0,100.0,1.1673151750972763,1.1673151750972763,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
PSU-MSMLS,5,5,0,100.0,0.9727626459143969,0.9727626459143969,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TOTAL_RECORDS,514,514,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,514,514,0,100.0,100.0,100.0,
