value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Alkylresorcinols,6,6,0,100.0,0.001398516640017155,0.001398516640017155,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Amino acid glycosides,432,432,0,100.0,0.10069319808123517,0.10069319808123517,
Aminosugars and aminoglycosides,1023,1023,0,100.0,0.23844708712292495,0.23844708712292495,
Anthranilic acid alkaloids,16806,16806,0,100.0,3.9172451086880513,3.9172451086880513,
Apocarotenoids,581,581,0,100.0,0.13542302797499453,0.13542302797499453,
Aromatic polyketides,2123,2123,0,100.0,0.4948418044594034,0.4948418044594034,
Carotenoids (C40),657,657,0,100.0,0.15313757208187848,0.15313757208187848,
Carotenoids (C50),2,2,0,100.0,0.0004661722133390517,0.0004661722133390517,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Chromanes,3063,3063,0,100.0,0.7139427447287577,0.7139427447287577,
Coumarins,14023,14023,0,100.0,3.268566473826761,3.268566473826761,
Cyclic polyketides,1750,1750,0,100.0,0.40790068667167023,0.40790068667167023,
Diarylheptanoids,955,955,0,100.0,0.2225972318693972,0.2225972318693972,
Diazotetronic acids and derivatives,45,45,0,100.0,0.010488874800128663,0.010488874800128663,
Diphenyl ethers (DPEs),140,140,0,100.0,0.03263205493373362,0.03263205493373362,
Diterpenoids,6699,6699,0,100.0,1.5614438285791539,1.5614438285791539,
Docosanoids,36,36,0,100.0,0.00839109984010293,0.00839109984010293,
Eicosanoids,647,647,0,100.0,0.15080671101518323,0.15080671101518323,
Fatty Acids and Conjugates,7686,7686,0,100.0,1.7914998158619757,1.7914998158619757,
Fatty acyl glycosides,357,357,0,100.0,0.08321174008102074,0.08321174008102074,
Fatty acyls,1191,1191,0,100.0,0.2776055530434053,0.2776055530434053,
Fatty amides,2688,2688,0,100.0,0.6265354547276855,0.6265354547276855,
Fatty esters,1675,1675,0,100.0,0.39041922867145584,0.39041922867145584,
Flavonoids,37371,37371,0,100.0,8.710660892346851,8.710660892346851,
Fluorenes,16,16,0,100.0,0.0037293777067124137,0.0037293777067124137,LOW_TOTAL_SUPPORT
Glycerolipids,693,693,0,100.0,0.16152867192198142,0.16152867192198142,
Glycerophospholipids,9759,9759,0,100.0,2.2746873149879026,2.2746873149879026,
Guanidine alkaloids,8,8,0,100.0,0.0018646888533562069,0.0018646888533562069,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Histidine alkaloids,4590,4590,0,100.0,1.0698652296131237,1.0698652296131237,
Isoflavonoids,8951,8951,0,100.0,2.0863537407989257,2.0863537407989257,
Lignans,6607,6607,0,100.0,1.5399999067655572,1.5399999067655572,
Linear polyketides,978,978,0,100.0,0.2279582123227963,0.2279582123227963,
Lysine alkaloids,25445,25445,0,100.0,5.930875984206086,5.930875984206086,
Macrolides,4156,4156,0,100.0,0.9687058593185494,0.9687058593185494,
Meroterpenoids,1809,1809,0,100.0,0.42165276696517223,0.42165276696517223,
Miscellaneous alkaloids,5,5,0,100.0,0.0011654305333476294,0.0011654305333476294,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Miscellaneous polyketides,4,4,0,100.0,0.0009323444266781034,0.0009323444266781034,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Mitomycin derivatives,40,40,0,100.0,0.009323444266781035,0.009323444266781035,
Monoterpenoids,7686,7686,0,100.0,1.7914998158619757,1.7914998158619757,
Mycosporine derivatives,11,11,0,100.0,0.0025639471733647843,0.0025639471733647843,LOW_TOTAL_SUPPORT
Naphthalenes,1536,1536,0,100.0,0.3580202598443917,0.3580202598443917,
Nicotinic acid alkaloids,59549,59549,0,100.0,13.880044566063596,13.880044566063596,
Nucleosides,4942,4942,0,100.0,1.1519115391607968,1.1519115391607968,
Octadecanoids,386,386,0,100.0,0.08997123717443697,0.08997123717443697,
Oligopeptides,3227,3227,0,100.0,0.75216886622256,0.75216886622256,
Ornithine alkaloids,10689,10689,0,100.0,2.491457394190562,2.491457394190562,
Peptide alkaloids,4768,4768,0,100.0,1.1113545566002994,1.1113545566002994,
Phenanthrenoids,339,339,0,100.0,0.07901619016096927,0.07901619016096927,
Phenolic acids (C6-C1),8105,8105,0,100.0,1.889162894556507,1.889162894556507,
Phenylethanoids (C6-C2),966,966,0,100.0,0.22516117904276198,0.22516117904276198,
Phenylpropanoids (C6-C3),7176,7176,0,100.0,1.6726259014605176,1.6726259014605176,
Phloroglucinols,469,469,0,100.0,0.10931738402800763,0.10931738402800763,
Polycyclic aromatic polyketides,2866,2866,0,100.0,0.6680247817148611,0.6680247817148611,
Polyethers,595,595,0,100.0,0.13868623346836786,0.13868623346836786,
Polyols,767,767,0,100.0,0.17877704381552634,0.17877704381552634,
Polyprenols,45,45,0,100.0,0.010488874800128663,0.010488874800128663,
Proline alkaloids,218,218,0,100.0,0.05081277125395663,0.05081277125395663,
Pseudoalkaloids,17696,17696,0,100.0,4.12469174362393,4.12469174362393,
Saccharides,1741,1741,0,100.0,0.4058029117116445,0.4058029117116445,
Serine alkaloids,614,614,0,100.0,0.1431148694950889,0.1431148694950889,
Sesquiterpenoids,6623,6623,0,100.0,1.5437292844722699,1.5437292844722699,
Sesterterpenoids,18,18,0,100.0,0.004195549920051465,0.004195549920051465,LOW_TOTAL_SUPPORT
Small peptides,22882,22882,0,100.0,5.333476292812091,5.333476292812091,
Sphingolipids,1919,1919,0,100.0,0.44729223869882007,0.44729223869882007,
Steroids,24129,24129,0,100.0,5.624134667828989,5.624134667828989,
Stilbenoids,1556,1556,0,100.0,0.36268198197778223,0.36268198197778223,
Styrylpyrones,300,300,0,100.0,0.06992583200085777,0.06992583200085777,
Terphenyls,231,231,0,100.0,0.05384289064066047,0.05384289064066047,
Tetramate alkaloids,893,893,0,100.0,0.20814589325588662,0.20814589325588662,
Triterpenoids,16620,16620,0,100.0,3.8738910928475194,3.8738910928475194,
Tropolones,7,7,0,100.0,0.0016316027466866808,0.0016316027466866808,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tryptophan alkaloids,40929,40929,0,100.0,9.539981259877024,9.539981259877024,
Tyrosine alkaloids,21649,21649,0,100.0,5.046081123288565,5.046081123288565,
Xanthones,1299,1299,0,100.0,0.3027788525637141,0.3027788525637141,
β-lactams,1951,1951,0,100.0,0.454750994112245,0.454750994112245,
γ-lactam-β-lactones,8,8,0,100.0,0.0018646888533562069,0.0018646888533562069,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TOTAL_RECORDS,429026,429026,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,438422,438422,0,100.0,102.19007705826687,102.19007705826687,
