value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
3-HYDROXY-ACYL-AMIDES-LIBRARY,105,105,0,100.0,0.024474041200300216,0.024474041200300216,
AASDB,93,93,0,100.0,0.021677007920265907,0.021677007920265907,
BERKELEY-LAB,3320,3320,0,100.0,0.7738458741428258,0.7738458741428258,
BILELIB19,3819,3819,0,100.0,0.8901558413709192,0.8901558413709192,
BIRMINGHAM-UHPLC-MS-NEG,1,1,0,100.0,0.00023308610666952586,0.00023308610666952586,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
BIRMINGHAM-UHPLC-MS-POS,645,645,0,100.0,0.15034053880184417,0.15034053880184417,
BMDMS-NP,122780,122780,0,100.0,28.618312176884388,28.618312176884388,
CMMC-FOOD-BIOMARKERS,613,613,0,100.0,0.14288178338841934,0.14288178338841934,
DEREPLICATOR_IDENTIFIED_LIBRARY,363,363,0,100.0,0.08461025672103789,0.08461025672103789,
DMIM-DRUG-METABOLITE-LIBRARY,3387,3387,0,100.0,0.789462643289684,0.789462643289684,
ECG-ACYL-AMIDES-C4-C24-LIBRARY,719,719,0,100.0,0.1675889106953891,0.1675889106953891,
ECG-ACYL-ESTERS-C4-C24-LIBRARY,137,137,0,100.0,0.03193279661372504,0.03193279661372504,
ECRFS_DB,64,64,0,100.0,0.014917510826849655,0.014917510826849655,
ELIXDB-LICHEN-DATABASE,519,519,0,100.0,0.12097168936148392,0.12097168936148392,
GNPS-ALKYLAMINES-BILE-ACIDS-LIBRARY,19,19,0,100.0,0.004428636026720991,0.004428636026720991,LOW_TOTAL_SUPPORT
GNPS-ALKYLAMINES-LIBRARY,2071,2071,0,100.0,0.48272132691258807,0.48272132691258807,
GNPS-COLLECTIONS-MISC,4,4,0,100.0,0.0009323444266781034,0.0009323444266781034,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,96,96,0,100.0,0.02237626624027448,0.02237626624027448,
GNPS-IIMN-PROPOGATED,145,145,0,100.0,0.03379748546708125,0.03379748546708125,
GNPS-IOBA-NHC,90,90,0,100.0,0.020977749600257327,0.020977749600257327,
GNPS-ION-MOBILITY-LIBRARY,8729,8729,0,100.0,2.034608625118291,2.034608625118291,
GNPS-LIBRARY,4978,4978,0,100.0,1.1603026390008997,1.1603026390008997,
GNPS-MSMLS,434,434,0,100.0,0.10115937029457422,0.10115937029457422,
GNPS-NIH-CLINICALCOLLECTION1,232,232,0,100.0,0.05407597674733,0.05407597674733,
GNPS-NIH-CLINICALCOLLECTION2,13,13,0,100.0,0.0030301193867038364,0.0030301193867038364,LOW_TOTAL_SUPPORT
GNPS-NIH-NATURALPRODUCTSLIBRARY,909,909,0,100.0,0.211875270962599,0.211875270962599,
GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,4206,4206,0,100.0,0.9803601646520258,0.9803601646520258,
