value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
FourierTransform,1058,1058,0,100.0,0.24660510085635834,0.24660510085635834,
IonTrap,1817,1817,0,100.0,0.4235174558185285,0.4235174558185285,
MagneticSector,156,156,0,100.0,0.036361432640446036,0.036361432640446036,
Orbitrap,364109,364109,0,100.0,84.8687492133344,84.8687492133344,
Other,19020,19020,0,100.0,4.433297748854382,4.433297748854382,
Quadrupole,6241,6241,0,100.0,1.4546903917245109,1.4546903917245109,
TimeOfFlight,36064,36064,0,100.0,8.40601735092978,8.40601735092978,
UNKNOWN,561,561,0,100.0,0.130761305841604,0.130761305841604,
TOTAL_RECORDS,429026,429026,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,429026,429026,0,100.0,100.0,100.0,
