atom_count,record_count,percent_of_formula_records,contains_target
1,42341,9.869098842494395,true
2,83688,19.506510094959282,true
3,75481,17.59357241752248,true
4,56554,13.181951676588366,true
5,36384,8.480604905064029,true
6,28799,6.712646785975675,true
7,19820,4.619766634190003,true
8,19173,4.468959923174819,true
9,9547,2.225273060373963,true
10,9870,2.30055987282822,true
11,8517,1.9851943705043518,true
12,6821,1.5898803335928358,true
13,5719,1.3330194440430183,true
14,5511,1.284537533855757,true
15,4507,1.050519082759553,true
16,4175,0.9731344953452705,true
17,1594,0.37153925403122423,true
18,2336,0.5444891451800123,true
19,2400,0.5594066560068621,true
20,1201,0.27993641411010056,true
21,646,0.1505736249085137,true
22,992,0.23122141781616967,true
23,580,0.135189941868325,true
24,731,0.1703859439754234,true
25,230,0.05360980453399095,true
26,267,0.062233990480763404,true
27,187,0.043587101947201334,true
28,85,0.019812319066909695,true
29,190,0.04428636026720991,true
30,129,0.030068107760368834,true
31,111,0.02587255784031737,true
32,121,0.028203418907012626,true
33,45,0.010488874800128663,true
34,5,0.0011654305333476294,true
35,13,0.0030301193867038364,true
36,48,0.01118813312013724,true
37,81,0.018879974640231594,true
38,3,0.0006992583200085775,true
39,3,0.0006992583200085775,true
40,14,0.0032632054933733616,true
41,43,0.010022702586789613,true
42,1,0.00023308610666952586,true
43,3,0.0006992583200085775,true
44,3,0.0006992583200085775,true
45,12,0.00279703328003431,true
46,33,0.007691841520094353,true
48,1,0.00023308610666952586,true
50,9,0.0020977749600257327,true
53,1,0.00023308610666952586,true
54,1,0.00023308610666952586,true
