value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Abeoabietane diterpenoids,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Acridone alkaloids,8,8,0,100.0,0.0515331100231899,0.0515331100231899,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Acyclic monoterpenoids,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Amino cyclitols,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aminoacids,171,171,0,100.0,1.101520226745684,1.101520226745684,
Aminoglycosides,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aminosugars,140,140,0,100.0,0.9018294254058232,0.9018294254058232,
Anthraquinones and anthrones,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Arylnaphthalene and aryltetralin lignans,13,13,0,100.0,0.08374130378768359,0.08374130378768359,LOW_TOTAL_SUPPORT
Benzodiazepine alkaloids,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
CDP-Glycerols,5,5,0,100.0,0.03220819376449369,0.03220819376449369,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Carboline alkaloids,106,106,0,100.0,0.6828137078072661,0.6828137078072661,
Catechols with side chains,30,30,0,100.0,0.19324916258696212,0.19324916258696212,
Cephalosporins,5,5,0,100.0,0.03220819376449369,0.03220819376449369,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Chalcones,109,109,0,100.0,0.7021386240659624,0.7021386240659624,
Cholestane steroids,16,16,0,100.0,0.1030662200463798,0.1030662200463798,LOW_TOTAL_SUPPORT
Cinnamic acids and derivatives,15,15,0,100.0,0.09662458129348106,0.09662458129348106,LOW_TOTAL_SUPPORT
Cyclic peptides,4,4,0,100.0,0.02576655501159495,0.02576655501159495,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cyclitols,388,388,0,100.0,2.49935583612471,2.49935583612471,
Depsides,21,21,0,100.0,0.1352744138108735,0.1352744138108735,LOW_TOTAL_SUPPORT
Depsipeptides,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Dicarboxylic acids,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Dipeptides,29,29,0,100.0,0.18680752383406338,0.18680752383406338,LOW_TOTAL_SUPPORT
Disaccharides,7,7,0,100.0,0.04509147127029116,0.04509147127029116,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Estrane steroids,23,23,0,100.0,0.14815769131667098,0.14815769131667098,LOW_TOTAL_SUPPORT
Farnesane sesquiterpenoids,5,5,0,100.0,0.03220819376449369,0.03220819376449369,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Fatty acyl CoAs,57,57,0,100.0,0.36717340891522804,0.36717340891522804,
Fatty alcohols,33,33,0,100.0,0.21257407884565835,0.21257407884565835,
Flavanones,12,12,0,100.0,0.07729966503478485,0.07729966503478485,LOW_TOTAL_SUPPORT
Fungal DPEs,20,20,0,100.0,0.12883277505797475,0.12883277505797475,LOW_TOTAL_SUPPORT
Glycerophosphates,43,43,0,100.0,0.27699046637464575,0.27699046637464575,
Glycerophosphocholines,7662,7662,0,100.0,49.35583612471013,49.35583612471013,
Glycerophosphoethanolamines,1575,1575,0,100.0,10.14558103581551,10.14558103581551,
Glycerophosphoglycerols,13,13,0,100.0,0.08374130378768359,0.08374130378768359,LOW_TOTAL_SUPPORT
Glycerophosphoinositol phosphates,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Glycerophosphoinositols,4,4,0,100.0,0.02576655501159495,0.02576655501159495,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Glycerophosphoserines,412,412,0,100.0,2.6539551661942795,2.6539551661942795,
Halogenated hydrocarbons,118,118,0,100.0,0.760113372842051,0.760113372842051,
Hydrocarbons,160,160,0,100.0,1.030662200463798,1.030662200463798,
Hydroxy fatty acids,17,17,0,100.0,0.10950785879927853,0.10950785879927853,LOW_TOTAL_SUPPORT
