value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Aminosugars and aminoglycosides,142,142,0,100.0,0.9147127029116208,0.9147127029116208,
Anthranilic acid alkaloids,85,85,0,100.0,0.5475392939963927,0.5475392939963927,
Aromatic polyketides,51,51,0,100.0,0.3285235763978356,0.3285235763978356,
Coumarins,50,50,0,100.0,0.32208193764493687,0.32208193764493687,
Diphenyl ethers (DPEs),20,20,0,100.0,0.12883277505797475,0.12883277505797475,LOW_TOTAL_SUPPORT
Diterpenoids,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Fatty Acids and Conjugates,43,43,0,100.0,0.27699046637464575,0.27699046637464575,
Fatty acyls,311,311,0,100.0,2.003349652151507,2.003349652151507,
Fatty esters,140,140,0,100.0,0.9018294254058232,0.9018294254058232,
Flavonoids,121,121,0,100.0,0.7794382891007473,0.7794382891007473,
Glycerophospholipids,9745,9745,0,100.0,62.773769646998204,62.773769646998204,
Lignans,19,19,0,100.0,0.122391136305076,0.122391136305076,LOW_TOTAL_SUPPORT
Linear polyketides,1,1,0,100.0,0.006441638752898738,0.006441638752898738,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Lysine alkaloids,21,21,0,100.0,0.1352744138108735,0.1352744138108735,LOW_TOTAL_SUPPORT
Macrolides,1,1,0,100.0,0.006441638752898738,0.006441638752898738,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Monoterpenoids,62,62,0,100.0,0.3993816026797217,0.3993816026797217,
Nicotinic acid alkaloids,461,461,0,100.0,2.969595465086318,2.969595465086318,
Nucleosides,1278,1278,0,100.0,8.232414326204585,8.232414326204585,
Oligopeptides,5,5,0,100.0,0.03220819376449369,0.03220819376449369,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Ornithine alkaloids,106,106,0,100.0,0.6828137078072661,0.6828137078072661,
Peptide alkaloids,38,38,0,100.0,0.244782272610152,0.244782272610152,
Phenanthrenoids,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Phenolic acids (C6-C1),149,149,0,100.0,0.9598041741819118,0.9598041741819118,
Phenylpropanoids (C6-C3),15,15,0,100.0,0.09662458129348106,0.09662458129348106,LOW_TOTAL_SUPPORT
Polycyclic aromatic polyketides,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Polyols,390,390,0,100.0,2.512239113630508,2.512239113630508,
Pseudoalkaloids,414,414,0,100.0,2.6668384437000774,2.6668384437000774,
Saccharides,193,193,0,100.0,1.2432362793094562,1.2432362793094562,
Sesquiterpenoids,5,5,0,100.0,0.03220819376449369,0.03220819376449369,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Small peptides,207,207,0,100.0,1.3334192218500387,1.3334192218500387,
Sphingolipids,1105,1105,0,100.0,7.1180108219531055,7.1180108219531055,
Steroids,129,129,0,100.0,0.8309713991239371,0.8309713991239371,
Stilbenoids,12,12,0,100.0,0.07729966503478485,0.07729966503478485,LOW_TOTAL_SUPPORT
Terphenyls,5,5,0,100.0,0.03220819376449369,0.03220819376449369,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tetramate alkaloids,59,59,0,100.0,0.3800566864210255,0.3800566864210255,
Tropolones,7,7,0,100.0,0.04509147127029116,0.04509147127029116,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tryptophan alkaloids,120,120,0,100.0,0.7729966503478485,0.7729966503478485,
Tyrosine alkaloids,31,31,0,100.0,0.19969080133986086,0.19969080133986086,
β-lactams,5,5,0,100.0,0.03220819376449369,0.03220819376449369,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TOTAL_RECORDS,15524,15524,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,15552,15552,0,100.0,100.18036588508117,100.18036588508117,
