value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
BERKELEY-LAB,4,4,0,100.0,0.02576655501159495,0.02576655501159495,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
BIRMINGHAM-UHPLC-MS-POS,61,61,0,100.0,0.39293996392682295,0.39293996392682295,
BMDMS-NP,674,674,0,100.0,4.341664519453749,4.341664519453749,
CMMC-FOOD-BIOMARKERS,14,14,0,100.0,0.09018294254058232,0.09018294254058232,LOW_TOTAL_SUPPORT
DMIM-DRUG-METABOLITE-LIBRARY,15,15,0,100.0,0.09662458129348106,0.09662458129348106,LOW_TOTAL_SUPPORT
ECRFS_DB,8,8,0,100.0,0.0515331100231899,0.0515331100231899,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-ALKYLAMINES-BILE-ACIDS-LIBRARY,1,1,0,100.0,0.006441638752898738,0.006441638752898738,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-ALKYLAMINES-LIBRARY,59,59,0,100.0,0.3800566864210255,0.3800566864210255,
GNPS-COLLECTIONS-MISC,1,1,0,100.0,0.006441638752898738,0.006441638752898738,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,4,4,0,100.0,0.02576655501159495,0.02576655501159495,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-IIMN-PROPOGATED,1,1,0,100.0,0.006441638752898738,0.006441638752898738,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-IOBA-NHC,52,52,0,100.0,0.33496521515073435,0.33496521515073435,
GNPS-ION-MOBILITY-LIBRARY,218,218,0,100.0,1.4042772481319248,1.4042772481319248,
GNPS-LIBRARY,120,120,0,100.0,0.7729966503478485,0.7729966503478485,
GNPS-MSMLS,74,74,0,100.0,0.47668126771450653,0.47668126771450653,
GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,10,10,0,100.0,0.06441638752898737,0.06441638752898737,LOW_TOTAL_SUPPORT
GNPS-NIST14-MATCHES,315,315,0,100.0,2.0291162071631024,2.0291162071631024,
GNPS-NUTRI-METAB-FEM-NEG,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-REFRAME-DRUG-CCS-LIBRARY,27,27,0,100.0,0.17392424632826592,0.17392424632826592,LOW_TOTAL_SUPPORT
GNPS-SCIEX-LIBRARY,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-SELLECKCHEM-FDA-PART1,3,3,0,100.0,0.01932491625869621,0.01932491625869621,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
HMDB,91,91,0,100.0,0.5861891265137851,0.5861891265137851,
MASSBANK,288,288,0,100.0,1.8551919608348364,1.8551919608348364,
MASSBANKEU,1,1,0,100.0,0.006441638752898738,0.006441638752898738,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MCE-DRUG,270,270,0,100.0,1.739242463282659,1.739242463282659,
MONA,144,144,0,100.0,0.9275959804174182,0.9275959804174182,
MSNLIB-NEGATIVE,284,284,0,100.0,1.8294254058232415,1.8294254058232415,
MSNLIB-POSITIVE,562,562,0,100.0,3.6202009791290903,3.6202009791290903,
MULTIPLEX-SYNTHESIS-LIBRARY-FILTERED-PARTITION-4,1,1,0,100.0,0.006441638752898738,0.006441638752898738,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
PNNL-LIPIDS-POSITIVE,2,2,0,100.0,0.012883277505797475,0.012883277505797475,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
PSU-MSMLS,70,70,0,100.0,0.4509147127029116,0.4509147127029116,
REFRAME-NEGATIVE-LIBRARY,70,70,0,100.0,0.4509147127029116,0.4509147127029116,
REFRAME-POSITIVE-LIBRARY,122,122,0,100.0,0.7858799278536459,0.7858799278536459,
RESPECT,306,306,0,100.0,1.9711414583870137,1.9711414583870137,
UNKNOWN,11354,11354,0,100.0,73.13836640041227,73.13836640041227,
WFSR-LIBRARY,279,279,0,100.0,1.797217212058748,1.797217212058748,
WINE-DB-ORBITRAP,3,3,0,100.0,0.01932491625869621,0.01932491625869621,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
WINE-DB-QTOF,12,12,0,100.0,0.07729966503478485,0.07729966503478485,LOW_TOTAL_SUPPORT
TOTAL_RECORDS,15524,15524,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,15524,15524,0,100.0,100.0,100.0,
