value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
2-arylbenzofurans,7,7,0,100.0,0.012502902459499525,0.012502902459499525,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
2-pyrone derivatives,16,16,0,100.0,0.028578062764570346,0.028578062764570346,LOW_TOTAL_SUPPORT
4-pyrone derivatives,4,4,0,100.0,0.0071445156911425865,0.0071445156911425865,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Abietane diterpenoids,9,9,0,100.0,0.01607516030507082,0.01607516030507082,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Acridone alkaloids,229,229,0,100.0,0.4090235233179131,0.4090235233179131,
Acyclic monoterpenoids,19,19,0,100.0,0.033936449532927286,0.033936449532927286,LOW_TOTAL_SUPPORT
Acyl phloroglucinols,17,17,0,100.0,0.030364191687355994,0.030364191687355994,LOW_TOTAL_SUPPORT
Amarylidaceae alkaloids,70,70,0,100.0,0.12502902459499526,0.12502902459499526,
Amino cyclitols,19,19,0,100.0,0.033936449532927286,0.033936449532927286,LOW_TOTAL_SUPPORT
Amino fatty acids,2,2,0,100.0,0.0035722578455712932,0.0035722578455712932,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aminoacids,2767,2767,0,100.0,4.942218729347885,4.942218729347885,
Aminoglycosides,19,19,0,100.0,0.033936449532927286,0.033936449532927286,LOW_TOTAL_SUPPORT
Aminosugars,19,19,0,100.0,0.033936449532927286,0.033936449532927286,LOW_TOTAL_SUPPORT
Androstane steroids,77,77,0,100.0,0.1375319270544948,0.1375319270544948,
Angucyclines,7,7,0,100.0,0.012502902459499525,0.012502902459499525,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Ansa macrolides,53,53,0,100.0,0.09466483290763927,0.09466483290763927,
Anthranillic acid derivatives,97,97,0,100.0,0.1732545055102077,0.1732545055102077,
Anthraquinones and anthrones,79,79,0,100.0,0.14110418490006607,0.14110418490006607,
Aporphine alkaloids,3,3,0,100.0,0.00535838676835694,0.00535838676835694,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Arteminisin,12,12,0,100.0,0.02143354707342776,0.02143354707342776,LOW_TOTAL_SUPPORT
Arylnaphthalene and aryltetralin lignans,33,33,0,100.0,0.058942254451926336,0.058942254451926336,
Aspidosperma type,77,77,0,100.0,0.1375319270544948,0.1375319270544948,
Aspidosperma-Iboga hybrid type (Vinca alkaloids),43,43,0,100.0,0.0768035436797828,0.0768035436797828,
Aurones,19,19,0,100.0,0.033936449532927286,0.033936449532927286,LOW_TOTAL_SUPPORT
Azo and Azoxy alkaloids,8,8,0,100.0,0.014289031382285173,0.014289031382285173,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Benzodiazepine alkaloids,108,108,0,100.0,0.19290192366084982,0.19290192366084982,
Benzoquinones,2,2,0,100.0,0.0035722578455712932,0.0035722578455712932,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Bisabolane sesquiterpenoids,15,15,0,100.0,0.0267919338417847,0.0267919338417847,LOW_TOTAL_SUPPORT
Botryane sesquiterpenoids,1,1,0,100.0,0.0017861289227856466,0.0017861289227856466,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Branched fatty acids,12,12,0,100.0,0.02143354707342776,0.02143354707342776,LOW_TOTAL_SUPPORT
Cadinane sesquiterpenoids,16,16,0,100.0,0.028578062764570346,0.028578062764570346,LOW_TOTAL_SUPPORT
Camphane monoterpenoids,7,7,0,100.0,0.012502902459499525,0.012502902459499525,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Carane monoterpenoids,57,57,0,100.0,0.10180934859878187,0.10180934859878187,
Carbapenems,111,111,0,100.0,0.1982603104292068,0.1982603104292068,
Carbazole alkaloids,72,72,0,100.0,0.12860128244056657,0.12860128244056657,
Carbocyclic fatty acids,22,22,0,100.0,0.039294836301284226,0.039294836301284226,LOW_TOTAL_SUPPORT
Carboline alkaloids,4962,4962,0,100.0,8.86277171486238,8.86277171486238,
Cardenolides,18,18,0,100.0,0.03215032061014164,0.03215032061014164,LOW_TOTAL_SUPPORT
Catechols with side chains,13,13,0,100.0,0.023219675996213406,0.023219675996213406,LOW_TOTAL_SUPPORT
Cembrane diterpenoids,7,7,0,100.0,0.012502902459499525,0.012502902459499525,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Cephalosporins,1071,1071,0,100.0,1.9129440763034276,1.9129440763034276,
Cephamycins,48,48,0,100.0,0.08573418829371104,0.08573418829371104,
Chalcones,496,496,0,100.0,0.8859199457016808,0.8859199457016808,
Cholane steroids,1055,1055,0,100.0,1.8843660135388574,1.8843660135388574,
Cholestane steroids,270,270,0,100.0,0.4822548091521246,0.4822548091521246,
Chromones,266,266,0,100.0,0.475110293460982,0.475110293460982,
Cinnamic acid amides,14,14,0,100.0,0.02500580491899905,0.02500580491899905,LOW_TOTAL_SUPPORT
Cinnamic acids and derivatives,14,14,0,100.0,0.02500580491899905,0.02500580491899905,LOW_TOTAL_SUPPORT
Corynanthe type,34,34,0,100.0,0.06072838337471199,0.06072838337471199,
Cyclic peptides,309,309,0,100.0,0.5519138371407648,0.5519138371407648,
Depsides,21,21,0,100.0,0.03750870737849858,0.03750870737849858,LOW_TOTAL_SUPPORT
Depsipeptides,39,39,0,100.0,0.06965902798864022,0.06965902798864022,
Dicarboxylic acids,2,2,0,100.0,0.0035722578455712932,0.0035722578455712932,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Dipeptides,1429,1429,0,100.0,2.5523782306606893,2.5523782306606893,
Disaccharides,1,1,0,100.0,0.0017861289227856466,0.0017861289227856466,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Epothilones,94,94,0,100.0,0.16789611874185079,0.16789611874185079,
Eremophilane sesquiterpenoids,2,2,0,100.0,0.0035722578455712932,0.0035722578455712932,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Ergostane steroids,3,3,0,100.0,0.00535838676835694,0.00535838676835694,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Ergot alkaloids,36,36,0,100.0,0.06430064122028328,0.06430064122028328,
Estrane steroids,73,73,0,100.0,0.13038741136335222,0.13038741136335222,
Eudesmane sesquiterpenoids,1,1,0,100.0,0.0017861289227856466,0.0017861289227856466,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Farnesane sesquiterpenoids,3,3,0,100.0,0.00535838676835694,0.00535838676835694,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Fatty acyl CoAs,57,57,0,100.0,0.10180934859878187,0.10180934859878187,
Fatty alcohols,87,87,0,100.0,0.15539321628235125,0.15539321628235125,
Fatty aldehydes,13,13,0,100.0,0.023219675996213406,0.023219675996213406,LOW_TOTAL_SUPPORT
Flavanones,58,58,0,100.0,0.1035954775215675,0.1035954775215675,
Flavans,5,5,0,100.0,0.008930644613928234,0.008930644613928234,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Flavones,19,19,0,100.0,0.033936449532927286,0.033936449532927286,LOW_TOTAL_SUPPORT
Flavonols,3,3,0,100.0,0.00535838676835694,0.00535838676835694,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Fukinane sesquiterpenoids,8,8,0,100.0,0.014289031382285173,0.014289031382285173,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Furans,144,144,0,100.0,0.25720256488113313,0.25720256488113313,
Furocoumarins,13,13,0,100.0,0.023219675996213406,0.023219675996213406,LOW_TOTAL_SUPPORT
Glucosinolates,259,259,0,100.0,0.4626073910014825,0.4626073910014825,
Glycerophosphocholines,22,22,0,100.0,0.039294836301284226,0.039294836301284226,LOW_TOTAL_SUPPORT
