value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Amino acid glycosides,259,259,0,100.0,0.4626073910014825,0.4626073910014825,
Aminosugars and aminoglycosides,38,38,0,100.0,0.06787289906585457,0.06787289906585457,
Anthranilic acid alkaloids,2764,2764,0,100.0,4.936860342579527,4.936860342579527,
Aromatic polyketides,65,65,0,100.0,0.11609837998106703,0.11609837998106703,
Chromanes,266,266,0,100.0,0.475110293460982,0.475110293460982,
Coumarins,391,391,0,100.0,0.6983764088091878,0.6983764088091878,
Cyclic polyketides,172,172,0,100.0,0.3072141747191312,0.3072141747191312,
Diarylheptanoids,7,7,0,100.0,0.012502902459499525,0.012502902459499525,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Diterpenoids,134,134,0,100.0,0.23934127565327667,0.23934127565327667,
Eicosanoids,5,5,0,100.0,0.008930644613928234,0.008930644613928234,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Fatty Acids and Conjugates,114,114,0,100.0,0.20361869719756373,0.20361869719756373,
Fatty acyls,215,215,0,100.0,0.3840177183989141,0.3840177183989141,
Fatty amides,199,199,0,100.0,0.3554396556343437,0.3554396556343437,
Fatty esters,184,184,0,100.0,0.32864772179255897,0.32864772179255897,
Flavonoids,623,623,0,100.0,1.112758318895458,1.112758318895458,
Glycerophospholipids,23,23,0,100.0,0.04108096522406987,0.04108096522406987,LOW_TOTAL_SUPPORT
Guanidine alkaloids,8,8,0,100.0,0.014289031382285173,0.014289031382285173,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Histidine alkaloids,1338,1338,0,100.0,2.3898404986871955,2.3898404986871955,
Isoflavonoids,28,28,0,100.0,0.0500116098379981,0.0500116098379981,LOW_TOTAL_SUPPORT
Lignans,107,107,0,100.0,0.1911157947380642,0.1911157947380642,
Linear polyketides,49,49,0,100.0,0.08752031721649668,0.08752031721649668,
Lysine alkaloids,7485,7485,0,100.0,13.369174987050567,13.369174987050567,
Macrolides,167,167,0,100.0,0.298283530105203,0.298283530105203,
Meroterpenoids,34,34,0,100.0,0.06072838337471199,0.06072838337471199,
Monoterpenoids,513,513,0,100.0,0.9162841373890368,0.9162841373890368,
Naphthalenes,88,88,0,100.0,0.1571793452051369,0.1571793452051369,
Nicotinic acid alkaloids,15264,15264,0,100.0,27.263471877400107,27.263471877400107,
Nucleosides,451,451,0,100.0,0.8055441441763267,0.8055441441763267,
Oligopeptides,594,594,0,100.0,1.0609605801346742,1.0609605801346742,
Ornithine alkaloids,1702,1702,0,100.0,3.0399914265811705,3.0399914265811705,
Peptide alkaloids,905,905,0,100.0,1.6164466751210103,1.6164466751210103,
Phenanthrenoids,71,71,0,100.0,0.12681515351778092,0.12681515351778092,
Phenolic acids (C6-C1),452,452,0,100.0,0.8073302730991123,0.8073302730991123,
Phenylpropanoids (C6-C3),28,28,0,100.0,0.0500116098379981,0.0500116098379981,LOW_TOTAL_SUPPORT
Phloroglucinols,17,17,0,100.0,0.030364191687355994,0.030364191687355994,LOW_TOTAL_SUPPORT
Polycyclic aromatic polyketides,83,83,0,100.0,0.14824870059120868,0.14824870059120868,
Polyols,19,19,0,100.0,0.033936449532927286,0.033936449532927286,LOW_TOTAL_SUPPORT
Proline alkaloids,33,33,0,100.0,0.058942254451926336,0.058942254451926336,
Pseudoalkaloids,2302,2302,0,100.0,4.111668780252558,4.111668780252558,
Saccharides,1,1,0,100.0,0.0017861289227856466,0.0017861289227856466,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Serine alkaloids,649,649,0,100.0,1.1591976708878846,1.1591976708878846,
Sesquiterpenoids,96,96,0,100.0,0.1714683765874221,0.1714683765874221,
Small peptides,4885,4885,0,100.0,8.725239787807885,8.725239787807885,
Sphingolipids,2,2,0,100.0,0.0035722578455712932,0.0035722578455712932,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Steroids,1411,1411,0,100.0,2.520227910050547,2.520227910050547,
Terphenyls,21,21,0,100.0,0.03750870737849858,0.03750870737849858,LOW_TOTAL_SUPPORT
Tetramate alkaloids,253,253,0,100.0,0.45189061746476855,0.45189061746476855,
Tropolones,7,7,0,100.0,0.012502902459499525,0.012502902459499525,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Tryptophan alkaloids,7301,7301,0,100.0,13.040527265258007,13.040527265258007,
Tyrosine alkaloids,2915,2915,0,100.0,5.20656580992016,5.20656580992016,
β-lactams,1946,1946,0,100.0,3.475806883740869,3.475806883740869,
TOTAL_RECORDS,55987,55987,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,56684,56684,0,100.0,101.24493185918159,101.24493185918159,
