value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
BERKELEY-LAB,2,2,0,100.0,2.9850746268656714,2.9850746268656714,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
CMMC-FOOD-BIOMARKERS,9,9,0,100.0,13.432835820895523,13.432835820895523,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
DMIM-DRUG-METABOLITE-LIBRARY,3,3,0,100.0,4.477611940298507,4.477611940298507,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-LIBRARY,7,7,0,100.0,10.44776119402985,10.44776119402985,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-MSMLS,2,2,0,100.0,2.9850746268656714,2.9850746268656714,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
HMDB,3,3,0,100.0,4.477611940298507,4.477611940298507,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MCE-DRUG,6,6,0,100.0,8.955223880597014,8.955223880597014,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MONA,9,9,0,100.0,13.432835820895523,13.432835820895523,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MSNLIB-POSITIVE,18,18,0,100.0,26.865671641791046,26.865671641791046,LOW_TOTAL_SUPPORT
PSU-MSMLS,2,2,0,100.0,2.9850746268656714,2.9850746268656714,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
REFRAME-POSITIVE-LIBRARY,2,2,0,100.0,2.9850746268656714,2.9850746268656714,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
UNKNOWN,4,4,0,100.0,5.970149253731343,5.970149253731343,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TOTAL_RECORDS,67,67,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,67,67,0,100.0,100.0,100.0,
