value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,2,2,0,100.0,2.5974025974025974,2.5974025974025974,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-ION-MOBILITY-LIBRARY,4,4,0,100.0,5.194805194805195,5.194805194805195,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,1,1,0,100.0,1.2987012987012987,1.2987012987012987,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-NIST14-MATCHES,7,7,0,100.0,9.090909090909092,9.090909090909092,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MASSBANK,8,8,0,100.0,10.38961038961039,10.38961038961039,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MSNLIB-POSITIVE,11,11,0,100.0,14.285714285714285,14.285714285714285,LOW_TOTAL_SUPPORT
REFRAME-POSITIVE-LIBRARY,2,2,0,100.0,2.5974025974025974,2.5974025974025974,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
UNKNOWN,35,35,0,100.0,45.45454545454545,45.45454545454545,
WFSR-LIBRARY,7,7,0,100.0,9.090909090909092,9.090909090909092,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
TOTAL_RECORDS,77,77,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,77,77,0,100.0,100.0,100.0,
