row_element,column_element,cooccurrence_count
Ac,Ac,3
Ac,Ag,0
Ac,Al,0
Ac,Ar,0
Ac,As,0
Ac,Au,0
Ac,B,0
Ac,Ba,0
Ac,Be,0
Ac,Bi,0
Ac,Bk,0
Ac,Br,0
Ac,C,2
Ac,Ca,0
Ac,Cd,0
Ac,Ce,0
Ac,Cl,0
Ac,Co,0
Ac,Cr,0
Ac,Cs,0
Ac,Cu,0
Ac,Dy,0
Ac,Er,0
Ac,Eu,0
Ac,F,0
Ac,Fe,0
Ac,Fr,0
Ac,Ga,0
Ac,Gd,0
Ac,Ge,0
Ac,H,2
Ac,He,0
Ac,Hf,0
Ac,Hg,0
Ac,Ho,0
Ac,I,0
Ac,In,0
Ac,Ir,0
Ac,K,0
Ac,La,0
Ac,Li,0
Ac,Lu,0
Ac,Mg,0
Ac,Mn,0
Ac,Mo,0
Ac,N,1
Ac,Na,0
Ac,Nb,0
Ac,Nd,0
Ac,Ne,0
Ac,Ni,0
Ac,O,2
Ac,Os,0
Ac,P,0
Ac,Pa,0
Ac,Pb,0
Ac,Pd,0
Ac,Pr,0
Ac,Pt,0
Ac,Ra,0
Ac,Rb,0
Ac,Re,0
Ac,Ru,0
Ac,S,1
Ac,Sb,0
Ac,Sc,0
Ac,Se,0
Ac,Si,0
Ac,Sm,0
Ac,Sn,0
Ac,Sr,0
Ac,Ta,0
Ac,Tb,0
Ac,Tc,0
Ac,Te,0
Ac,Th,0
Ac,Ti,0
Ac,Tl,0
Ac,Tm,0
Ac,U,0
Ac,V,0
Ac,W,0
Ac,Xe,0
Ac,Y,0
Ac,Yb,0
Ac,Zn,0
Ac,Zr,0
Ag,Ac,0
Ag,Ag,3
Ag,Al,0
Ag,Ar,0
Ag,As,0
Ag,Au,0
Ag,B,0
Ag,Ba,0
Ag,Be,0
Ag,Bi,0
Ag,Bk,0
Ag,Br,0
Ag,C,1
Ag,Ca,0
Ag,Cd,0
Ag,Ce,0
Ag,Cl,0
Ag,Co,0
Ag,Cr,0
Ag,Cs,0
Ag,Cu,0
Ag,Dy,0
Ag,Er,0
Ag,Eu,0
Ag,F,0
Ag,Fe,0
Ag,Fr,0
Ag,Ga,0
Ag,Gd,0
Ag,Ge,0
Ag,H,1
Ag,He,0
Ag,Hf,0
Ag,Hg,0
Ag,Ho,0
Ag,I,0
Ag,In,0
Ag,Ir,0
Ag,K,0
Ag,La,0
Ag,Li,0
Ag,Lu,0
Ag,Mg,0
Ag,Mn,0
Ag,Mo,0
Ag,N,1
Ag,Na,0
Ag,Nb,0
Ag,Nd,0
Ag,Ne,0
Ag,Ni,0
Ag,O,2
Ag,Os,0
Ag,P,0
Ag,Pa,0
Ag,Pb,0
Ag,Pd,0
Ag,Pr,0
Ag,Pt,0
Ag,Ra,0
Ag,Rb,0
Ag,Re,0
Ag,Ru,0
Ag,S,0
Ag,Sb,0
Ag,Sc,0
Ag,Se,0
Ag,Si,0
Ag,Sm,0
Ag,Sn,0
Ag,Sr,0
Ag,Ta,0
Ag,Tb,0
Ag,Tc,0
Ag,Te,0
Ag,Th,0
Ag,Ti,0
Ag,Tl,0
Ag,Tm,0
Ag,U,0
Ag,V,0
Ag,W,0
Ag,Xe,0
Ag,Y,0
Ag,Yb,0
Ag,Zn,0
Ag,Zr,0
Al,Ac,0
Al,Ag,0
Al,Al,26
Al,Ar,0
Al,As,0
Al,Au,0
Al,B,0
Al,Ba,0
Al,Be,0
Al,Bi,0
Al,Bk,0
Al,Br,0
Al,C,22
Al,Ca,0
Al,Cd,0
Al,Ce,0
Al,Cl,1
Al,Co,0
Al,Cr,0
Al,Cs,0
Al,Cu,0
Al,Dy,0
Al,Er,0
Al,Eu,0
Al,F,0
Al,Fe,0
Al,Fr,0
Al,Ga,0
Al,Gd,0
Al,Ge,0
Al,H,23
Al,He,0
Al,Hf,0
Al,Hg,0
Al,Ho,0
Al,I,1
Al,In,0
Al,Ir,0
Al,K,0
Al,La,0
Al,Li,0
Al,Lu,0
Al,Mg,0
Al,Mn,0
Al,Mo,0
Al,N,11
Al,Na,0
Al,Nb,0
Al,Nd,0
Al,Ne,0
Al,Ni,0
Al,O,22
Al,Os,0
Al,P,0
Al,Pa,0
Al,Pb,0
Al,Pd,0
Al,Pr,0
Al,Pt,0
Al,Ra,0
Al,Rb,0
Al,Re,0
Al,Ru,0
Al,S,4
Al,Sb,0
Al,Sc,0
Al,Se,0
Al,Si,0
Al,Sm,0
Al,Sn,0
Al,Sr,0
Al,Ta,0
Al,Tb,0
Al,Tc,0
Al,Te,0
Al,Th,0
Al,Ti,0
Al,Tl,0
Al,Tm,0
Al,U,0
Al,V,0
Al,W,0
Al,Xe,0
Al,Y,0
Al,Yb,0
Al,Zn,0
Al,Zr,0
Ar,Ac,0
Ar,Ag,0
Ar,Al,0
Ar,Ar,1
Ar,As,0
Ar,Au,0
