element,count,percent_of_records
H,738609,99.9719821985447
C,738543,99.96304898648648
O,722221,97.75383857415108
N,332846,45.05127122314622
S,56626,7.664425242550242
Cl,31898,4.317448458073458
Br,14607,1.9770822505197505
P,14305,1.9362060377685377
Na,1822,0.24661079348579348
I,1405,0.19016913548163547
F,1315,0.17798748267498266
Si,380,0.05143364518364518
B,197,0.026664284476784476
Fe,196,0.026528932778932778
As,141,0.0190845893970894
K,134,0.018137127512127513
Se,109,0.014753335065835064
Mg,108,0.014617983367983369
Co,76,0.010286729036729036
Ca,59,0.007985750173250173
Ni,36,0.004872661122661123
Zn,33,0.00446660602910603
Hg,27,0.003654495841995842
Al,26,0.003519144144144144
Cu,22,0.0029777373527373526
V,15,0.002030275467775468
Mn,12,0.0016242203742203743
Gd,10,0.0013535169785169785
Sn,9,0.0012181652806652807
Li,8,0.0010828135828135827
Bi,7,0.0009474618849618849
Ga,7,0.0009474618849618849
In,7,0.0009474618849618849
Mo,7,0.0009474618849618849
Au,6,0.0008121101871101872
Cr,6,0.0008121101871101872
Sb,6,0.0008121101871101872
Ho,5,0.0006767584892584893
Pt,5,0.0006767584892584893
Sr,5,0.0006767584892584893
Tc,5,0.0006767584892584893
Te,5,0.0006767584892584893
Lu,4,0.0005414067914067914
Pb,4,0.0005414067914067914
W,4,0.0005414067914067914
Ac,3,0.0004060550935550936
Ag,3,0.0004060550935550936
Cd,3,0.0004060550935550936
He,3,0.0004060550935550936
Rb,3,0.0004060550935550936
Ru,3,0.0004060550935550936
Sm,3,0.0004060550935550936
Tl,3,0.0004060550935550936
Ba,2,0.0002707033957033957
Be,2,0.0002707033957033957
Ge,2,0.0002707033957033957
Ra,2,0.0002707033957033957
Ti,2,0.0002707033957033957
Y,2,0.0002707033957033957
Ar,1,0.00013535169785169784
Bk,1,0.00013535169785169784
Ce,1,0.00013535169785169784
Cs,1,0.00013535169785169784
Dy,1,0.00013535169785169784
Er,1,0.00013535169785169784
Eu,1,0.00013535169785169784
Fr,1,0.00013535169785169784
Hf,1,0.00013535169785169784
Ir,1,0.00013535169785169784
La,1,0.00013535169785169784
Nb,1,0.00013535169785169784
Nd,1,0.00013535169785169784
Ne,1,0.00013535169785169784
Os,1,0.00013535169785169784
Pa,1,0.00013535169785169784
Pd,1,0.00013535169785169784
Pr,1,0.00013535169785169784
Re,1,0.00013535169785169784
Sc,1,0.00013535169785169784
Ta,1,0.00013535169785169784
Tb,1,0.00013535169785169784
Th,1,0.00013535169785169784
Tm,1,0.00013535169785169784
U,1,0.00013535169785169784
Xe,1,0.00013535169785169784
Yb,1,0.00013535169785169784
Zr,1,0.00013535169785169784
