atom_count,record_count,percent_of_profiled_records,contains_target
0,405970,54.94872877685377,false
1,107679,14.574535472972974,true
2,79174,10.716335325710325,true
3,60056,8.128681566181566,true
4,40140,5.433017151767152,true
5,19314,2.6141826923076925,true
6,9317,1.2610717688842688,true
7,4862,0.6580799549549549,true
8,2993,0.4051076316701317,true
9,1872,0.2533783783783784,true
10,1801,0.24376840783090784,true
11,883,0.11951554920304922,true
12,911,0.12330539674289674,true
13,771,0.10435615904365904,true
14,565,0.07647370928620928,true
15,328,0.0443953568953569,true
16,367,0.049674073111573104,true
17,270,0.036544958419958425,true
18,238,0.03221370408870409,true
19,200,0.02707033957033957,true
20,202,0.027341042966042967,true
21,131,0.01773107241857242,true
22,80,0.010828135828135828,true
23,169,0.022874436936936936,true
24,48,0.006496881496881497,true
25,41,0.005549419611919612,true
26,51,0.00690293659043659,true
27,15,0.002030275467775468,true
28,6,0.0008121101871101872,true
29,13,0.001759572072072072,true
30,10,0.0013535169785169785,true
31,14,0.0018949237699237699,true
32,14,0.0018949237699237699,true
33,14,0.0018949237699237699,true
34,19,0.002571682259182259,true
35,37,0.00500801282051282,true
36,34,0.004601957726957727,true
37,25,0.003383792446292446,true
38,25,0.003383792446292446,true
39,17,0.0023009788634788635,true
40,9,0.0012181652806652807,true
41,10,0.0013535169785169785,true
42,17,0.0023009788634788635,true
43,6,0.0008121101871101872,true
44,3,0.0004060550935550936,true
45,7,0.0009474618849618849,true
46,2,0.0002707033957033957,true
47,7,0.0009474618849618849,true
48,3,0.0004060550935550936,true
49,2,0.0002707033957033957,true
50,7,0.0009474618849618849,true
51,2,0.0002707033957033957,true
52,2,0.0002707033957033957,true
53,2,0.0002707033957033957,true
54,1,0.00013535169785169784,true
55,3,0.0004060550935550936,true
56,2,0.0002707033957033957,true
57,4,0.0005414067914067914,true
59,2,0.0002707033957033957,true
60,6,0.0008121101871101872,true
61,7,0.0009474618849618849,true
62,4,0.0005414067914067914,true
63,2,0.0002707033957033957,true
64,3,0.0004060550935550936,true
65,1,0.00013535169785169784,true
66,2,0.0002707033957033957,true
67,3,0.0004060550935550936,true
68,2,0.0002707033957033957,true
71,2,0.0002707033957033957,true
72,1,0.00013535169785169784,true
73,3,0.0004060550935550936,true
78,1,0.00013535169785169784,true
79,1,0.00013535169785169784,true
84,1,0.00013535169785169784,true
85,1,0.00013535169785169784,true
86,1,0.00013535169785169784,true
87,2,0.0002707033957033957,true
88,1,0.00013535169785169784,true
90,1,0.00013535169785169784,true
92,1,0.00013535169785169784,true
94,1,0.00013535169785169784,true
96,1,0.00013535169785169784,true
98,1,0.00013535169785169784,true
