atom_count,record_count,percent_of_profiled_records,contains_target
0,16595,2.2461614258489258,false
1,39531,5.350587967775468,true
2,69075,9.34941852910603,true
3,84731,11.468484710672211,true
4,93207,12.615725701663202,true
5,82556,11.174094767844768,true
6,108930,14.743860446985446,true
7,46090,6.238359753984754,true
8,37458,5.070003898128898,true
9,24855,3.3641664501039505,true
10,22298,3.0180721586971586,true
11,17265,2.336847063409563,true
12,15290,2.06952746015246,true
13,12115,1.6397858194733197,true
14,10063,1.3620441354816355,true
15,8095,1.0956719941094941,true
16,7446,1.0078287422037422,true
17,7034,0.9520638426888427,true
18,5337,0.7223720114345115,true
19,4607,0.623565272002772,true
20,3435,0.46493308212058215,true
21,2816,0.38115038115038113,true
22,2705,0.3661263426888427,true
23,2488,0.33675502425502424,true
24,2122,0.28721630284130284,true
25,1420,0.19219941094941095,true
26,1620,0.21926975051975053,true
27,1405,0.19016913548163547,true
28,1025,0.13873549029799032,true
29,809,0.10949952356202357,true
30,758,0.10259658697158697,true
31,818,0.11071768884268883,true
32,588,0.07958679833679834,true
33,471,0.0637506496881497,true
34,439,0.05941939535689535,true
35,292,0.03952269577269577,true
36,248,0.03356722106722106,true
37,264,0.03573284823284824,true
38,165,0.022333030145530147,true
39,242,0.03275511088011088,true
40,160,0.021656271656271656,true
41,125,0.01691896223146223,true
42,180,0.024363305613305616,true
43,146,0.019761347886347886,true
44,188,0.025446119196119193,true
45,61,0.008256453568953569,true
46,86,0.011640246015246014,true
47,139,0.018813886001386,true
48,161,0.021791623354123355,true
49,82,0.011098839223839224,true
50,28,0.0037898475398475398,true
51,59,0.007985750173250173,true
52,129,0.017460369022869023,true
53,89,0.01204630110880111,true
54,44,0.005955474705474705,true
55,65,0.00879786036036036,true
56,42,0.00568477130977131,true
57,44,0.005955474705474705,true
58,10,0.0013535169785169785,true
59,10,0.0013535169785169785,true
60,11,0.0014888686763686763,true
61,15,0.002030275467775468,true
62,19,0.002571682259182259,true
63,8,0.0010828135828135827,true
64,5,0.0006767584892584893,true
65,13,0.001759572072072072,true
66,16,0.0021656271656271655,true
67,18,0.0024363305613305615,true
68,7,0.0009474618849618849,true
69,4,0.0005414067914067914,true
70,19,0.002571682259182259,true
71,3,0.0004060550935550936,true
72,8,0.0010828135828135827,true
73,4,0.0005414067914067914,true
74,17,0.0023009788634788635,true
75,1,0.00013535169785169784,true
76,10,0.0013535169785169785,true
77,2,0.0002707033957033957,true
78,29,0.003925199237699238,true
83,1,0.00013535169785169784,true
84,1,0.00013535169785169784,true
87,1,0.00013535169785169784,true
88,5,0.0006767584892584893,true
90,2,0.0002707033957033957,true
91,1,0.00013535169785169784,true
92,4,0.0005414067914067914,true
94,1,0.00013535169785169784,true
95,3,0.0004060550935550936,true
99,1,0.00013535169785169784,true
100,4,0.0005414067914067914,true
101,2,0.0002707033957033957,true
104,7,0.0009474618849618849,true
106,2,0.0002707033957033957,true
109,1,0.00013535169785169784,true
114,2,0.0002707033957033957,true
116,1,0.00013535169785169784,true
117,2,0.0002707033957033957,true
122,1,0.00013535169785169784,true
126,1,0.00013535169785169784,true
128,1,0.00013535169785169784,true
131,1,0.00013535169785169784,true
133,1,0.00013535169785169784,true
147,1,0.00013535169785169784,true
152,1,0.00013535169785169784,true
190,1,0.00013535169785169784,true
191,2,0.0002707033957033957,true
