atom_count,record_count,percent_of_profiled_records,contains_target
0,682190,92.33557475744976,false
1,41366,5.598958333333334,true
2,12067,1.633288937976438,true
3,1498,0.20275684338184338,true
4,930,0.125877079002079,true
5,215,0.029100615038115035,true
6,421,0.056983064795564795,true
7,74,0.01001602564102564,true
8,27,0.003654495841995842,true
9,2,0.0002707033957033957,true
10,4,0.0005414067914067914,true
11,3,0.0004060550935550936,true
12,4,0.0005414067914067914,true
13,2,0.0002707033957033957,true
14,2,0.0002707033957033957,true
15,1,0.00013535169785169784,true
16,1,0.00013535169785169784,true
18,1,0.00013535169785169784,true
19,4,0.0005414067914067914,true
21,1,0.00013535169785169784,true
22,1,0.00013535169785169784,true
24,1,0.00013535169785169784,true
30,1,0.00013535169785169784,true
