atom_count,record_count,percent_of_profiled_records,contains_target
0,3,0.0010849203306837168,false
1,4,0.0014465604409116225,true
2,46,0.01663544507048366,true
3,154,0.05569257697509747,true
4,383,0.13850816221728784,true
5,665,0.24049067330155724,true
6,1243,0.44951865701328664,true
7,1230,0.4448173355803239,true
8,1576,0.5699448137191792,true
9,1906,0.689286050094388,true
10,4714,1.704771479614347,true
11,3309,1.1966671247441396,true
12,3903,1.4114813502195156,true
13,3842,1.3894213034956133,true
14,4904,1.773483100557649,true
15,20456,7.3977100948220365,true
16,8944,3.2345091458783877,true
17,9283,3.357105143245648,true
18,8368,3.026204442387114,true
19,10274,3.7154904924815018,true
20,24436,8.837037733529101,true
21,13585,4.912880897446097,true
22,12576,4.547986026226141,true
23,7831,2.832003703194729,true
24,8021,2.900715324138031,true
25,8601,3.1104665880702163,true
26,7653,2.7676317635741614,true
27,8751,3.164712604604402,true
28,8590,3.106488546857709,true
29,6979,2.523886329280553,true
30,14046,5.079596988261162,true
31,5194,1.8783587325237419,true
32,5938,2.1474189745333034,true
33,3952,1.4292017156206829,true
34,3937,1.4237771139672644,true
35,4065,1.4700670480764364,true
36,3965,1.4339030370536456,true
37,3141,1.1359115862258513,true
38,2729,0.9869158608119544,true
39,2365,0.8552788606889967,true
40,3361,1.2154724104759909,true
41,2481,0.8972291134754338,true
42,3042,1.100109215313289,true
43,1578,0.570668093939635,true
44,1468,0.5308876818145655,true
45,1866,0.6748204456852719,true
46,1520,0.5496929675464165,true
47,1750,0.6328701928988348,true
48,2261,0.8176682892252947,true
49,942,0.3406649838346871,true
50,1049,0.37936047562907294,true
51,1085,0.3923795195972776,true
52,1020,0.3688729124324637,true
53,1127,0.40756840422684965,true
54,1313,0.47483346472924004,true
55,795,0.28750388763118495,true
56,912,0.32981578052784993,true
57,666,0.24085231341178515,true
58,696,0.2517015167186223,true
59,773,0.279547805206171,true
60,711,0.25712611837204086,true
61,492,0.17792693423212955,true
62,431,0.1558668875082273,true
63,419,0.15152720618549245,true
64,305,0.11030023361951122,true
65,243,0.08787854678538105,true
66,190,0.06871162094330206,true
67,116,0.04195025278643705,true
68,257,0.09294150832857173,true
69,124,0.04484337366826029,true
70,106,0.038333851684157996,true
71,80,0.028931208818232447,true
72,124,0.04484337366826029,true
73,86,0.03110104947959988,true
74,77,0.027846288487548734,true
75,202,0.07305130226603693,true
76,88,0.03182432970005569,true
77,60,0.021698406613674337,true
78,71,0.025676447826181295,true
79,44,0.015912164850027846,true
80,47,0.016997085180711562,true
81,42,0.015188884629572037,true
82,214,0.0773909835887718,true
83,44,0.015912164850027846,true
84,42,0.015188884629572037,true
85,41,0.01482724451934413,true
86,31,0.011210843417065073,true
87,27,0.009764282976153452,true
88,39,0.01410396429888832,true
89,43,0.01555052473979994,true
90,45,0.016273804960255753,true
91,27,0.009764282976153452,true
92,29,0.010487563196609262,true
93,18,0.0065095219841023,true
94,34,0.012295763747748791,true
95,19,0.006871162094330207,true
96,29,0.010487563196609262,true
97,12,0.004339681322734867,true
98,28,0.010125923086381357,true
99,7,0.0025314807715953393,true
100,8,0.002893120881823245,true
101,6,0.0021698406613674336,true
102,13,0.004701321432962773,true
103,18,0.0065095219841023,true
104,11,0.0039780412125069615,true
105,3,0.0010849203306837168,true
106,7,0.0025314807715953393,true
107,15,0.005424601653418584,true
108,7,0.0025314807715953393,true
109,4,0.0014465604409116225,true
110,5,0.001808200551139528,true
111,4,0.0014465604409116225,true
112,3,0.0010849203306837168,true
113,10,0.003616401102279056,true
114,3,0.0010849203306837168,true
115,1,0.0003616401102279056,true
116,8,0.002893120881823245,true
117,2,0.0007232802204558112,true
118,5,0.001808200551139528,true
119,6,0.0021698406613674336,true
120,12,0.004339681322734867,true
121,4,0.0014465604409116225,true
122,1,0.0003616401102279056,true
123,10,0.003616401102279056,true
124,6,0.0021698406613674336,true
125,2,0.0007232802204558112,true
127,6,0.0021698406613674336,true
129,11,0.0039780412125069615,true
130,1,0.0003616401102279056,true
131,6,0.0021698406613674336,true
138,1,0.0003616401102279056,true
140,2,0.0007232802204558112,true
142,1,0.0003616401102279056,true
144,1,0.0003616401102279056,true
160,1,0.0003616401102279056,true
164,3,0.0010849203306837168,true
