row_element,column_element,cooccurrence_count,row_element_count,conditional_probability
As,As,28,28,1.0
As,B,0,28,0.0
As,Br,0,28,0.0
As,C,28,28,1.0
As,Cl,0,28,0.0
As,F,0,28,0.0
As,H,28,28,1.0
As,I,0,28,0.0
As,N,7,28,0.25
As,O,28,28,1.0
As,P,4,28,0.14285714285714285
As,S,8,28,0.2857142857142857
As,Se,0,28,0.0
As,Si,0,28,0.0
B,As,0,3,0.0
B,B,3,3,1.0
B,Br,0,3,0.0
B,C,3,3,1.0
B,Cl,0,3,0.0
B,F,0,3,0.0
B,H,3,3,1.0
B,I,0,3,0.0
B,N,2,3,0.6666666666666666
B,O,3,3,1.0
B,P,0,3,0.0
B,S,0,3,0.0
B,Se,0,3,0.0
B,Si,0,3,0.0
Br,As,0,4218,0.0
Br,B,0,4218,0.0
Br,Br,4218,4218,1.0
Br,C,4218,4218,1.0
Br,Cl,904,4218,0.21431958274063537
Br,F,3,4218,0.0007112375533428165
Br,H,4216,4218,0.9995258416311048
Br,I,37,4218,0.008771929824561403
Br,N,1621,4218,0.3843053579895685
Br,O,3858,4218,0.914651493598862
Br,P,5,4218,0.0011853959222380276
Br,S,218,4218,0.051683262209578
Br,Se,0,4218,0.0
Br,Si,1,4218,0.0002370791844476055
C,As,28,276515,0.00010126032945771477
C,B,3,276515,0.000010849321013326583
C,Br,4218,276515,0.015254145344737175
C,C,276515,276515,1.0
C,Cl,6106,276515,0.022081984702457372
C,F,122,276515,0.0004412057212086144
C,H,276509,276515,0.9999783013579734
C,I,141,276515,0.0005099180876263494
C,N,63410,276515,0.22931848181834621
C,O,271404,276515,0.9815163734336293
C,P,1103,276515,0.003988933692566407
C,S,7775,276515,0.028117823626204727
C,Se,22,276515,0.00007956168743106161
C,Si,65,276515,0.0002350686219554093
Cl,As,0,6106,0.0
Cl,B,0,6106,0.0
Cl,Br,904,6106,0.1480510972813626
Cl,C,6106,6106,1.0
Cl,Cl,6106,6106,1.0
Cl,F,10,6106,0.0016377333770062235
Cl,H,6102,6106,0.9993449066491975
Cl,I,12,6106,0.001965280052407468
Cl,N,2353,6106,0.3853586636095644
Cl,O,5729,6106,0.9382574516868654
Cl,P,8,6106,0.0013101867016049786
Cl,S,298,6106,0.04880445463478546
Cl,Se,0,6106,0.0
Cl,Si,2,6106,0.00032754667540124465
F,As,0,122,0.0
F,B,0,122,0.0
F,Br,3,122,0.02459016393442623
F,C,122,122,1.0
F,Cl,10,122,0.08196721311475409
F,F,122,122,1.0
F,H,122,122,1.0
F,I,0,122,0.0
F,N,63,122,0.5163934426229508
F,O,118,122,0.9672131147540983
F,P,4,122,0.03278688524590164
F,S,15,122,0.12295081967213115
F,Se,0,122,0.0
F,Si,0,122,0.0
H,As,28,276511,0.0001012617942866649
H,B,3,276511,0.000010849477959285525
H,Br,4216,276511,0.015247133025449259
H,C,276509,276511,0.9999927670146939
H,Cl,6102,276511,0.022067838169186758
H,F,122,276511,0.0004412121036776114
H,H,276511,276511,1.0
H,I,141,276511,0.0005099254640864197
H,N,63409,276511,0.22931818264011197
H,O,271404,276511,0.981530572020643
H,P,1104,276511,0.003992607889017073
H,S,7776,276511,0.028121846870468082
H,Se,23,276511,0.00008317933102118903
H,Si,65,276511,0.00023507202245118638
I,As,0,141,0.0
I,B,0,141,0.0
I,Br,37,141,0.2624113475177305
I,C,141,141,1.0
I,Cl,12,141,0.0851063829787234
I,F,0,141,0.0
I,H,141,141,1.0
I,I,141,141,1.0
I,N,62,141,0.4397163120567376
I,O,132,141,0.9361702127659575
I,P,0,141,0.0
I,S,2,141,0.014184397163120567
I,Se,0,141,0.0
I,Si,0,141,0.0
N,As,7,63410,0.00011039268254218577
N,B,2,63410,0.00003154076644062451
N,Br,1621,63410,0.025563791200126165
N,C,63410,63410,1.0
N,Cl,2353,63410,0.037107711717394735
N,F,63,63410,0.000993534142879672
N,H,63409,63410,0.9999842296167797
N,I,62,63410,0.0009777637596593597
N,N,63410,63410,1.0
N,O,61488,63410,0.9696893234505598
N,P,781,63410,0.01231666929506387
N,S,5422,63410,0.08550701782053304
N,Se,21,63410,0.0003311780476265573
N,Si,13,63410,0.0002050149818640593
O,As,28,271406,0.00010316647384361436
O,B,3,271406,0.000011053550768958682
O,Br,3858,271406,0.014214866288880865
O,C,271404,271406,0.999992630966154
O,Cl,5729,271406,0.021108597451788096
O,F,118,271406,0.0004347729969123748
O,H,271404,271406,0.999992630966154
O,I,132,271406,0.000486356233834182
O,N,61488,271406,0.22655357656057715
O,O,271406,271406,1.0
O,P,1102,271406,0.004060337649130823
O,S,7324,271406,0.026985401943951128
O,Se,23,271406,0.00008474388922868323
O,Si,65,271406,0.00023949359999410477
P,As,4,1104,0.0036231884057971015
P,B,0,1104,0.0
P,Br,5,1104,0.004528985507246377
P,C,1103,1104,0.9990942028985508
P,Cl,8,1104,0.007246376811594203
P,F,4,1104,0.0036231884057971015
P,H,1104,1104,1.0
P,I,0,1104,0.0
P,N,781,1104,0.707427536231884
P,O,1102,1104,0.9981884057971014
P,P,1104,1104,1.0
P,S,94,1104,0.08514492753623189
P,Se,0,1104,0.0
P,Si,0,1104,0.0
S,As,8,7777,0.0010286742960010286
S,B,0,7777,0.0
S,Br,218,7777,0.02803137456602803
S,C,7775,7777,0.9997428314259997
S,Cl,298,7777,0.038318117526038316
S,F,15,7777,0.0019287643050019288
S,H,7776,7777,0.9998714157129999
S,I,2,7777,0.00025716857400025716
S,N,5422,7777,0.6971840041146972
S,O,7324,7777,0.9417513179889417
S,P,94,7777,0.012086922978012086
S,S,7777,7777,1.0
S,Se,5,7777,0.0006429214350006429
S,Si,0,7777,0.0
Se,As,0,23,0.0
Se,B,0,23,0.0
Se,Br,0,23,0.0
Se,C,22,23,0.9565217391304348
Se,Cl,0,23,0.0
Se,F,0,23,0.0
Se,H,23,23,1.0
Se,I,0,23,0.0
Se,N,21,23,0.9130434782608695
Se,O,23,23,1.0
Se,P,0,23,0.0
Se,S,5,23,0.21739130434782608
Se,Se,23,23,1.0
Se,Si,0,23,0.0
Si,As,0,65,0.0
Si,B,0,65,0.0
Si,Br,1,65,0.015384615384615385
Si,C,65,65,1.0
Si,Cl,2,65,0.03076923076923077
Si,F,0,65,0.0
Si,H,65,65,1.0
Si,I,0,65,0.0
Si,N,13,65,0.2
Si,O,65,65,1.0
Si,P,0,65,0.0
Si,S,0,65,0.0
Si,Se,0,65,0.0
Si,Si,65,65,1.0
