row_element,column_element,cooccurrence_count
As,As,28
As,B,0
As,Br,0
As,C,28
As,Cl,0
As,F,0
As,H,28
As,I,0
As,N,7
As,O,28
As,P,4
As,S,8
As,Se,0
As,Si,0
B,As,0
B,B,3
B,Br,0
B,C,3
B,Cl,0
B,F,0
B,H,3
B,I,0
B,N,2
B,O,3
B,P,0
B,S,0
B,Se,0
B,Si,0
Br,As,0
Br,B,0
Br,Br,4218
Br,C,4218
Br,Cl,904
Br,F,3
Br,H,4216
Br,I,37
Br,N,1621
Br,O,3858
Br,P,5
Br,S,218
Br,Se,0
Br,Si,1
C,As,28
C,B,3
C,Br,4218
C,C,276515
C,Cl,6106
C,F,122
C,H,276509
C,I,141
C,N,63410
C,O,271404
C,P,1103
C,S,7775
C,Se,22
C,Si,65
Cl,As,0
Cl,B,0
Cl,Br,904
Cl,C,6106
Cl,Cl,6106
Cl,F,10
Cl,H,6102
Cl,I,12
Cl,N,2353
Cl,O,5729
Cl,P,8
Cl,S,298
Cl,Se,0
Cl,Si,2
F,As,0
F,B,0
F,Br,3
F,C,122
F,Cl,10
F,F,122
F,H,122
F,I,0
F,N,63
F,O,118
F,P,4
F,S,15
F,Se,0
F,Si,0
H,As,28
H,B,3
H,Br,4216
H,C,276509
H,Cl,6102
H,F,122
H,H,276511
H,I,141
H,N,63409
H,O,271404
H,P,1104
H,S,7776
H,Se,23
H,Si,65
I,As,0
I,B,0
I,Br,37
I,C,141
I,Cl,12
I,F,0
I,H,141
I,I,141
I,N,62
I,O,132
I,P,0
I,S,2
I,Se,0
I,Si,0
N,As,7
N,B,2
N,Br,1621
N,C,63410
N,Cl,2353
N,F,63
N,H,63409
N,I,62
N,N,63410
N,O,61488
N,P,781
N,S,5422
N,Se,21
N,Si,13
O,As,28
O,B,3
O,Br,3858
O,C,271404
O,Cl,5729
O,F,118
O,H,271404
O,I,132
O,N,61488
O,O,271406
O,P,1102
O,S,7324
O,Se,23
O,Si,65
P,As,4
P,B,0
P,Br,5
P,C,1103
P,Cl,8
P,F,4
P,H,1104
P,I,0
P,N,781
P,O,1102
P,P,1104
P,S,94
P,Se,0
P,Si,0
S,As,8
S,B,0
S,Br,218
S,C,7775
S,Cl,298
S,F,15
S,H,7776
S,I,2
S,N,5422
S,O,7324
S,P,94
S,S,7777
S,Se,5
S,Si,0
Se,As,0
Se,B,0
Se,Br,0
Se,C,22
Se,Cl,0
Se,F,0
Se,H,23
Se,I,0
Se,N,21
Se,O,23
Se,P,0
Se,S,5
Se,Se,23
Se,Si,0
Si,As,0
Si,B,0
Si,Br,1
Si,C,65
Si,Cl,2
Si,F,0
Si,H,65
Si,I,0
Si,N,13
Si,O,65
Si,P,0
Si,S,0
Si,Se,0
Si,Si,65
