row_element,column_element,cooccurrence_count,row_element_count,column_element_count,normalized_pmi
As,As,28,28,28,
As,B,0,28,3,-1.0
As,Br,0,28,4218,-1.0
As,C,28,28,276515,1.1795462698934331e-6
As,Cl,0,28,6106,-1.0
As,F,0,28,122,-1.0
As,H,28,28,276511,2.752294536770565e-6
As,I,0,28,141,-1.0
As,N,7,28,63410,0.00815939075863509
As,O,28,28,271406,0.0020287470278711264
As,P,4,28,1104,0.32102569129068653
As,S,8,28,7777,0.22183841931347967
As,Se,0,28,23,-1.0
As,Si,0,28,65,-1.0
B,As,0,3,28,-1.0
B,B,3,3,3,
B,Br,0,3,4218,-1.0
B,C,3,3,276515,9.490739729368278e-7
B,Cl,0,3,6106,-1.0
B,F,0,3,122,-1.0
B,H,3,3,276511,2.2145219542266545e-6
B,I,0,3,141,-1.0
B,N,2,3,63410,0.09015795296914135
B,O,3,3,271406,0.0016323488539363407
B,P,0,3,1104,-1.0
B,S,0,3,7777,-1.0
B,Se,0,3,23,-1.0
B,Si,0,3,65,-1.0
Br,As,0,4218,28,-1.0
Br,B,0,4218,3,-1.0
Br,Br,4218,4218,4218,
Br,C,4218,4218,276515,2.593708594279032e-6
Br,Cl,904,4218,6106,0.3971058662813818
Br,F,3,4218,122,0.041771374489602886
Br,H,4216,4218,276511,-0.00010731865429938077
Br,I,37,4218,141,0.31898606595909673
Br,N,1621,4218,63410,0.10046957082577068
Br,O,3858,4218,271406,-0.0165145146564364
Br,P,5,4218,1104,-0.11119748226895823
Br,S,218,4218,7777,0.08515581600675265
Br,Se,0,4218,23,-1.0
Br,Si,1,4218,65,0.0006805702407704517
C,As,28,276515,28,1.1795462698934331e-6
C,B,3,276515,3,9.490739729368278e-7
C,Br,4218,276515,4218,2.593708594279032e-6
C,C,276515,276515,276515,
C,Cl,6106,276515,6106,2.8453319460587224e-6
C,F,122,276515,122,1.4042516053805286e-6
C,H,276509,276515,276511,0.11110468184342236
C,I,141,276515,141,1.4310610609625593e-6
C,N,63410,276515,63410,7.367147782666125e-6
C,O,271404,276515,271406,0.0001864316981458945
C,P,1103,276515,1104,-0.00016207803577823426
C,S,7775,276515,7777,-0.00006897994479460597
C,Se,22,276515,23,-0.004708228234436382
C,Si,65,276515,65,1.2984351959211115e-6
Cl,As,0,6106,28,-1.0
Cl,B,0,6106,3,-1.0
Cl,Br,904,6106,4218,0.3971058662813818
Cl,C,6106,6106,276515,2.8453319460587224e-6
Cl,Cl,6106,6106,6106,
Cl,F,10,6106,122,0.12824003752990532
Cl,H,6102,6106,276511,-0.000165193803436998
Cl,I,12,6106,141,0.13430901498723435
Cl,N,2353,6106,63410,0.10889842033019174
Cl,O,5729,6106,271406,-0.011625978104915566
Cl,P,8,6106,1104,-0.10662074561232482
Cl,S,298,6106,7777,0.08066392452684235
Cl,Se,0,6106,23,-1.0
Cl,Si,2,6106,65,0.028027978831584435
F,As,0,122,28,-1.0
F,B,0,122,3,-1.0
F,Br,3,122,4218,0.041771374489602886
F,C,122,122,276515,1.4042516053805286e-6
F,Cl,10,122,6106,0.12824003752990532
F,F,122,122,122,
F,H,122,122,276511,3.2766107785575065e-6
F,I,0,122,141,-1.0
F,N,63,122,63410,0.09679003729982277
F,O,118,122,271406,-0.0018914423496254116
F,P,4,122,1104,0.1889500189918069
F,S,15,122,7777,0.150187056514438
F,Se,0,122,23,-1.0
F,Si,0,122,65,-1.0
H,As,28,276511,28,2.752294536770565e-6
H,B,3,276511,3,2.2145219542266545e-6
H,Br,4216,276511,4218,-0.00010731865429938077
H,C,276509,276511,276515,0.11110468184342236
H,Cl,6102,276511,6106,-0.000165193803436998
H,F,122,276511,122,3.2766107785575065e-6
H,H,276511,276511,276511,
H,I,141,276511,141,3.3391666273745964e-6
H,N,63409,276511,63410,6.481166756266612e-6
H,O,271404,276511,271406,0.000961357006797392
H,P,1104,276511,1104,4.5833040533011516e-6
H,S,7776,276511,7777,-0.0000289192561540819
H,Se,23,276511,23,2.6946648026756856e-6
H,Si,65,276511,65,3.02970403730509e-6
I,As,0,141,28,-1.0
I,B,0,141,3,-1.0
I,Br,37,141,4218,0.31898606595909673
I,C,141,141,276515,1.4310610609625593e-6
I,Cl,12,141,6106,0.13430901498723435
I,F,0,141,122,-1.0
I,H,141,141,276511,3.3391666273745964e-6
I,I,141,141,141,
I,N,62,141,63410,0.07747671425737783
I,O,132,141,271406,-0.006184972692521853
I,P,0,141,1104,-1.0
I,S,2,141,7777,-0.05782834825980701
I,Se,0,141,23,-1.0
I,Si,0,141,65,-1.0
N,As,7,63410,28,0.00815939075863509
N,B,2,63410,3,0.09015795296914135
N,Br,1621,63410,4218,0.10046957082577068
N,C,63410,63410,276515,7.367147782666125e-6
N,Cl,2353,63410,6106,0.10889842033019174
N,F,63,63410,122,0.09679003729982277
N,H,63409,63410,276511,6.481166756266612e-6
N,I,62,63410,141,0.07747671425737783
N,N,63410,63410,63410,
N,O,61488,63410,271406,-0.008061199405061848
N,P,781,63410,1104,0.19193162952168302
N,S,5422,63410,7777,0.2828081982222116
N,Se,21,63410,23,0.14566246233138053
N,Si,13,63410,65,-0.0137262868528005
O,As,28,271406,28,0.0020287470278711264
O,B,3,271406,3,0.0016323488539363407
O,Br,3858,271406,4218,-0.0165145146564364
O,C,271404,271406,276515,0.0001864316981458945
O,Cl,5729,271406,6106,-0.011625978104915566
O,F,118,271406,122,-0.0018914423496254116
O,H,271404,271406,276511,0.000961357006797392
O,I,132,271406,141,-0.006184972692521853
O,N,61488,271406,63410,-0.008061199405061848
O,O,271406,271406,271406,
O,P,1102,271406,1104,0.0030491170097416346
O,S,7324,271406,7777,-0.0113887663903333
O,Se,23,271406,23,0.0019862675075291245
O,Si,65,271406,65,0.002233228667533497
P,As,4,1104,28,0.32102569129068653
P,B,0,1104,3,-1.0
P,Br,5,1104,4218,-0.11119748226895823
P,C,1103,1104,276515,-0.00016207803577823426
P,Cl,8,1104,6106,-0.10662074561232482
P,F,4,1104,122,0.1889500189918069
P,H,1104,1104,276511,4.5833040533011516e-6
P,I,0,1104,141,-1.0
P,N,781,1104,63410,0.19193162952168302
P,O,1102,1104,271406,0.0030491170097416346
P,P,1104,1104,1104,
P,S,94,1104,7777,0.13869304763068852
P,Se,0,1104,23,-1.0
P,Si,0,1104,65,-1.0
S,As,8,7777,28,0.22183841931347967
S,B,0,7777,3,-1.0
S,Br,218,7777,4218,0.08515581600675265
S,C,7775,7777,276515,-0.00006897994479460597
S,Cl,298,7777,6106,0.08066392452684235
S,F,15,7777,122,0.150187056514438
S,H,7776,7777,276511,-0.0000289192561540819
S,I,2,7777,141,-0.05782834825980701
S,N,5422,7777,63410,0.2828081982222116
S,O,7324,7777,271406,-0.0113887663903333
S,P,94,7777,1104,0.13869304763068852
S,S,7777,7777,7777,
S,Se,5,7777,23,0.187265371189165
S,Si,0,7777,65,-1.0
Se,As,0,23,28,-1.0
Se,B,0,23,3,-1.0
Se,Br,0,23,4218,-1.0
Se,C,22,23,276515,-0.004708228234436382
Se,Cl,0,23,6106,-1.0
Se,F,0,23,122,-1.0
Se,H,23,23,276511,2.6946648026756856e-6
Se,I,0,23,141,-1.0
Se,N,21,23,63410,0.14566246233138053
Se,O,23,23,271406,0.0019862675075291245
Se,P,0,23,1104,-1.0
Se,S,5,23,7777,0.187265371189165
Se,Se,23,23,23,
Se,Si,0,23,65,-1.0
Si,As,0,65,28,-1.0
Si,B,0,65,3,-1.0
Si,Br,1,65,4218,0.0006805702407704517
Si,C,65,65,276515,1.2984351959211115e-6
Si,Cl,2,65,6106,0.028027978831584435
Si,F,0,65,122,-1.0
Si,H,65,65,276511,3.02970403730509e-6
Si,I,0,65,141,-1.0
Si,N,13,65,63410,-0.0137262868528005
Si,O,65,65,271406,0.002233228667533497
Si,P,0,65,1104,-1.0
Si,S,0,65,7777,-1.0
Si,Se,0,65,23,-1.0
Si,Si,65,65,65,
