atom_count,record_count,percent_of_profiled_records,contains_target
0,213108,77.0684006104485,false
1,28170,10.187401905120101,true
2,15639,5.655689683854216,true
3,4777,1.7275548065587052,true
4,4120,1.4899572541389712,true
5,2578,0.9323082041675406,true
6,1550,0.5605421708532536,true
7,1323,0.4784498658315191,true
8,1208,0.43686125315530994,true
9,721,0.2607425194743199,true
10,813,0.29401340961528727,true
11,461,0.16671609081506447,true
12,459,0.1659928105946087,true
13,344,0.12440419791839952,true
14,281,0.10162087097404146,true
15,161,0.05822405774669281,true
16,150,0.05424601653418584,true
17,105,0.03797221157393009,true
18,100,0.036164011022790564,true
19,65,0.023506607164813866,true
20,89,0.0321859698102836,true
21,48,0.01735872529093947,true
22,50,0.018082005511395282,true
23,89,0.0321859698102836,true
24,23,0.00831772253524183,true
25,18,0.0065095219841023,true
26,16,0.00578624176364649,true
27,10,0.003616401102279056,true
28,1,0.0003616401102279056,true
29,10,0.003616401102279056,true
30,3,0.0010849203306837168,true
31,3,0.0010849203306837168,true
32,3,0.0010849203306837168,true
33,2,0.0007232802204558112,true
34,4,0.0014465604409116225,true
35,4,0.0014465604409116225,true
36,7,0.0025314807715953393,true
38,1,0.0003616401102279056,true
39,3,0.0010849203306837168,true
41,1,0.0003616401102279056,true
