atom_count,record_count,percent_of_profiled_records,contains_target
0,5112,1.8487042434850534,false
1,13443,4.861528001793735,true
2,22842,8.26058339782582,true
3,28333,10.246349243087248,true
4,33404,12.080226242052959,true
5,29407,10.63475072147202,true
6,26585,9.61420233040887,true
7,20297,7.3402093172958,true
8,16066,5.810110010921531,true
9,12381,4.477466204731699,true
10,10758,3.8905243058318084,true
11,8489,3.0699628957246907,true
12,7581,2.7415936756377524,true
13,5855,2.117402845384387,true
14,5243,1.896079097924909,true
15,4089,1.478746410721906,true
16,3668,1.3264959243159578,true
17,3033,1.0968544543212377,true
18,3006,1.0870901713450842,true
19,2706,0.9785981382767126,true
20,2061,0.7453402671797134,true
21,1511,0.5464382065543654,true
22,1654,0.5981527423169559,true
23,1501,0.5428218054520862,true
24,1305,0.4719403438474168,true
25,842,0.30450097281189653,true
26,946,0.3421115442755987,true
27,869,0.31426525578805,true
28,633,0.22891818977426423,true
29,409,0.1479108050832134,true
30,415,0.15008064574458083,true
31,366,0.13236028034341343,true
32,261,0.09438806876948336,true
33,197,0.0712431017148974,true
34,168,0.060755538518288146,true
35,96,0.03471745058187894,true
36,98,0.03544073080233475,true
37,75,0.02712300826709292,true
38,46,0.01663544507048366,true
39,32,0.01157248352729298,true
40,47,0.016997085180711562,true
41,24,0.008679362645469734,true
42,30,0.010849203306837168,true
43,26,0.009402642865925546,true
44,143,0.051714535762590504,true
45,18,0.0065095219841023,true
46,14,0.005062961543190679,true
47,36,0.0130190439682046,true
48,91,0.03290925003073941,true
49,16,0.00578624176364649,true
50,9,0.00325476099205115,true
51,28,0.010125923086381357,true
52,104,0.03761057146370218,true
53,55,0.019890206062534808,true
54,16,0.00578624176364649,true
55,8,0.002893120881823245,true
56,11,0.0039780412125069615,true
57,9,0.00325476099205115,true
58,2,0.0007232802204558112,true
59,2,0.0007232802204558112,true
61,7,0.0025314807715953393,true
62,4,0.0014465604409116225,true
63,2,0.0007232802204558112,true
64,2,0.0007232802204558112,true
65,2,0.0007232802204558112,true
66,4,0.0014465604409116225,true
67,2,0.0007232802204558112,true
70,4,0.0014465604409116225,true
73,2,0.0007232802204558112,true
74,5,0.001808200551139528,true
75,1,0.0003616401102279056,true
76,2,0.0007232802204558112,true
78,6,0.0021698406613674336,true
106,3,0.0010849203306837168,true
