atom_count,record_count,percent_of_profiled_records,contains_target
0,124579493,99.992153417322,false
1,6165,0.004948259227686776,true
2,2066,0.0016582487533496966,true
3,598,0.0004799771318988957,true
4,444,0.00035637098087476537,true
5,124,0.0000995270306947543,true
6,95,0.00007625054770969079,true
7,54,0.000043342416592876873,true
8,49,0.0000393292298713142,true
9,26,0.0000208685709521259,true
10,84,0.0000674215369222529,true
11,8,6.421098754500277e-6,true
12,15,0.00001203956016468802,true
13,6,4.815824065875208e-6,true
14,5,4.013186721562673e-6,true
15,1,8.026373443125346e-7,true
16,8,6.421098754500277e-6,true
17,5,4.013186721562673e-6,true
18,6,4.815824065875208e-6,true
19,2,1.6052746886250692e-6,true
20,1,8.026373443125346e-7,true
21,1,8.026373443125346e-7,true
22,2,1.6052746886250692e-6,true
23,1,8.026373443125346e-7,true
27,2,1.6052746886250692e-6,true
28,2,1.6052746886250692e-6,true
29,2,1.6052746886250692e-6,true
30,1,8.026373443125346e-7,true
43,1,8.026373443125346e-7,true
48,1,8.026373443125346e-7,true
64,1,8.026373443125346e-7,true
