atom_count,record_count,percent_of_profiled_records,contains_target
0,124570183,99.98468086364645,false
1,14795,0.01187501950910395,true
2,2897,0.002325240386473413,true
3,463,0.00037162109041670357,true
4,443,0.00035556834353045284,true
5,59,0.00004735560331443954,true
6,190,0.00015250109541938158,true
7,25,0.000020065933607813364,true
8,64,0.000051368790036002215,true
9,17,0.00001364483485331309,true
10,18,0.000014447472197625624,true
11,2,1.6052746886250692e-6,true
12,22,0.000017658021574875762,true
13,7,5.618461410187742e-6,true
14,27,0.000021671208296438437,true
15,2,1.6052746886250692e-6,true
16,9,7.223736098812812e-6,true
18,2,1.6052746886250692e-6,true
19,2,1.6052746886250692e-6,true
20,2,1.6052746886250692e-6,true
22,1,8.026373443125346e-7,true
24,4,3.2105493772501384e-6,true
25,1,8.026373443125346e-7,true
26,3,2.407912032937604e-6,true
27,1,8.026373443125346e-7,true
29,1,8.026373443125346e-7,true
30,2,1.6052746886250692e-6,true
32,2,1.6052746886250692e-6,true
38,3,2.407912032937604e-6,true
40,1,8.026373443125346e-7,true
43,1,8.026373443125346e-7,true
50,1,8.026373443125346e-7,true
51,1,8.026373443125346e-7,true
59,2,1.6052746886250692e-6,true
62,1,8.026373443125346e-7,true
64,1,8.026373443125346e-7,true
70,1,8.026373443125346e-7,true
71,1,8.026373443125346e-7,true
72,1,8.026373443125346e-7,true
73,1,8.026373443125346e-7,true
75,1,8.026373443125346e-7,true
80,1,8.026373443125346e-7,true
90,4,3.2105493772501384e-6,true
94,1,8.026373443125346e-7,true
97,1,8.026373443125346e-7,true
99,1,8.026373443125346e-7,true
150,1,8.026373443125346e-7,true
