atom_count,record_count,percent_of_profiled_records,contains_target
0,124506908,99.93389398568507,false
1,70820,0.05684277672421371,true
2,8055,0.006465243808437466,true
3,1372,0.0011012184363967975,true
4,920,0.0007384263567675319,true
5,352,0.0002825283451980122,true
6,274,0.0002199226323416345,true
7,91,0.00007303999833244064,true
8,126,0.00010113230538337937,true
9,70,0.00005618461410187742,true
10,57,0.000045750328625814475,true
11,22,0.000017658021574875762,true
12,35,0.00002809230705093871,true
13,9,7.223736098812812e-6,true
14,32,0.000025684395018001108,true
15,6,4.815824065875208e-6,true
16,37,0.000029697581739563785,true
17,5,4.013186721562673e-6,true
18,7,5.618461410187742e-6,true
20,3,2.407912032937604e-6,true
21,1,8.026373443125346e-7,true
23,3,2.407912032937604e-6,true
24,6,4.815824065875208e-6,true
25,7,5.618461410187742e-6,true
26,1,8.026373443125346e-7,true
29,1,8.026373443125346e-7,true
30,2,1.6052746886250692e-6,true
31,1,8.026373443125346e-7,true
32,3,2.407912032937604e-6,true
33,1,8.026373443125346e-7,true
35,1,8.026373443125346e-7,true
36,1,8.026373443125346e-7,true
37,2,1.6052746886250692e-6,true
40,1,8.026373443125346e-7,true
41,3,2.407912032937604e-6,true
43,1,8.026373443125346e-7,true
49,1,8.026373443125346e-7,true
50,3,2.407912032937604e-6,true
55,1,8.026373443125346e-7,true
57,1,8.026373443125346e-7,true
60,4,3.2105493772501384e-6,true
63,1,8.026373443125346e-7,true
64,1,8.026373443125346e-7,true
69,1,8.026373443125346e-7,true
70,3,2.407912032937604e-6,true
72,1,8.026373443125346e-7,true
80,5,4.013186721562673e-6,true
90,1,8.026373443125346e-7,true
97,2,1.6052746886250692e-6,true
100,7,5.618461410187742e-6,true
112,1,8.026373443125346e-7,true
