atom_count,record_count,percent_of_profiled_records,contains_target
0,124585190,99.99672604227256,false
1,2439,0.001957632482778272,true
2,578,0.00046392438501264503,true
3,306,0.0002456070273596356,true
4,241,0.00019343559997932086,true
5,60,0.00004815824065875208,true
6,123,0.00009872439335044178,true
7,33,0.000026487032362313644,true
8,62,0.00004976351534737715,true
9,19,0.000015250109541938157,true
10,31,0.000024881757673688575,true
11,42,0.00003371076846112645,true
12,26,0.0000208685709521259,true
13,2,1.6052746886250692e-6,true
14,4,3.2105493772501384e-6,true
15,7,5.618461410187742e-6,true
16,2,1.6052746886250692e-6,true
17,1,8.026373443125346e-7,true
18,9,7.223736098812812e-6,true
20,7,5.618461410187742e-6,true
21,16,0.000012842197509000554,true
22,2,1.6052746886250692e-6,true
24,8,6.421098754500277e-6,true
25,1,8.026373443125346e-7,true
27,3,2.407912032937604e-6,true
28,2,1.6052746886250692e-6,true
30,1,8.026373443125346e-7,true
31,1,8.026373443125346e-7,true
32,3,2.407912032937604e-6,true
33,3,2.407912032937604e-6,true
36,2,1.6052746886250692e-6,true
39,2,1.6052746886250692e-6,true
40,5,4.013186721562673e-6,true
42,2,1.6052746886250692e-6,true
44,1,8.026373443125346e-7,true
45,3,2.407912032937604e-6,true
48,1,8.026373443125346e-7,true
50,2,1.6052746886250692e-6,true
56,1,8.026373443125346e-7,true
60,2,1.6052746886250692e-6,true
69,1,8.026373443125346e-7,true
72,1,8.026373443125346e-7,true
73,1,8.026373443125346e-7,true
75,1,8.026373443125346e-7,true
76,1,8.026373443125346e-7,true
77,1,8.026373443125346e-7,true
80,3,2.407912032937604e-6,true
90,3,2.407912032937604e-6,true
95,1,8.026373443125346e-7,true
97,2,1.6052746886250692e-6,true
100,1,8.026373443125346e-7,true
101,1,8.026373443125346e-7,true
102,1,8.026373443125346e-7,true
117,2,1.6052746886250692e-6,true
183,1,8.026373443125346e-7,true
188,1,8.026373443125346e-7,true
234,1,8.026373443125346e-7,true
260,1,8.026373443125346e-7,true
337,2,1.6052746886250692e-6,true
