atom_count,record_count,percent_of_profiled_records,contains_target
0,124555717,99.97306991182363,false
1,29579,0.023741210007420462,true
2,2798,0.002245779289386472,true
3,421,0.0003379103219555771,true
4,405,0.00032506812444657655,true
5,69,0.00005538197675756489,true
6,181,0.00014527735932056877,true
7,8,6.421098754500277e-6,true
8,33,0.000026487032362313644,true
9,10,8.026373443125347e-6,true
10,5,4.013186721562673e-6,true
11,6,4.815824065875208e-6,true
12,15,0.00001203956016468802,true
13,7,5.618461410187742e-6,true
15,2,1.6052746886250692e-6,true
16,4,3.2105493772501384e-6,true
17,1,8.026373443125346e-7,true
18,1,8.026373443125346e-7,true
19,1,8.026373443125346e-7,true
24,3,2.407912032937604e-6,true
26,1,8.026373443125346e-7,true
30,1,8.026373443125346e-7,true
50,1,8.026373443125346e-7,true
