atom_count,record_count,percent_of_formula_records,contains_target
0,123909557,99.9856238379232,false
1,13329,0.010755493058018747,true
2,2921,0.002357025675029842,true
3,316,0.0002549880565934372,true
4,513,0.0004139521298494724,true
5,145,0.00011700401331027972,true
6,326,0.00026305729889069786,true
7,24,0.000019366181513425608,true
8,87,0.00007020240798616784,true
9,8,6.455393837808537e-6,true
10,15,0.000012103863445891006,true
11,7,5.648469608082469e-6,true
12,17,0.000013717711905343138,true
13,4,3.2276969189042683e-6,true
14,11,8.876166526986737e-6,true
15,2,1.6138484594521342e-6,true
16,47,0.000037925438797125155,true
18,5,4.034621148630335e-6,true
19,1,8.069242297260671e-7,true
20,3,2.420772689178201e-6,true
21,1,8.069242297260671e-7,true
22,1,8.069242297260671e-7,true
24,7,5.648469608082469e-6,true
25,3,2.420772689178201e-6,true
28,2,1.6138484594521342e-6,true
30,3,2.420772689178201e-6,true
34,1,8.069242297260671e-7,true
36,1,8.069242297260671e-7,true
40,1,8.069242297260671e-7,true
42,1,8.069242297260671e-7,true
44,1,8.069242297260671e-7,true
46,1,8.069242297260671e-7,true
55,4,3.2276969189042683e-6,true
62,1,8.069242297260671e-7,true
70,2,1.6138484594521342e-6,true
73,1,8.069242297260671e-7,true
82,1,8.069242297260671e-7,true
87,1,8.069242297260671e-7,true
101,1,8.069242297260671e-7,true
160,1,8.069242297260671e-7,true
