atom_count,record_count,percent_of_profiled_records,contains_target
0,124573505,99.98734722490425,false
1,14352,0.011519451165573498,true
2,749,0.0006011753708900885,true
3,347,0.00027851515847644953,true
4,67,0.00005377670206893982,true
5,50,0.00004013186721562673,true
6,80,0.00006421098754500277,true
7,14,0.000011236922820375485,true
8,19,0.000015250109541938157,true
9,20,0.000016052746886250693,true
10,17,0.00001364483485331309,true
11,7,5.618461410187742e-6,true
12,11,8.829010787437881e-6,true
13,1,8.026373443125346e-7,true
14,2,1.6052746886250692e-6,true
15,2,1.6052746886250692e-6,true
16,2,1.6052746886250692e-6,true
18,3,2.407912032937604e-6,true
19,1,8.026373443125346e-7,true
20,3,2.407912032937604e-6,true
22,1,8.026373443125346e-7,true
26,1,8.026373443125346e-7,true
27,1,8.026373443125346e-7,true
28,1,8.026373443125346e-7,true
29,1,8.026373443125346e-7,true
30,3,2.407912032937604e-6,true
33,1,8.026373443125346e-7,true
35,1,8.026373443125346e-7,true
37,1,8.026373443125346e-7,true
52,1,8.026373443125346e-7,true
73,1,8.026373443125346e-7,true
85,1,8.026373443125346e-7,true
97,1,8.026373443125346e-7,true
108,1,8.026373443125346e-7,true
114,1,8.026373443125346e-7,true
