atom_count,record_count,percent_of_profiled_records,contains_target
0,124586036,99.99740507346584,false
1,2686,0.0021558839068234682,true
2,279,0.00022393581906319715,true
3,149,0.00011959296430256766,true
4,60,0.00004815824065875208,true
5,24,0.00001926329626350083,true
6,13,0.00001043428547606295,true
7,2,1.6052746886250692e-6,true
8,5,4.013186721562673e-6,true
9,3,2.407912032937604e-6,true
12,5,4.013186721562673e-6,true
13,2,1.6052746886250692e-6,true
15,2,1.6052746886250692e-6,true
17,1,8.026373443125346e-7,true
33,2,1.6052746886250692e-6,true
