atom_count,record_count,percent_of_formula_records,contains_target
0,123911765,99.98740552662242,false
1,13724,0.011074228128760546,true
2,1305,0.0010530361197925175,true
3,273,0.00022029031471521628,true
4,148,0.00011942478599945793,true
5,49,0.000039539287256577285,true
6,49,0.000039539287256577285,true
7,8,6.455393837808537e-6,true
8,14,0.000011296939216164938,true
9,6,4.841545378356402e-6,true
10,8,6.455393837808537e-6,true
11,5,4.034621148630335e-6,true
12,8,6.455393837808537e-6,true
17,2,1.6138484594521342e-6,true
18,1,8.069242297260671e-7,true
20,1,8.069242297260671e-7,true
25,1,8.069242297260671e-7,true
27,1,8.069242297260671e-7,true
35,1,8.069242297260671e-7,true
36,1,8.069242297260671e-7,true
47,1,8.069242297260671e-7,true
50,1,8.069242297260671e-7,true
69,1,8.069242297260671e-7,true
