atom_count,record_count,percent_of_profiled_records,contains_target
0,115981859,93.09137129619086,false
1,7613359,6.110766249057935,true
2,803026,0.6445386560539174,true
3,100053,0.08030627421050203,true
4,50638,0.04064394984129813,true
5,12483,0.01001932196905337,true
6,11977,0.009613187472831228,true
7,3662,0.002939257954872502,true
8,4770,0.003828580132370791,true
9,1728,0.00138695733097206,true
10,1717,0.001378128320184622,true
11,526,0.00042218724310839325,true
12,1060,0.0008507955849712867,true
13,257,0.00020627779748832138,true
14,354,0.0002841336198866373,true
15,211,0.0001693564796499448,true
16,335,0.0002688835103446991,true
17,108,0.00008668483318575375,true
18,215,0.00017256702902719494,true
19,66,0.00005297406472462729,true
20,143,0.00011477714023669246,true
21,99,0.00007946109708694093,true
22,52,0.0000417371419042518,true
23,39,0.00003130285642818885,true
24,92,0.0000738426356767532,true
25,38,0.000030500219083876315,true
26,19,0.000015250109541938157,true
27,37,0.000029697581739563785,true
28,24,0.00001926329626350083,true
29,19,0.000015250109541938157,true
30,38,0.000030500219083876315,true
31,15,0.00001203956016468802,true
32,32,0.000025684395018001108,true
33,21,0.000016855384230563226,true
34,15,0.00001203956016468802,true
35,10,8.026373443125347e-6,true
36,16,0.000012842197509000554,true
37,9,7.223736098812812e-6,true
38,7,5.618461410187742e-6,true
39,16,0.000012842197509000554,true
40,7,5.618461410187742e-6,true
41,11,8.829010787437881e-6,true
42,6,4.815824065875208e-6,true
43,9,7.223736098812812e-6,true
44,6,4.815824065875208e-6,true
45,7,5.618461410187742e-6,true
46,6,4.815824065875208e-6,true
47,6,4.815824065875208e-6,true
48,10,8.026373443125347e-6,true
49,5,4.013186721562673e-6,true
50,4,3.2105493772501384e-6,true
51,6,4.815824065875208e-6,true
52,1,8.026373443125346e-7,true
53,1,8.026373443125346e-7,true
54,3,2.407912032937604e-6,true
55,1,8.026373443125346e-7,true
56,1,8.026373443125346e-7,true
57,5,4.013186721562673e-6,true
58,3,2.407912032937604e-6,true
59,2,1.6052746886250692e-6,true
61,1,8.026373443125346e-7,true
62,2,1.6052746886250692e-6,true
65,1,8.026373443125346e-7,true
66,2,1.6052746886250692e-6,true
68,1,8.026373443125346e-7,true
70,2,1.6052746886250692e-6,true
71,1,8.026373443125346e-7,true
72,1,8.026373443125346e-7,true
73,2,1.6052746886250692e-6,true
74,1,8.026373443125346e-7,true
75,1,8.026373443125346e-7,true
77,1,8.026373443125346e-7,true
78,1,8.026373443125346e-7,true
81,2,1.6052746886250692e-6,true
82,1,8.026373443125346e-7,true
87,1,8.026373443125346e-7,true
90,1,8.026373443125346e-7,true
96,1,8.026373443125346e-7,true
97,1,8.026373443125346e-7,true
