atom_count,record_count,percent_of_profiled_records,contains_target
0,124542188,99.96221103119241,false
1,41322,0.03316658034168256,true
2,3113,0.0024986100528449203,true
3,1557,0.0012497063450946165,true
4,351,0.0002817257078536996,true
5,234,0.00018781713856913312,true
6,97,0.00007785582239831586,true
7,50,0.00004013186721562673,true
8,68,0.00005457933941325236,true
9,26,0.0000208685709521259,true
10,48,0.00003852659252700166,true
11,13,0.00001043428547606295,true
12,31,0.000024881757673688575,true
13,10,8.026373443125347e-6,true
14,7,5.618461410187742e-6,true
15,18,0.000014447472197625624,true
16,6,4.815824065875208e-6,true
17,3,2.407912032937604e-6,true
18,1,8.026373443125346e-7,true
19,2,1.6052746886250692e-6,true
20,13,0.00001043428547606295,true
21,4,3.2105493772501384e-6,true
22,3,2.407912032937604e-6,true
23,1,8.026373443125346e-7,true
24,3,2.407912032937604e-6,true
25,5,4.013186721562673e-6,true
26,1,8.026373443125346e-7,true
27,3,2.407912032937604e-6,true
28,3,2.407912032937604e-6,true
29,3,2.407912032937604e-6,true
30,9,7.223736098812812e-6,true
31,4,3.2105493772501384e-6,true
32,1,8.026373443125346e-7,true
33,3,2.407912032937604e-6,true
34,2,1.6052746886250692e-6,true
35,7,5.618461410187742e-6,true
39,1,8.026373443125346e-7,true
40,5,4.013186721562673e-6,true
41,1,8.026373443125346e-7,true
42,2,1.6052746886250692e-6,true
43,2,1.6052746886250692e-6,true
44,2,1.6052746886250692e-6,true
45,2,1.6052746886250692e-6,true
49,3,2.407912032937604e-6,true
50,5,4.013186721562673e-6,true
53,1,8.026373443125346e-7,true
55,2,1.6052746886250692e-6,true
57,2,1.6052746886250692e-6,true
58,2,1.6052746886250692e-6,true
59,1,8.026373443125346e-7,true
60,2,1.6052746886250692e-6,true
62,1,8.026373443125346e-7,true
63,2,1.6052746886250692e-6,true
65,2,1.6052746886250692e-6,true
68,1,8.026373443125346e-7,true
69,1,8.026373443125346e-7,true
70,1,8.026373443125346e-7,true
73,2,1.6052746886250692e-6,true
75,2,1.6052746886250692e-6,true
76,1,8.026373443125346e-7,true
78,1,8.026373443125346e-7,true
80,1,8.026373443125346e-7,true
81,1,8.026373443125346e-7,true
85,1,8.026373443125346e-7,true
90,1,8.026373443125346e-7,true
95,2,1.6052746886250692e-6,true
97,1,8.026373443125346e-7,true
98,1,8.026373443125346e-7,true
100,3,2.407912032937604e-6,true
107,1,8.026373443125346e-7,true
