atom_count,record_count,percent_of_profiled_records,contains_target
0,124581308,99.99361020410193,false
1,6996,0.005615250860810493,true
2,579,0.0004647270223569576,true
3,214,0.00017176439168288242,true
4,63,0.000050566152691689686,true
5,32,0.000025684395018001108,true
6,22,0.000017658021574875762,true
7,10,8.026373443125347e-6,true
8,11,8.829010787437881e-6,true
9,4,3.2105493772501384e-6,true
10,4,3.2105493772501384e-6,true
11,5,4.013186721562673e-6,true
12,5,4.013186721562673e-6,true
18,4,3.2105493772501384e-6,true
28,2,1.6052746886250692e-6,true
36,1,8.026373443125346e-7,true
38,1,8.026373443125346e-7,true
46,1,8.026373443125346e-7,true
48,1,8.026373443125346e-7,true
51,1,8.026373443125346e-7,true
80,1,8.026373443125346e-7,true
86,1,8.026373443125346e-7,true
118,1,8.026373443125346e-7,true
244,2,1.6052746886250692e-6,true
