atom_count,record_count,percent_of_profiled_records,contains_target
0,124581008,99.99336941289863,false
1,7247,0.005816712834232939,true
2,781,0.0006268597659080896,true
3,99,0.00007946109708694093,true
4,60,0.00004815824065875208,true
5,20,0.000016052746886250693,true
6,18,0.000014447472197625624,true
7,11,8.829010787437881e-6,true
8,9,7.223736098812812e-6,true
9,3,2.407912032937604e-6,true
10,1,8.026373443125346e-7,true
12,3,2.407912032937604e-6,true
14,1,8.026373443125346e-7,true
15,1,8.026373443125346e-7,true
21,2,1.6052746886250692e-6,true
30,1,8.026373443125346e-7,true
38,2,1.6052746886250692e-6,true
40,2,1.6052746886250692e-6,true
