atom_count,record_count,percent_of_profiled_records,contains_target
0,102682795,82.4170458853884,false
1,16229820,13.02665962347046,true
2,4474635,3.591509153167918,true
3,748619,0.6008695660619054,true
4,247090,0.19832366140618418,true
5,68634,0.055088211489546506,true
6,61722,0.049540382165658266,true
7,17465,0.014018061218418419,true
8,20268,0.016267853694526452,true
9,8316,0.006674732155303038,true
10,8790,0.00705518225650718,true
11,3012,0.0024175436810693544,true
12,6408,0.005143300102354722,true
13,1632,0.0013099041459180565,true
14,2036,0.0016341696330203206,true
15,1273,0.0010217573393098566,true
16,1689,0.0013556544745438712,true
17,493,0.0003957002107460796,true
18,988,0.0007930056961807843,true
19,253,0.00020306724811107127,true
20,663,0.0005321485592792105,true
21,267,0.00021430417093144674,true
22,227,0.00018219867715894538,true
23,120,0.00009631648131750415,true
24,376,0.000301791641461513,true
25,107,0.00008588219584144121,true
26,85,0.00006822417426656544,true
27,104,0.0000834742838085036,true
28,148,0.00011879032695825514,true
29,34,0.00002728966970662618,true
30,122,0.00009792175600612923,true
31,34,0.00002728966970662618,true
32,66,0.00005297406472462729,true
33,41,0.000032908131116813916,true
34,21,0.000016855384230563226,true
35,24,0.00001926329626350083,true
36,74,0.00005939516347912757,true
37,17,0.00001364483485331309,true
38,25,0.000020065933607813364,true
39,28,0.00002247384564075097,true
40,45,0.00003611868049406406,true
41,15,0.00001203956016468802,true
42,25,0.000020065933607813364,true
43,16,0.000012842197509000554,true
44,13,0.00001043428547606295,true
45,25,0.000020065933607813364,true
46,5,4.013186721562673e-6,true
47,6,4.815824065875208e-6,true
48,28,0.00002247384564075097,true
49,13,0.00001043428547606295,true
50,30,0.00002407912032937604,true
51,5,4.013186721562673e-6,true
52,12,9.631648131750416e-6,true
53,5,4.013186721562673e-6,true
54,5,4.013186721562673e-6,true
55,8,6.421098754500277e-6,true
56,7,5.618461410187742e-6,true
57,9,7.223736098812812e-6,true
58,4,3.2105493772501384e-6,true
59,3,2.407912032937604e-6,true
60,29,0.000023276482985063506,true
61,8,6.421098754500277e-6,true
62,3,2.407912032937604e-6,true
64,5,4.013186721562673e-6,true
65,5,4.013186721562673e-6,true
66,3,2.407912032937604e-6,true
67,2,1.6052746886250692e-6,true
68,3,2.407912032937604e-6,true
69,2,1.6052746886250692e-6,true
70,7,5.618461410187742e-6,true
71,4,3.2105493772501384e-6,true
72,10,8.026373443125347e-6,true
73,4,3.2105493772501384e-6,true
75,12,9.631648131750416e-6,true
76,1,8.026373443125346e-7,true
77,1,8.026373443125346e-7,true
78,5,4.013186721562673e-6,true
79,3,2.407912032937604e-6,true
80,11,8.829010787437881e-6,true
81,1,8.026373443125346e-7,true
82,2,1.6052746886250692e-6,true
84,4,3.2105493772501384e-6,true
85,5,4.013186721562673e-6,true
86,2,1.6052746886250692e-6,true
87,4,3.2105493772501384e-6,true
88,1,8.026373443125346e-7,true
89,2,1.6052746886250692e-6,true
90,17,0.00001364483485331309,true
91,1,8.026373443125346e-7,true
92,4,3.2105493772501384e-6,true
93,1,8.026373443125346e-7,true
94,1,8.026373443125346e-7,true
95,7,5.618461410187742e-6,true
96,2,1.6052746886250692e-6,true
97,1,8.026373443125346e-7,true
98,4,3.2105493772501384e-6,true
99,3,2.407912032937604e-6,true
100,25,0.000020065933607813364,true
101,1,8.026373443125346e-7,true
102,1,8.026373443125346e-7,true
104,1,8.026373443125346e-7,true
