atom_count,record_count,percent_of_profiled_records,contains_target
0,124543488,99.96325445974003,false
1,39666,0.031837412899501,true
2,3927,0.0031519568511153236,true
3,831,0.0006669916331237162,true
4,560,0.00044947691281501935,true
5,156,0.0001252114257127554,true
6,182,0.0001460799966648813,true
7,105,0.00008427692115281614,true
8,70,0.00005618461410187742,true
9,76,0.00006100043816775263,true
10,38,0.000030500219083876315,true
11,6,4.815824065875208e-6,true
12,8,6.421098754500277e-6,true
13,8,6.421098754500277e-6,true
14,5,4.013186721562673e-6,true
15,3,2.407912032937604e-6,true
16,5,4.013186721562673e-6,true
17,1,8.026373443125346e-7,true
18,4,3.2105493772501384e-6,true
19,4,3.2105493772501384e-6,true
20,3,2.407912032937604e-6,true
21,5,4.013186721562673e-6,true
22,6,4.815824065875208e-6,true
23,1,8.026373443125346e-7,true
24,5,4.013186721562673e-6,true
25,2,1.6052746886250692e-6,true
26,3,2.407912032937604e-6,true
27,3,2.407912032937604e-6,true
28,3,2.407912032937604e-6,true
29,1,8.026373443125346e-7,true
30,4,3.2105493772501384e-6,true
32,1,8.026373443125346e-7,true
33,3,2.407912032937604e-6,true
34,3,2.407912032937604e-6,true
35,2,1.6052746886250692e-6,true
36,2,1.6052746886250692e-6,true
39,3,2.407912032937604e-6,true
40,3,2.407912032937604e-6,true
41,1,8.026373443125346e-7,true
42,1,8.026373443125346e-7,true
45,3,2.407912032937604e-6,true
46,8,6.421098754500277e-6,true
47,3,2.407912032937604e-6,true
48,3,2.407912032937604e-6,true
49,2,1.6052746886250692e-6,true
50,5,4.013186721562673e-6,true
51,4,3.2105493772501384e-6,true
52,4,3.2105493772501384e-6,true
53,4,3.2105493772501384e-6,true
54,5,4.013186721562673e-6,true
55,1,8.026373443125346e-7,true
56,3,2.407912032937604e-6,true
58,5,4.013186721562673e-6,true
59,1,8.026373443125346e-7,true
60,4,3.2105493772501384e-6,true
61,2,1.6052746886250692e-6,true
62,1,8.026373443125346e-7,true
64,1,8.026373443125346e-7,true
67,1,8.026373443125346e-7,true
88,2,1.6052746886250692e-6,true
92,2,1.6052746886250692e-6,true
107,2,1.6052746886250692e-6,true
108,1,8.026373443125346e-7,true
111,1,8.026373443125346e-7,true
117,2,1.6052746886250692e-6,true
350,1,8.026373443125346e-7,true
