row_element,column_element,cooccurrence_count,row_element_count,column_element_count,normalized_pmi
Ac,Ac,9776,9776,9776,
Ac,Ag,19,9776,19086,0.16186039433938312
Ac,Al,5,9776,82361,-0.015065504183470704
Ac,Am,4,9776,380,0.2839285207550717
Ac,Ar,5,9776,4079,0.1613917430800772
Ac,As,0,9776,33552,-1.0
Ac,At,0,9776,1164,-1.0
Ac,Au,32,9776,18070,0.20537835512730682
Ac,B,263,9776,1315877,0.0715457874293378
Ac,Ba,2,9776,15764,0.026773280615358754
Ac,Be,3,9776,3233,0.14082231370117262
Ac,Bh,0,9776,74,-1.0
Ac,Bi,1,9776,15692,-0.011161641746747242
Ac,Bk,0,9776,169,-1.0
Ac,Br,460,9776,8607410,-0.030701955507938954
Ac,C,9620,9776,124377664,-0.0015193129255342097
Ac,Ca,1,9776,47081,-0.07010408143338837
Ac,Cd,1,9776,7961,0.025242703927993992
Ac,Ce,5,9776,8261,0.11995613485389248
Ac,Cf,0,9776,237,-1.0
Ac,Cl,935,9776,21906474,-0.051601659226472175
Ac,Cm,2,9776,692,0.20094339138796735
Ac,Cn,0,9776,7,-1.0
Ac,Co,19,9776,45781,0.10611951557896139
Ac,Cr,5,9776,27069,0.050269276350750215
Ac,Cs,12,9776,12307,0.15597231947688903
Ac,Cu,20,9776,67388,0.0850351122883607
Ac,Db,0,9776,105,-1.0
Ac,Ds,0,9776,11,-1.0
Ac,Dy,0,9776,2319,-1.0
Ac,Er,0,9776,2201,-1.0
Ac,Es,2,9776,359,0.23750936107170373
Ac,Eu,0,9776,5611,-1.0
Ac,F,749,9776,25344252,-0.08122549540146146
Ac,Fe,8,9776,81651,0.013409717084364135
Ac,Fl,0,9776,8,-1.0
Ac,Fm,0,9776,2120,-1.0
Ac,Fr,0,9776,105,-1.0
Ac,Ga,7,9776,11650,0.1219372284912009
Ac,Gd,9,9776,7718,0.16412520615656895
Ac,Ge,1,9776,47164,-0.07019857267474006
Ac,H,9684,9776,124461855,-0.0008911327371182765
Ac,He,0,9776,415,-1.0
Ac,Hf,4,9776,22172,0.04825227133001755
Ac,Hg,20,9776,15140,0.18047427671684427
Ac,Ho,0,9776,1848,-1.0
Ac,Hs,0,9776,69,-1.0
Ac,I,248,9776,2542800,0.016568749885998758
Ac,In,4,9776,14006,0.07487439189718008
Ac,Ir,3,9776,169603,-0.08492548039434482
Ac,K,54,9776,156190,0.10121816534764591
Ac,Kr,0,9776,166,-1.0
Ac,La,6,9776,8114,0.13314088245287256
Ac,Li,29,9776,117297,0.07514312199599796
Ac,Lr,0,9776,861,-1.0
Ac,Lu,6,9776,2717,0.19807514190733444
Ac,Lv,0,9776,5,-1.0
Ac,Mc,0,9776,5,-1.0
Ac,Md,0,9776,96,-1.0
Ac,Mg,12,9776,63053,0.05484300407842389
Ac,Mn,16,9776,30915,0.11888365993903068
Ac,Mo,2,9776,20126,0.013162181253467721
Ac,Mt,0,9776,79,-1.0
Ac,N,6754,9776,110925773,-0.025821387539284757
Ac,Na,210,9776,410484,0.14103683472509865
Ac,Nb,5,9776,6672,0.13249942575569829
Ac,Nd,1,9776,5576,0.044345320035654
Ac,Ne,0,9776,225,-1.0
Ac,Nh,0,9776,8,-1.0
Ac,Ni,4,9776,50498,0.0005478483508052195
Ac,No,21,9776,366,0.4228476518363124
Ac,Np,27,9776,482,0.42820920234118814
Ac,O,9098,9776,109353141,0.006148652707491913
