atom_count,record_count,percent_of_profiled_records,contains_target
0,124562200,99.9782734097268,false
1,23571,0.018918964842790754,true
2,2380,0.0019102768794638323,true
3,387,0.00031062065224895087,true
4,235,0.00018861977591344564,true
5,116,0.00009310593194025402,true
6,126,0.00010113230538337937,true
7,65,0.00005217142738031476,true
8,66,0.00005297406472462729,true
9,32,0.000025684395018001108,true
10,29,0.000023276482985063506,true
11,8,6.421098754500277e-6,true
12,15,0.00001203956016468802,true
13,3,2.407912032937604e-6,true
14,5,4.013186721562673e-6,true
15,3,2.407912032937604e-6,true
16,2,1.6052746886250692e-6,true
18,4,3.2105493772501384e-6,true
20,5,4.013186721562673e-6,true
22,1,8.026373443125346e-7,true
25,1,8.026373443125346e-7,true
30,1,8.026373443125346e-7,true
40,2,1.6052746886250692e-6,true
82,1,8.026373443125346e-7,true
95,1,8.026373443125346e-7,true
99,1,8.026373443125346e-7,true
100,3,2.407912032937604e-6,true
203,2,1.6052746886250692e-6,true
207,2,1.6052746886250692e-6,true
408,1,8.026373443125346e-7,true
414,1,8.026373443125346e-7,true
