atom_count,record_count,percent_of_profiled_records,contains_target
0,124576962,99.99012194220354,false
1,7249,0.005818318108921564,true
2,4554,0.003655210465999283,true
3,194,0.00015571164479663172,true
4,163,0.00013082988712294314,true
5,31,0.000024881757673688575,true
6,29,0.000023276482985063506,true
7,35,0.00002809230705093871,true
8,25,0.000020065933607813364,true
9,9,7.223736098812812e-6,true
10,6,4.815824065875208e-6,true
11,1,8.026373443125346e-7,true
12,5,4.013186721562673e-6,true
14,1,8.026373443125346e-7,true
15,1,8.026373443125346e-7,true
18,3,2.407912032937604e-6,true
36,1,8.026373443125346e-7,true
