atom_count,record_count,percent_of_profiled_records,contains_target
0,124521881,99.94591187464147,false
1,56252,0.0451499558922687,true
2,7315,0.005871292173646191,true
3,1591,0.0012769960148012426,true
4,1129,0.0009061775617288517,true
5,407,0.0003266733991352016,true
6,284,0.00022794900578475985,true
7,62,0.00004976351534737715,true
8,133,0.00010675076679356711,true
9,41,0.000032908131116813916,true
10,22,0.000017658021574875762,true
11,8,6.421098754500277e-6,true
12,53,0.00004253977924856434,true
13,3,2.407912032937604e-6,true
14,10,8.026373443125347e-6,true
15,6,4.815824065875208e-6,true
16,9,7.223736098812812e-6,true
17,1,8.026373443125346e-7,true
18,3,2.407912032937604e-6,true
19,1,8.026373443125346e-7,true
20,11,8.829010787437881e-6,true
21,1,8.026373443125346e-7,true
22,3,2.407912032937604e-6,true
23,2,1.6052746886250692e-6,true
24,2,1.6052746886250692e-6,true
25,7,5.618461410187742e-6,true
26,3,2.407912032937604e-6,true
27,1,8.026373443125346e-7,true
28,2,1.6052746886250692e-6,true
29,1,8.026373443125346e-7,true
30,2,1.6052746886250692e-6,true
32,1,8.026373443125346e-7,true
35,1,8.026373443125346e-7,true
36,1,8.026373443125346e-7,true
37,1,8.026373443125346e-7,true
38,1,8.026373443125346e-7,true
40,1,8.026373443125346e-7,true
42,1,8.026373443125346e-7,true
45,1,8.026373443125346e-7,true
48,1,8.026373443125346e-7,true
50,3,2.407912032937604e-6,true
53,1,8.026373443125346e-7,true
59,1,8.026373443125346e-7,true
63,1,8.026373443125346e-7,true
64,2,1.6052746886250692e-6,true
70,1,8.026373443125346e-7,true
85,2,1.6052746886250692e-6,true
90,2,1.6052746886250692e-6,true
95,1,8.026373443125346e-7,true
