atom_count,record_count,percent_of_profiled_records,contains_target
0,99245017,79.65775688113236,false
1,11400739,9.150658874160342,true
2,4469870,3.5876845862222693,true
3,6228664,4.999358331575089,true
4,1222991,0.981618248358131,true
5,535143,0.4295257563474427,true
6,740748,0.5945520075248214,true
7,158520,0.12723407182042298,true
8,110847,0.08896994170501152,true
9,110639,0.08880299313739452,true
10,56342,0.045222193253256826,true
11,24186,0.019412586809542963,true
12,68018,0.054593786885449976,true
13,22370,0.0179549973922714,true
14,17061,0.013693795731316153,true
15,24606,0.019749694494154226,true
16,15936,0.012790828718964553,true
17,19170,0.015386557890471289,true
18,19545,0.01568754689458849,true
19,6353,0.005099155048417532,true
20,15160,0.012167982139778025,true
21,8299,0.006661087320449725,true
22,4594,0.0036873159597717847,true
23,3480,0.0027931779582076204,true
24,13886,0.011145422163123855,true
25,3231,0.002593321259473799,true
26,4419,0.003546854424517091,true
27,3547,0.0028469546602765605,true
28,2910,0.002335674671949476,true
29,1504,0.001207166565846052,true
30,4373,0.0035099331066787143,true
31,1065,0.0008548087716928494,true
32,1766,0.0014174575500559361,true
33,1339,0.001074731404034484,true
34,2556,0.0020515410520628385,true
35,892,0.0007159525111267809,true
36,2488,0.0019969617126495863,true
37,648,0.0005201089991145225,true
38,766,0.0006148202057434016,true
39,1158,0.0009294540447139152,true
40,1240,0.000995270306947543,true
41,394,0.00031623911365913864,true
42,1158,0.0009294540447139152,true
43,339,0.00027209405972194924,true
44,458,0.00036760790369514085,true
45,618,0.0004960298787851465,true
46,356,0.00028573889457526234,true
47,226,0.00018139603981463283,true
48,1006,0.0008074531683784099,true
49,191,0.00015330373276369413,true
50,368,0.0002953705427070128,true
51,672,0.0005393722953780232,true
52,395,0.00031704175100345116,true
53,125,0.00010032966803906684,true
54,513,0.0004117529576323303,true
55,111,0.00008909274521869134,true
56,243,0.0001950408746679459,true
57,170,0.00013644834853313088,true
58,162,0.00013002724977863062,true
59,114,0.00009150065725162895,true
60,551,0.00044225317671620665,true
61,109,0.00008748747053006627,true
62,153,0.0001228035136798178,true
63,234,0.00018781713856913312,true
64,186,0.00014929054604213143,true
65,84,0.0000674215369222529,true
66,203,0.00016293538089544454,true
67,89,0.00007143472364381559,true
68,298,0.00023918592860513533,true
69,96,0.00007705318505400333,true
70,117,0.00009390856928456656,true
71,57,0.000045750328625814475,true
72,236,0.00018942241325775816,true
73,57,0.000045750328625814475,true
74,57,0.000045750328625814475,true
75,76,0.00006100043816775263,true
76,103,0.00008267164646419107,true
77,61,0.00004896087800306461,true
78,193,0.00015490900745231917,true
79,51,0.000040934504559939265,true
80,158,0.00012681670040138048,true
81,106,0.00008507955849712867,true
82,63,0.000050566152691689686,true
83,45,0.00003611868049406406,true
84,125,0.00010032966803906684,true
85,47,0.00003772395518268913,true
86,57,0.000045750328625814475,true
87,66,0.00005297406472462729,true
88,36,0.00002889494439525125,true
89,45,0.00003611868049406406,true
90,102,0.00008186900911987853,true
91,44,0.000035316043149751525,true
92,42,0.00003371076846112645,true
93,25,0.000020065933607813364,true
94,37,0.000029697581739563785,true
95,27,0.000021671208296438437,true
96,77,0.00006180307551206517,true
97,32,0.000025684395018001108,true
98,23,0.0000184606589191883,true
99,30,0.00002407912032937604,true
100,41,0.000032908131116813916,true
101,16,0.000012842197509000554,true
102,165,0.00013243516181156822,true
103,13,0.00001043428547606295,true
104,45,0.00003611868049406406,true
105,31,0.000024881757673688575,true
106,20,0.000016052746886250693,true
107,9,7.223736098812812e-6,true
108,42,0.00003371076846112645,true
109,16,0.000012842197509000554,true
110,9,7.223736098812812e-6,true
111,13,0.00001043428547606295,true
112,23,0.0000184606589191883,true
113,9,7.223736098812812e-6,true
114,34,0.00002728966970662618,true
115,14,0.000011236922820375485,true
116,12,9.631648131750416e-6,true
117,51,0.000040934504559939265,true
118,40,0.00003210549377250139,true
119,20,0.000016052746886250693,true
120,40,0.00003210549377250139,true
121,17,0.00001364483485331309,true
122,19,0.000015250109541938157,true
123,13,0.00001043428547606295,true
124,6,4.815824065875208e-6,true
125,4,3.2105493772501384e-6,true
126,24,0.00001926329626350083,true
127,11,8.829010787437881e-6,true
128,6,4.815824065875208e-6,true
129,7,5.618461410187742e-6,true
130,11,8.829010787437881e-6,true
131,18,0.000014447472197625624,true
132,17,0.00001364483485331309,true
133,6,4.815824065875208e-6,true
134,8,6.421098754500277e-6,true
135,21,0.000016855384230563226,true
136,38,0.000030500219083876315,true
137,9,7.223736098812812e-6,true
138,17,0.00001364483485331309,true
139,5,4.013186721562673e-6,true
140,12,9.631648131750416e-6,true
141,12,9.631648131750416e-6,true
142,7,5.618461410187742e-6,true
143,10,8.026373443125347e-6,true
144,26,0.0000208685709521259,true
145,6,4.815824065875208e-6,true
146,5,4.013186721562673e-6,true
147,7,5.618461410187742e-6,true
148,9,7.223736098812812e-6,true
149,16,0.000012842197509000554,true
