atom_count,record_count,percent_of_profiled_records,contains_target
0,124507618,99.93446385819954,false
1,69608,0.055869980262906904,true
2,7968,0.006395414359482277,true
3,1394,0.0011188764579716734,true
4,1211,0.0009719938239624795,true
5,361,0.000289752081296825,true
6,403,0.0003234628497579515,true
7,176,0.0001412641725990061,true
8,175,0.00014046153525469355,true
9,125,0.00010032966803906684,true
10,53,0.00004253977924856434,true
11,14,0.000011236922820375485,true
12,46,0.0000369213178383766,true
13,9,7.223736098812812e-6,true
14,9,7.223736098812812e-6,true
15,7,5.618461410187742e-6,true
16,11,8.829010787437881e-6,true
17,10,8.026373443125347e-6,true
18,4,3.2105493772501384e-6,true
19,2,1.6052746886250692e-6,true
20,14,0.000011236922820375485,true
21,1,8.026373443125346e-7,true
22,2,1.6052746886250692e-6,true
23,1,8.026373443125346e-7,true
24,1,8.026373443125346e-7,true
26,1,8.026373443125346e-7,true
27,2,1.6052746886250692e-6,true
28,2,1.6052746886250692e-6,true
30,17,0.00001364483485331309,true
32,2,1.6052746886250692e-6,true
34,2,1.6052746886250692e-6,true
35,1,8.026373443125346e-7,true
36,2,1.6052746886250692e-6,true
40,1,8.026373443125346e-7,true
42,1,8.026373443125346e-7,true
47,1,8.026373443125346e-7,true
50,1,8.026373443125346e-7,true
55,2,1.6052746886250692e-6,true
57,2,1.6052746886250692e-6,true
60,1,8.026373443125346e-7,true
64,1,8.026373443125346e-7,true
65,1,8.026373443125346e-7,true
68,1,8.026373443125346e-7,true
83,1,8.026373443125346e-7,true
84,1,8.026373443125346e-7,true
95,1,8.026373443125346e-7,true
100,1,8.026373443125346e-7,true
203,1,8.026373443125346e-7,true
